tab1_reg-nce : Répartition de la consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) selon la région,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,INDICATEUR,Consommation de combustibles,Consommation totale brute,Consommation totale nette
,E23 - Fabrication d'engrais,0,0,0
,E24 - Autres industries de la chimie minérale,s,s,s
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",0,0,0
,E26 - Autres industries de la chimie organique de base,8,10,10
,E28 - Parachimie et industrie pharmaceutique,3,9,9
,E29 - Fonderie et travail des métaux,7,19,19
,E30 - Construction mécanique,3,6,6
,E31 - Construction électrique et électronique,4,13,13
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,15,36,36
,"E33 - Construction navale et aéronautique, armement",s,s,s
,"E34 - Industrie textile, du cuir et de l'habillement",2,4,4
,E35 - Industrie du papier et du carton,13,21,21
,E36 - Fabrication de produits en caoutchouc,1,3,3
,E37 - Fabrication de produits en plastique,2,8,8
,E38 - Industries diverses,5,13,13
Bourgogne,E16 - Sidérurgie,31,53,53
,E18 - Métallurgie de première transformation des métaux non ferreux,3,6,6
,E19 - Production de minéraux divers,s,3,3
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,27,33,33
,E22 - Industrie du verre,s,s,s
,E23 - Fabrication d'engrais,0,0,0
,E24 - Autres industries de la chimie minérale,s,s,s
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,7,7
,E26 - Autres industries de la chimie organique de base,5,6,6
,E28 - Parachimie et industrie pharmaceutique,4,10,10
,E29 - Fonderie et travail des métaux,49,75,75
,E30 - Construction mécanique,10,19,19
,E31 - Construction électrique et électronique,12,27,27
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,7,15,15
,"E33 - Construction navale et aéronautique, armement",s,s,s
,"E34 - Industrie textile, du cuir et de l'habillement",3,6,6
,E35 - Industrie du papier et du carton,4,8,8
,E36 - Fabrication de produits en caoutchouc,11,27,27
,E37 - Fabrication de produits en plastique,4,31,31
,E38 - Industries diverses,29,44,44
Nord-Pas-de-Calais,E16 - Sidérurgie,s,2826,2826
,E18 - Métallurgie de première transformation des métaux non ferreux,118,464,464
,E19 - Production de minéraux divers,s,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,58,73,73
,E22 - Industrie du verre,200,246,246
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,8,65,65
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",38,69,62
,E26 - Autres industries de la chimie organique de base,397,493,479
,E28 - Parachimie et industrie pharmaceutique,17,35,35
,E29 - Fonderie et travail des métaux,78,120,120
,E30 - Construction mécanique,11,21,21
,E31 - Construction électrique et électronique,42,81,81
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,62,132,132
,"E33 - Construction navale et aéronautique, armement",s,s,s
,"E34 - Industrie textile, du cuir et de l'habillement",18,37,37
,E35 - Industrie du papier et du carton,89,237,226
,E36 - Fabrication de produits en caoutchouc,1,s,s
,E37 - Fabrication de produits en plastique,13,51,51
,E38 - Industries diverses,27,50,50
Lorraine,E16 - Sidérurgie,s,992,992
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,s,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,s,s,s
,E22 - Industrie du verre,75,96,96
,E23 - Fabrication d'engrais,0,0,0
,E24 - Autres industries de la chimie minérale,s,218,180
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,s,s
,E26 - Autres industries de la chimie organique de base,74,130,119
,E28 - Parachimie et industrie pharmaceutique,3,4,4
,E29 - Fonderie et travail des métaux,212,294,293
,E30 - Construction mécanique,20,34,34
,E31 - Construction électrique et électronique,7,17,17
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,43,94,93
,"E33 - Construction navale et aéronautique, armement",s,s,s
,"E34 - Industrie textile, du cuir et de l'habillement",13,24,24
,E35 - Industrie du papier et du carton,225,383,360
,E36 - Fabrication de produits en caoutchouc,1,22,22
,E37 - Fabrication de produits en plastique,8,27,27
,E38 - Industries diverses,38,59,59
Alsace,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,0,0,0
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,27,34,34
,E22 - Industrie du verre,s,36,36
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,3,35,35
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,34,34
,E26 - Autres industries de la chimie organique de base,s,s,s
,E28 - Parachimie et industrie pharmaceutique,7,20,20
,E29 - Fonderie et travail des métaux,34,56,56
,E30 - Construction mécanique,17,43,43
,E31 - Construction électrique et électronique,17,34,34
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,32,77,77
,"E33 - Construction navale et aéronautique, armement",s,s,s
,"E34 - Industrie textile, du cuir et de l'habillement",17,31,31
,E35 - Industrie du papier et du carton,81,171,156
,E36 - Fabrication de produits en caoutchouc,0,1,1
,E37 - Fabrication de produits en plastique,7,27,27
,E38 - Industries diverses,11,24,24
Franche-Comté,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,0,0,0
,E19 - Production de minéraux divers,0,0,0
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,22,25,25
,E22 - Industrie du verre,s,s,s
,E23 - Fabrication d'engrais,0,0,0
,E24 - Autres industries de la chimie minérale,s,s,s
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,s,s
,E26 - Autres industries de la chimie organique de base,s,s,s
,E28 - Parachimie et industrie pharmaceutique,1,3,3
,E29 - Fonderie et travail des métaux,30,67,67
,E30 - Construction mécanique,4,10,10
,E31 - Construction électrique et électronique,1,6,6
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,33,86,86
,"E33 - Construction navale et aéronautique, armement",s,s,s
,"E34 - Industrie textile, du cuir et de l'habillement",1,2,2
,E35 - Industrie du papier et du carton,18,23,23
,E36 - Fabrication de produits en caoutchouc,s,s,s
,E37 - Fabrication de produits en plastique,11,37,37
,E38 - Industries diverses,16,30,30
Pays de la Loire,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,4,9,9
,E19 - Production de minéraux divers,1,3,3
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,37,46,46
,E22 - Industrie du verre,1,2,2
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,s,s,s
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,s,s
,E26 - Autres industries de la chimie organique de base,6,8,8
,E28 - Parachimie et industrie pharmaceutique,4,8,8
,E29 - Fonderie et travail des métaux,39,75,75
,E30 - Construction mécanique,13,28,28
,E31 - Construction électrique et électronique,9,27,27
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,16,47,46
,"E33 - Construction navale et aéronautique, armement",16,36,36
,"E34 - Industrie textile, du cuir et de l'habillement",11,19,19
,E35 - Industrie du papier et du carton,46,117,113
,E36 - Fabrication de produits en caoutchouc,21,50,46
,E37 - Fabrication de produits en plastique,11,50,50
,E38 - Industries diverses,29,57,57
Bretagne,E16 - Sidérurgie,0,s,0
,E18 - Métallurgie de première transformation des métaux non ferreux,0,0,0
,E19 - Production de minéraux divers,s,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,24,32,32
,E22 - Industrie du verre,s,4,4
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,s,s,s
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,s,s
,E26 - Autres industries de la chimie organique de base,13,17,17
,E28 - Parachimie et industrie pharmaceutique,4,9,9
,E29 - Fonderie et travail des métaux,11,40,40
,E30 - Construction mécanique,4,11,11
,E31 - Construction électrique et électronique,4,12,12
