ENERGIES,Houille (en milliers de tonnes),,,,,,,Lignite - charbon pauvre (en milliers de tonnes),,,,,,,Coke de houille (en milliers de tonnes),,,,,,,Gaz naturel de réseau (en GWh),,,,,,,Autres gaz de réseau (en GWh),,,,,,,Coke de pétrole (en milliers de tonnes),,,,,,,Butane propane (en milliers de tonnes),,,,,,,Fioul lourd (en milliers de tonnes),,,,,,,Fioul domestique (en milliers de litres),,,,,,,Vapeur (en milliers de tonnes),,,,,,,Electricité (en GWh),,,,,,
INDICATEUR,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Pays de la Loire,0,0,0,0,0,0,0,s,s,s,s,2,s,s,10,0,0,0,10,3,315.4,2887,so,so,so,2887,86,29.6,22,so,so,so,22,1,43,s,s,s,-5,s,s,s,12,s,s,s,s,9,710.7,6,3,2,-1,7,3,440.1,23241,2910,2592,-318,23559,13,0.56,876,so,so,so,876,20,23.1,3662,so,so,so,3673,244,66.5
Bretagne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1335,so,so,so,1335,42,31.4,10,so,so,so,10,0,39.2,0,0,0,0,0,0,0,12,0,0,0,12,7,595.5,s,s,s,s,3,1,s,11977,1150,1030,-120,12097,7,0.5,159,so,so,so,159,4,24.9,1678,so,so,so,1682,114,67.9
Poitou-Charentes,99,9,7,-2,101,10,103.9,0,0,0,0,0,0,0,s,s,s,s,s,s,s,2222,so,so,so,2222,62,28.1,7,so,so,so,7,0,36.9,s,s,s,s,s,8,s,s,s,s,s,8,6,s,s,s,s,s,28,11,s,17230,1011,1120,110,17120,s,s,s,so,so,so,s,3,s,s,so,so,so,1659,107,s
Aquitaine,s,s,s,s,s,s,s,0,0,0,0,0,0,0,s,s,s,-3,s,s,s,3996,so,so,so,3996,110,27.5,2,so,so,so,2,0,32,0,0,0,0,0,0,0,12,0,0,0,12,8,657,s,s,s,s,115,41,s,11184,1701,1376,-325,11509,6,0.56,2696,so,so,so,2696,60,22.1,3892,so,so,so,4339,223,57.2
Midi-Pyrénées,s,s,s,s,s,2,s,s,s,s,s,s,s,s,0,0,0,0,0,0,0,2050,so,so,so,2050,63,30.7,7,so,so,so,7,0,28.8,s,0,0,0,s,s,s,9,0,0,0,10,6,669.9,12,s,s,0,12,5,433.2,10438,1382,1287,-95,10534,6,0.59,489,so,so,so,489,15,30.2,1918,so,so,so,2198,123,64
Limousin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,0,s,s,s,868,so,so,so,868,24,27.4,2,so,so,so,2,0,27.2,0,0,0,0,0,0,0,s,s,s,s,2,1,s,2,s,s,s,s,1,430.2,3307,449,402,-47,3354,s,s,s,so,so,so,s,s,s,s,so,so,so,735,s,s
Rhône-Alpes,203,59,19,-39,242,35,170.1,s,s,s,s,s,s,s,s,s,s,s,20,9,s,13309,so,so,so,13309,382,28.7,98,so,so,so,98,3,35.3,187,24,44,20,167,36,194.7,21,1,1,0,21,14,681.5,s,s,s,s,116,45,s,27087,4582,4276,-307,27394,s,s,3375,so,so,so,3375,78,23,13310,so,so,so,13504,694,52.2
Auvergne,s,s,s,s,s,1,s,0,0,0,0,0,0,0,40,3,3,0,40,15,376.9,2582,so,so,so,2582,74,28.8,1,so,so,so,1,0,56.7,s,s,s,s,s,s,s,2,0,0,0,2,1,657.1,20,2,1,-1,20,8,403.6,7685,931,789,-143,7827,s,s,s,so,so,so,s,4,s,s,so,so,so,2013,125,s
Languedoc-Roussillon,s,s,s,s,s,18,s,0,s,s,s,s,0,0,0,0,0,0,0,0,0,1752,so,so,so,1752,45,25.8,3,so,so,so,3,0,33.9,52,1,1,0,52,6,114,3,0,0,0,3,2,730.3,4,s,s,0,4,2,481.5,12355,817,800,-17,12372,7,0.57,s,so,so,so,s,1,s,s,so,so,so,1533,77,s
PACA et Corse,s,s,s,s,s,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7542,so,so,so,7542,197,26.1,s,so,so,so,s,14,s,s,s,s,s,194,14,s,909,s,s,-3,912,433,475.7,154,9,7,-2,155,54,348.6,s,s,s,s,20779,s,s,2228,so,so,so,2228,53,23.6,6370,so,so,so,7096,322,50.6
