ENERGIES,Vapeur,,,,,Houille,,,,,Lignite - charbon pauvre,,,,,Coke de houille,,,,,Gaz naturel de réseau,,,,,Autres gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueurs noires,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,
INDICATEUR,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
Toutes régions,1119,0,195,126,1439,743,3949,68,16,4777,69,16,s,s,86,285,312,0,0,597,5466,1395,383,1388,8633,78,s,s,15,95,651,153,0,2,806,119,1355,s,s,1557,632,s,s,23,748,124,4,11,111,250,1164,192,13,0,1369,431,33,s,s,702,640,0,229,66,935,215,1,s,s,236,331,34,s,s,369
Ile-de-France,17,0,s,s,37,s,s,0,s,s,0,0,0,s,s,0,0,0,0,0,354,s,10,s,629,3,0,0,1,4,2,s,0,s,5,4,0,0,3,7,15,0,0,1,16,4,0,0,6,10,0,s,0,0,s,0,0,0,0,0,s,0,0,s,0,9,0,0,s,s,0,s,0,s,0
Picardie,48,0,0,8,56,s,s,0,0,s,0,s,0,0,s,s,s,0,0,s,272,1,s,s,351,0,0,0,0,0,0,0,0,0,0,7,s,0,s,20,29,0,s,s,31,4,0,0,6,10,s,s,0,s,s,0,0,0,0,0,s,0,0,0,s,s,s,0,0,s,0,s,0,0,s
Haute-Normandie,61,0,s,s,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,483,36,88,1043,s,0,s,1,s,s,0,0,0,s,15,s,0,3,s,101,s,s,s,105,3,0,0,5,8,s,s,0,0,491,0,0,0,0,0,57,0,s,s,162,33,0,s,0,s,13,s,s,s,s
Centre,s,0,0,s,8,s,0,0,s,s,0,0,0,0,0,0,s,0,0,s,193,0,25,85,303,0,0,0,1,1,39,0,0,0,39,7,s,0,s,12,3,0,0,s,s,6,s,1,s,12,s,0,0,0,s,0,0,0,0,0,s,0,0,s,31,7,0,0,0,7,s,0,0,0,s
Basse-Normandie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,30,75,0,0,0,s,s,s,0,0,0,s,2,0,0,4,6,s,0,0,s,s,4,0,1,3,8,s,s,0,0,s,0,0,0,0,0,s,0,0,s,4,s,0,0,0,s,s,0,0,s,s
Bourgogne,3,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,3,0,62,218,s,s,0,1,2,s,0,0,0,s,5,0,0,2,8,s,0,0,0,s,3,s,0,s,7,s,s,0,0,2,0,0,0,0,0,23,0,s,s,25,s,0,0,s,s,s,0,0,0,s
Nord-Pas-de-Calais,109,0,s,s,116,s,s,0,0,s,14,s,s,0,17,17,273,0,0,290,756,s,17,s,958,s,0,0,0,s,70,s,0,s,150,9,s,s,4,s,73,0,0,1,74,11,s,0,s,21,s,s,0,0,s,0,0,0,0,0,1,0,s,s,3,s,0,0,0,s,83,s,0,s,96
Lorraine,104,0,12,6,122,402,s,38,s,s,s,s,0,s,s,191,18,0,0,209,583,s,13,s,696,0,0,0,0,0,34,s,0,s,35,3,0,0,4,6,s,0,s,0,12,10,2,1,5,18,168,0,0,0,168,0,0,0,0,0,81,0,s,2,s,s,0,0,0,s,60,s,0,s,61
Alsace,26,0,s,s,36,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,408,420,21,89,938,s,s,0,0,1,s,0,0,0,s,4,s,0,s,7,8,0,0,1,10,5,s,0,s,10,s,0,s,s,s,0,0,0,0,0,s,0,s,4,23,7,0,0,0,7,s,0,0,0,s
