Type d'énergie,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",,,,,Gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueur noire,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,,Vapeur,,,,
Indicateurs,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",180,0,0,0,180,252,0,0,3,256,s,0,s,0,410,1,s,0,s,1,s,0,0,s,12,2,0,0,9,13,s,s,0,0,46,0,0,0,0,0,44,so,0,0,44,64,0,0,0,64,233,0,0,0,233,s,so,0,0,s
E21 - Production d'autres matériaux de construction et de céramique,30,s,0,0,s,410,9,0,23,442,1,s,0,0,s,s,0,s,2,8,7,0,0,0,7,19,1,0,51,71,s,8,0,0,s,0,0,0,0,0,s,so,0,s,15,11,0,0,0,11,0,s,s,0,s,s,so,0,0,s
E22 - Industrie du verre,0,0,0,0,0,773,s,0,s,819,0,0,0,0,0,s,0,0,1,s,s,0,0,s,90,s,s,1,1,2,s,0,0,0,s,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,0,0,0,0,s,so,0,s,1
E23 - Fabrication d'engrais,0,0,0,0,0,266,s,0,s,877,0,0,0,0,0,1,0,0,0,1,3,0,0,0,3,s,0,s,1,2,0,0,0,0,0,0,0,0,0,0,s,so,s,0,s,0,s,0,0,s,0,0,0,0,0,0,so,0,0,0
E24 - Autres industries de la chimie minérale,s,s,0,0,382,342,45,10,11,408,s,0,0,0,s,2,0,0,0,2,s,0,0,s,s,s,s,s,1,2,s,s,0,s,266,0,0,0,0,0,s,so,0,0,s,0,0,0,0,0,s,0,0,0,s,263,so,s,s,270
"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",64,0,s,s,s,125,0,s,s,140,0,0,0,0,0,0,0,0,0,0,s,0,0,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,0,0,0,0,155,so,0,5,160
E26 - Autres industries de la chimie organique de base,0,0,0,0,0,943,s,s,23,1426,0,s,0,0,s,s,2123,0,s,2127,s,0,s,0,s,2,0,0,3,5,s,s,0,0,3004,0,s,0,s,s,39,so,s,s,49,s,0,0,s,s,9,0,0,3,13,563,so,11,12,586
E28 - Parachimie et industrie pharmaceutique,0,0,0,0,0,105,s,s,60,166,0,0,0,0,0,2,16,0,1,19,0,0,0,1,1,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,s,so,0,s,7,0,0,0,0,0,0,0,0,0,0,10,so,0,3,13
E29 - Fonderie et travail des métaux,132,s,s,0,144,347,s,s,135,483,s,0,0,s,0,s,3,s,18,47,0,0,0,0,0,2,0,0,12,14,0,0,0,0,0,0,0,0,0,0,s,so,0,s,2,0,0,0,0,0,s,s,0,0,0,0,so,0,1,1
E30 - Construction mécanique,0,0,0,0,0,45,0,0,102,147,0,0,0,0,0,s,0,s,6,12,0,0,0,0,0,2,1,0,7,9,s,s,0,s,0,0,0,0,0,0,0,so,0,1,1,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
E31 - Construction électrique et électronique,s,0,0,0,s,61,s,s,76,140,0,0,0,0,0,3,0,0,3,6,0,0,0,0,0,0,s,s,4,4,0,0,0,0,0,0,0,0,0,0,0,so,0,s,s,0,0,0,0,0,0,0,0,0,0,0,so,0,s,s
E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,s,0,0,0,s,182,s,s,159,347,0,0,0,0,0,s,0,2,5,s,s,0,s,s,1,2,s,s,4,8,s,0,s,0,s,0,0,0,0,0,s,so,0,s,2,0,0,0,0,0,s,0,0,0,s,s,so,0,s,17
"E33 - Construction navale et aéronautique, armement",0,0,0,0,0,33,s,s,s,109,0,0,0,0,0,s,s,0,2,3,0,0,s,s,0,s,0,s,2,3,s,0,0,0,s,0,0,0,0,0,0,so,0,s,s,0,0,0,0,0,0,0,0,0,0,2,so,0,2,3
"E34 - Industrie textile, du cuir et de l'habillement",0,0,0,0,0,104,0,0,44,148,0,0,0,0,0,4,0,0,1,7,s,0,0,s,2,s,s,s,4,4,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
E35 - Industrie du papier et du carton,s,0,s,0,16,733,0,47,48,828,0,0,0,0,0,s,s,0,s,7,s,0,s,s,26,1,0,0,3,5,0,0,0,s,s,766,0,0,0,766,349,so,s,s,363,82,0,s,0,s,s,0,0,0,s,369,so,s,s,390
E36 - Fabrication de produits en caoutchouc,0,0,0,0,0,53,0,s,s,70,0,0,0,0,0,s,0,0,1,s,0,0,0,s,s,s,0,s,0,0,0,0,0,0,0,0,0,0,0,0,11,so,0,0,11,0,0,0,0,0,0,0,0,0,0,s,so,s,8,42
E37 - Fabrication de produits en plastique,0,0,0,0,0,84,0,0,48,132,0,0,0,0,0,6,0,0,4,11,11,0,0,2,13,1,0,0,5,6,0,0,0,0,0,0,0,0,0,0,3,so,0,1,4,0,0,0,0,0,0,0,0,0,0,s,so,0,s,17
E38 - Industries diverses,0,0,0,0,0,175,s,s,s,251,0,0,0,0,0,s,s,0,6,15,2,0,0,0,3,7,s,0,s,56,0,0,0,0,0,s,0,s,0,s,278,so,0,40,318,s,0,0,0,s,s,0,0,s,s,25,so,0,1,29
Note : la répartition des usages de la vapeur ne concerne que la quantité achetée de cette énergie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
