reg_code,reg_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
ARA,Auvergne-Rhône-Alpes,1997,220.0,229.0,46.0,551.0,18119,18119,601,66,,,,,155.0,161.0,36.0,233.0,35,35,28,1582,61,65,34,1102,41037,40920,31,2,,,,,307,370,11,59,8012.0,112.0,47,,,,,,,,14970.0,17655,,1093,132
BFC,Bourgogne-Franche-Comté,681,163.0,166.0,23.0,432.0,5613,5613,195,70,,,,,0.0,0.0,0.0,,21,21,16,1672,,,,,7514.0,7524.0,6.0,1.0,,,,,4.0,100.0,0.0,100.0,1324.0,22.0,70,,,,,,,,3263.0,5854,,405,140
BRE,Bretagne,555,0.0,0.0,0.0,,4763,4763,168,35,,,,,0,0,0,,27,27,20,734,24,24,14,570,,,,,,,,,,,,,1346.0,19.0,28,,,,,,,,4262,4291,,319,75
CVL,Centre-Val de Loire,491,32.0,33.0,4.0,386.0,5276,5276,180,34,,,,,61,66,8,127,9,9,8,883,23,24,12,518,10999,11146,9,1,,,,,39,135,2,44,0.0,0.0,,,,,,,,,,3788,,268,73
DOM,Départements d’Outre-mer,67,0.0,0.0,0.0,,96,96,4,38,,,,,0,0,0,,,,,,1,1,1,895,11946,11850,10,1,,,,,,,,,1914.0,11.0,12,,,,,,,,409,420,,39,96
FRA,France,15894,9163.0,9299.0,1248.0,520,146119,146119,4755,33,,,,,988,1005,141,143,1867,1874,1223,655,716,735,363,508,313370,314553,240,1,,,,,2114,3467,84,40,47858.0,681.0,28,,,,,,,,109823,113044,,7161,65
GRE,Grand Est,1954,1671.0,1769.0,255.0,520.0,24072,24072,753,63,,,,,,,,,10.0,9.0,8.0,807.0,9,9,5,1160,28984,28889,22,2,,,,,265,548,13,96,2548.0,38.0,60,,,,,,,,13249,13529,,847,129
HDF,Hauts-de-France,2838,210.0,235.0,39.0,765.0,27654,27654,887,64,,,,,141,146,31,222.0,27.0,27.0,22.0,826.0,83,84,43,1027,37564,37761,28,2,,,,,,,,,6572.0,94.0,58,,,,,,,,4004.0,21325,,1142,124
IDF,Ile-de-France,704,45.0,51.0,6.0,482.0,9458,9458,300,32,,,,,,,,,6,6,5,860,4,4,3,570,11055,11483,8,1,,,,,,,,,306.0,3.0,20,,,,,,,,5444,5463,,376,69
NOA,Nouvelle-Aquitaine,1063,87.0,89.0,9.0,98.0,7114,7114,245,103,,,,,88.0,88.0,10.0,110.0,27,27,22,2403,131,140,64,1581,35189,35598,28,3,,,,,483,881,16,109,9464.0,119.0,88,,,,,,,,7058.0,8111,,535,208
NOR,Normandie,1532,3.0,3.0,1.0,270.0,17878,17878,565,66,,,,,,,,,11.0,11.0,11.0,935.0,59.0,60.0,30.0,506.0,18201,18050,14,2,,,,,306.0,343.0,12.0,40.0,5788.0,89.0,31.0,,,,,,,,8182,8421,,535,136
OCC,Occitanie,525,94.0,98.0,14.0,151.0,4569,4569,152,67,,,,,35.0,34.0,4.0,103.0,20,20,17,1739,17,17,9,1103,23305,23047,18,2,,,,,63.0,65.0,3.0,50.0,648.0,9.0,28.0,,,,,,,,2483.0,4457,,287,135
PAC,Provence-Alpes-Côte d'Azur,2217,0.0,0.0,0.0,,9588,9588,308,32,,,,,,,,,1082,1083,671,620,209,211,100,480,20986,21223,15,1,,,,,,,,,6248.0,118.0,38,,,,,,,,9505,10365,,632,66
PAL,Pays de la Loire,757,14.0,14.0,5.0,357.0,6178,6178,212,34,,,,,83,85,8,98,23,28,18,779,27,28,15,553,26220,26396,20,1,,,,,78,116,3,38,2284.0,26.0,23,,,,,,,,5980,6022,,449,75
