naf_code,naf_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
13,Fabrication de textiles,149,0,0,0,,1412,1412,51,36.0,,,,,0,0,0,,4,4,3,784,3,3,2,566,,,,,,,,,0,0,0,,,,,,,,,,,,,1166,,89,77
14,Industrie de l'habillement,24,0,0,0,,208,208,8,41.0,,,,,0,0,0,,,,,,0,0,0,,1755,1736,1,1,,,,,0,0,0,,,,,,,,,,,,,153,,14,93
15,Industrie du cuir et de la chaussure,18,0,0,0,,89,89,5,51.0,,,,,0,0,0,,,,,,0,0,0,,1945,1935,1,1,,,,,,,,,0,0,,,,,,,,,112,112,,11,95
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",191,0,0,0,,735,735,25,34.0,,,,,0,0,0,,,,,,1,1,0,640,12208,12309,9,1,,,,,,,,,,,,,,,,,,,1833,1835,,138,76
17,Industrie du papier et du carton,1065,0.0,0.0,0.0,,12187,12187,382,31.0,,,,,0,0,0,,6,6,5,878,,,,,,,,,,,,,808,1081,32,39,11546,129,22,,,,,,,,,9204,,488,57
18,Imprimerie et reproduction d'enregistrements,139,0,0,0,,723,723,28,39.0,,,,,0,0,0,,4,4,4,992,0,0,0,745,1733,1729,1,1,,,,,0,0,0,,,,,,,,,,,,1249,1251,,104,83
20,Industrie chimique,4008,601.0,610.0,54.0,90.0,42913,42913,1313,31.0,,,,,,,,,1635,1636,1032,631,303,309,146,484,16711,16842,13,1,,,,,242,264,6,27,23206,389,33,,,,,,,,18124,18651,,1033,57
21,Industrie pharmaceutique,305,0,0,0,,2294,2294,79,35.0,,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,2712,40,30,,,,,,,,,2626,,183,70
22,Fabrication de produits en caoutchouc et en plastique,680,0,0,0,,2760,2760,102,37.0,,,,,0,0,0,,9,9,8,867,15,16,9,597,7872,7874,6,1,,,,,,,,,2080,31,29,,,,,,,,7023,7062,,523,74
23,Fabrication d'autres produits minéraux non métalliques,1378,429,446,55,570,19811,19811,596,30.0,,,,,813,823,87,107,15,15,13,835,162,166,80,494,37761,37696,29,1,,,,,264,266,8,29,114,2,28,,,,,,,,7865,7873,,507,64
24,Métallurgie,2524,280.0,304.0,73.0,262.0,13421,13421,429,32.0,,,,,,,,,14,14,11,776,10,15,5,543,26506,26750,19,1,,,,,152,152,9,59,646,7,23,,,,,,,,20365,21133,,954,47
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",668,,,,,4919,4919,190,39.0,,,,,0,0,0,,41,40,38,927,,,,,16618,16571,13,1,,,,,,,,,44,1,43,,,,,,,,5094,5098,,421,83
26,"Fabrication de produits informatiques, électroniques et optiques",179,0,0,0,,662,662,29,44.0,,,,,0,0,0,,0,0,0,809,,,,,,,,,,,,,0,0,0,,22,1,50,,,,,,,,2115,2116,,148,70
27,Fabrication d'équipements électriques,249,0.0,0.0,0.0,,1746,1746,65,37.0,,,,,,,,,5,5,5,888,1,1,1,566,5330,5414,4,1,,,,,,,,,16,0,42,,,,,,,,,2062,,157,76
