Type d'énergie,Houille,,,,,Lignite - charbon pauvre,,,,,Coke de houille,,,,,Gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueurs noires,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,,Vapeur,,,,
Indicateurs,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
Nomenclature activités consommatrices d'énergie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E19 - Production de minéraux divers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,12,0,0,0,0,0,s,0,0,0,s,0,0,0,s,s,2,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,so,0,s,s
"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",158,0,0,0,158,52,0,0,0,52,s,0,0,0,s,256,0,0,7,263,623,0,0,0,623,2,s,0,0,s,34,0,0,0,34,3,0,0,12,15,73,0,0,0,73,0,0,0,0,0,43,0,0,0,43,91,0,0,0,91,334,0,0,0,334,7,so,0,0,7
E21 - Production d'autres matériaux de construction et de céramique,s,0,0,0,s,0,s,0,0,s,s,s,0,0,s,427,s,0,s,457,s,s,0,0,19,5,0,0,2,8,s,s,0,0,s,21,4,1,38,65,s,7,0,s,7,0,0,0,0,0,33,0,0,s,s,s,0,0,0,s,s,0,0,0,s,s,so,0,0,s
E22 - Industrie du verre,0,0,0,0,0,0,0,0,0,0,0,s,0,0,s,756,0,s,s,821,0,s,0,0,s,4,0,0,s,s,82,0,0,0,82,s,s,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,so,0,s,s
E23 - Fabrication d'engrais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,505,16,6,867,0,0,0,0,0,s,0,0,0,s,3,0,0,s,s,s,0,s,1,2,0,0,0,0,0,0,0,0,0,0,29,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
E24 - Autres industries de la chimie minérale,s,0,0,0,s,s,0,0,0,s,s,s,0,0,49,603,s,s,s,864,0,0,0,0,0,1,0,0,1,1,s,s,0,0,s,1,s,s,1,2,s,s,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,0,0,1,224,so,0,4,228
"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",63,0,s,s,s,0,0,0,0,0,0,0,0,0,0,225,s,s,9,s,0,0,0,0,0,s,s,0,0,s,s,0,s,0,s,s,0,s,0,0,s,0,0,0,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,s,so,s,3,81
E26 - Autres industries de la chimie organique de base,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955,s,s,39,s,s,0,0,0,s,4,s,0,s,s,117,0,0,s,s,2,0,0,3,6,352,s,s,0,365,0,s,0,0,s,s,0,s,s,35,63,0,0,0,63,7,s,0,0,s,500,so,8,8,516
E28 - Parachimie et industrie pharmaceutique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,s,s,s,181,0,0,0,0,0,3,s,0,1,s,0,0,0,s,s,s,s,s,3,5,s,0,0,0,s,0,0,0,0,0,s,0,0,0,s,0,0,0,0,0,0,0,0,0,0,12,so,0,4,17
E29 - Fonderie et travail des métaux,s,s,0,0,14,s,s,0,0,s,144,s,0,s,160,390,2,0,130,531,s,s,0,0,s,21,0,0,14,35,s,0,1,1,s,3,0,0,10,13,s,s,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,138,139,4,so,0,1,4
E30 - Construction mécanique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,79,141,0,0,0,0,0,5,0,1,4,9,0,0,0,1,1,1,s,s,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,so,0,0,1
E31 - Construction électrique et électronique,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,81,s,0,s,158,0,0,0,0,0,5,0,0,s,s,0,0,0,s,s,0,0,1,5,5,0,0,0,s,s,0,0,0,0,0,s,0,0,s,s,s,0,0,0,s,s,s,0,0,s,s,so,s,s,1
E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,153,2,2,131,289,0,0,0,0,0,6,0,0,4,10,0,0,0,2,2,6,s,s,3,10,s,s,1,0,s,0,0,0,0,0,s,0,0,s,2,0,0,0,0,0,s,0,0,0,s,2,so,0,12,14
"E33 - Construction navale et aéronautique, armement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,0,68,105,0,0,0,0,0,0,2,0,1,3,1,0,0,0,1,0,0,1,1,2,s,0,s,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,3,so,0,5,8
"E34 - Industrie textile, du cuir et de l'habillement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,s,s,27,114,0,0,0,0,0,9,0,0,2,11,2,0,0,1,2,1,s,s,3,4,0,0,0,s,s,0,0,0,0,0,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0,s,so,0,s,s
E35 - Industrie du papier et du carton,s,0,s,0,s,0,0,0,0,0,0,0,0,0,0,823,1,45,40,910,0,0,0,0,0,2,0,s,s,s,38,0,s,1,s,2,0,0,3,5,0,0,0,s,s,s,s,s,0,757,234,0,63,1,298,s,0,s,0,61,s,s,s,s,s,s,so,s,14,412
E36 - Fabrication de produits en caoutchouc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,9,13,91,0,0,0,0,0,s,0,0,0,s,s,0,0,0,s,s,s,s,0,1,0,0,0,0,0,0,0,0,0,0,s,0,s,s,14,0,0,0,0,0,0,0,0,0,0,30,so,0,9,40
E37 - Fabrication de produits en plastique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,0,36,132,0,0,0,0,0,5,2,0,5,12,6,0,0,2,8,1,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,19,so,0,2,21
E38 - Industries diverses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,s,s,s,191,0,0,0,0,0,7,0,0,4,12,9,0,0,1,10,7,s,s,30,39,0,0,0,0,0,0,s,0,s,s,239,0,0,39,278,s,0,s,4,s,s,0,0,s,s,20,so,0,0,21
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
