ID,NAF,Houille (en milliers de tonnes),Houille (en milliers de tonnes),Houille (en milliers de tonnes),Houille (en milliers de tonnes),Houille (en milliers de tonnes),Houille (en milliers de tonnes),Houille (en milliers de tonnes),Lignite - charbon pauvre (en milliers de tonnes),Lignite - charbon pauvre (en milliers de tonnes),Lignite - charbon pauvre (en milliers de tonnes),Lignite - charbon pauvre (en milliers de tonnes),Lignite - charbon pauvre (en milliers de tonnes),Lignite - charbon pauvre (en milliers de tonnes),Lignite - charbon pauvre (en milliers de tonnes),Coke de houille (en milliers de tonnes),Coke de houille (en milliers de tonnes),Coke de houille (en milliers de tonnes),Coke de houille (en milliers de tonnes),Coke de houille (en milliers de tonnes),Coke de houille (en milliers de tonnes),Coke de houille (en milliers de tonnes),Gaz naturel de réseau (en GWh),Gaz naturel de réseau (en GWh),Gaz naturel de réseau (en GWh),Gaz naturel de réseau (en GWh),Gaz naturel de réseau (en GWh),Gaz naturel de réseau (en GWh),Gaz naturel de réseau (en GWh),Autres gaz de réseau (en GWh),Autres gaz de réseau (en GWh),Autres gaz de réseau (en GWh),Autres gaz de réseau (en GWh),Autres gaz de réseau (en GWh),Autres gaz de réseau (en GWh),Autres gaz de réseau (en GWh),Coke de pétrole (en milliers de tonnes),Coke de pétrole (en milliers de tonnes),Coke de pétrole (en milliers de tonnes),Coke de pétrole (en milliers de tonnes),Coke de pétrole (en milliers de tonnes),Coke de pétrole (en milliers de tonnes),Coke de pétrole (en milliers de tonnes),Butane propane (en milliers de tonnes),Butane propane (en milliers de tonnes),Butane propane (en milliers de tonnes),Butane propane (en milliers de tonnes),Butane propane (en milliers de tonnes),Butane propane (en milliers de tonnes),Butane propane (en milliers de tonnes),Fioul lourd (en milliers de tonnes),Fioul lourd (en milliers de tonnes),Fioul lourd (en milliers de tonnes),Fioul lourd (en milliers de tonnes),Fioul lourd (en milliers de tonnes),Fioul lourd (en milliers de tonnes),Fioul lourd (en milliers de tonnes),Fioul domestique (en milliers de litres),Fioul domestique (en milliers de litres),Fioul domestique (en milliers de litres),Fioul domestique (en milliers de litres),Fioul domestique (en milliers de litres),Fioul domestique (en milliers de litres),Fioul domestique (en milliers de litres),Vapeur (en milliers de tonnes),Vapeur (en milliers de tonnes),Vapeur (en milliers de tonnes),Vapeur (en milliers de tonnes),Vapeur (en milliers de tonnes),Vapeur (en milliers de tonnes),Vapeur (en milliers de tonnes),Electricité (en GWh),Electricité (en GWh),Electricité (en GWh),Electricité (en GWh),Electricité (en GWh),Electricité (en GWh),Electricité (en GWh)
17,Industrie du papier et du carton,s,s,s,s,s,4,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10705,so,so,so,10705,273,25.5,s,so,so,so,s,s,s,0,0,0,0,0,0,0,10,1,1,0,10,s,s,s,s,s,s,s,31,s,7614,1474,1232,-242,7856,5,0.6,5361,so,so,so,5361,112,20.8,9202,so,so,so,10245,493,53.5
18,Imprimerie et reproduction d'enregistrements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,so,so,so,1001,32,31.5,8,so,so,so,8,0,38.1,0,0,0,0,0,0,0,2,s,s,s,s,1,735.4,s,s,s,s,0,0,s,3680,1027,740,-288,3967,2,0.5,26,so,so,so,26,1,31.9,s,so,so,so,1445,98,s
20,Industrie chimique,490,24,18,-7,497,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,42863,so,so,so,42863,1041,24.3,859,so,so,so,859,29,34.2,s,s,s,s,s,s,s,1264,12,6,-6,1270,612,484.2,s,s,s,s,341,122,s,18078,2877,2098,-780,18857,10,0.6,10608,so,so,so,10608,264,24.8,17258,so,so,so,18128,885,51.3
21,Industrie pharmaceutique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2504,so,so,so,2504,75,30.1,0,so,so,so,0,0,66.7,0,0,0,0,0,0,0,s,s,s,s,s,1,s,1,1,1,0,1,0,420.1,2635,s,s,s,s,1,0.5,287,so,so,so,287,10,36.3,2229,so,so,so,2233,139,62.3
22,Fabrication de produits en caoutchouc et en plastique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3134,so,so,so,3134,103,32.8,24,so,so,so,24,1,36.6,0,0,0,0,0,0,0,12,1,1,0,12,s,s,14,2,1,0,14,s,s,13346,2702,2235,-466,13812,7,0.6,1283,so,so,so,1283,35,26.9,7051,so,so,so,7067,459,65.2
23,Fabrication d'autres produits minéraux non métalliques,469,107,66,-42,511,47,99.8,s,s,2,s,52,5,s,94,12,9,-2,96,25,270.6,17527,so,so,so,17527,460,26.2,s,so,so,so,s,0,s,847,86,99,13,834,78,92.3,20,1,2,0,20,14,675.8,309,20,20,0,309,116,374.2,s,s,s,s,s,83,s,s,so,so,so,s,2,s,s,so,so,so,7861,464,s
24,Métallurgie,7162,880,1381,501,6661,1067,149,s,0,0,0,s,s,s,753,39,60,21,732,215,285.2,13410,so,so,so,13410,360,26.8,113,so,so,so,113,s,s,190,14,28,14,175,59,312,18,s,s,s,s,12,659.1,14,9,7,-2,16,6,414.7,s,s,s,s,s,17,s,1025,so,so,so,1025,24,23.3,21058,so,so,so,21842,908,43.1
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,4604,so,so,so,4604,154,33.4,136,so,so,so,136,5,38,0,0,0,0,0,0,0,31,4,5,1,30,21,669.6,2,1,1,-1,3,1,465.3,18312,2928,3031,103,18209,11,0.6,15,so,so,so,15,1,42.9,5049,so,so,so,5053,359,71
26,"Fabrication de produits informatiques, électroniques et optiques",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642,so,so,so,642,23,35.4,3,so,so,so,3,0,45.3,0,0,0,0,0,0,0,1,0,0,0,1,0,721.6,0,0,0,0,0,0,428.6,4123,1913,1546,-367,4489,2,0.6,8,so,so,so,8,0,39.1,2306,so,so,so,2306,138,59.7
27,Fabrication d'équipements électriques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,s,s,10,s,1784,so,so,so,1784,s,s,4,so,so,so,4,0,41.2,s,s,s,s,s,s,s,5,s,s,s,s,4,681.3,s,s,s,s,s,1,s,6253,1142,1117,-25,6278,3,0.5,21,so,so,so,21,1,33.4,s,so,so,so,2154,145,s
28,Fabrication de machines et équipements n.c.a.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2280,so,so,so,2280,85,37.3,18,so,so,so,18,1,35,0,0,0,0,0,0,0,12,s,s,s,s,9,737.8,s,s,s,s,s,0,s,14880,2505,2031,-474,15353,10,0.7,s,so,so,so,s,s,s,s,so,so,so,2181,s,s
29,Industrie automobile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,7,2,319,4811,so,so,so,4811,139,28.8,3,so,so,so,3,0,46.2,0,0,0,0,0,0,0,9,s,s,s,s,6,697.9,0,s,s,s,s,0,469.3,4553,742,781,40,4513,3,0.6,s,so,so,so,s,14,22.6,s,so,so,so,4839,308,s
30,Fabrication d'autres matériels de transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1976,so,so,so,1976,67,34.1,s,so,so,so,s,0,s,0,0,0,0,0,0,0,3,0,0,0,3,s,s,s,s,s,s,s,s,s,3010,2135,2062,-74,3083,2,0.6,100,so,so,so,100,3,34.7,s,so,so,so,1802,115,s
31,Fabrication de meubles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,so,so,so,478,17,36.6,s,so,so,so,s,0,s,0,0,0,0,0,0,0,s,s,s,s,s,3,s,s,s,s,s,s,0,s,5246,1079,1129,49,5196,3,0.5,0,so,so,so,0,0,0,573,so,so,so,574,45,78.5
32,Autres industries manufacturières,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,so,so,so,361,13,35.5,1,so,so,so,1,0,38.2,0,0,0,0,0,0,0,2,s,s,s,s,1,738.3,0,s,s,s,s,0,0,1432,150,92,-59,1491,1,0.7,s,so,so,so,s,s,s,s,so,so,so,598,s,s
33,Réparation et installation de machines et d'équipements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,so,so,so,334,13,38.2,25,so,so,so,25,1,52.6,0,0,0,0,0,0,0,2,0,0,0,2,s,s,s,s,s,s,1,s,s,6277,618,407,-212,6488,4,0.6,s,so,so,so,s,s,s,s,so,so,so,363,s,s
38,"Collecte, traitement et élimination des déchets ; récupération",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
