naf_code,naf_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),T2 Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
13,Fabrication de textiles,139,0,0,0,,1324,1324,48,36.0,,,,,0,0,0,,3,3,2,551,2,2,1,408,3908,3876,2,0.58,,,,,0,0,0,,0,0,,,,,,,,,1073,1073,,86,81
14,Industrie de l'habillement,18,0,0,0,,154,154,6,39.0,,,,,0,0,0,,0,1,0,833,0,0,0,513,819,691,1,0.63,,,,,0,0,0,,0,0,,,,,,,,,126,127,,11,86
15,Industrie du cuir et de la chaussure,18,0,0,0,,94,94,4,43.0,,,,,0,0,0,,1,1,0,547,1,1,0,488,975,917,1,0.58,,,,,0,0,0,171,0,0,,,,,,,,,129,129,,12,95
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",191,0,0,0,,682,682,23,34.0,,,,,0,0,0,,4,4,3,824,1,1,1,544,16149,14910,10,0.61,,,,,,,,,,,,,,,,,,,,,,,
17,Industrie du papier et du carton,928,36,36,3,94.0,11067,11067,301,27.0,,,,,0,0,0,,5,5,4,662,41,40,13,314,6141,5857,4,0.59,,,,,967,1212,49,50,10488,107,20,,,,,,,,7703,8703,,447,58
18,Imprimerie et reproduction d'enregistrements,117,0,0,0,,613,613,22,36.0,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,0,0,0,,,,,,,,,,,,1090,1091,,91,84
20,Industrie chimique,3226,89.0,88.0,19.0,209.0,38632,38632,929,24.0,,,,,,,,,2163,2163,802,371,197,192,61,310,,,,,,,,,,,,,23984,315,26,,,,,,,,18769,19381,,1019,54
21,Industrie pharmaceutique,313,0,0,0,,2177,2177,74,34.0,,,,,0,0,0,,1,1,1,784,,,,,1250,1239,1,0.61,,,,,0,0,0,,2718,37,27,,,,,,,,,2779,,201,72
22,Fabrication de produits en caoutchouc et en plastique,651,0,0,0,,2814,2814,100,36.0,,,,,0,0,0,,10,9,7,700,9,9,3,398,6254,6221,4,0.58,,,,,0,71,0,56,1652,18,22,,,,,,,,,6666,,518,78
23,Fabrication d'autres produits minéraux non métalliques,1243,424,428,53,512,17883,17883,479,27.0,,,,,705,728,83,118,12,11,8,679,154,156,49,318,30397,29765,18,0.6,,,,,,,,,524,8,29,,,,,,,,,8217,,538,66
24,Métallurgie,2413,424.0,436.0,97.0,228.0,13937,13937,367,26.0,,,,,,,,,8,8,5,570,,,,,,,,,,,,,,,,,600,7,23,,,,,,,,20921,21597,,946,45
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",613,,,,,4245,4245,158,37.0,,,,,0,0,0,,29,28,20,693,2,2,1,505,,,,,,,,,1,5,0,81,30,1,46,,,,,,,,4991,4994,,422,85
26,"Fabrication de produits informatiques, électroniques et optiques",190,0,0,0,,586,586,29,50.0,,,,,0,0,0,,0,0,0,699,0,0,0,750,2629,2713,1,0.57,,,,,0,0,0,267,20,1,68,,,,,,,,,2107,,158,75
27,Fabrication d'équipements électriques,213,0.0,0.0,0.0,,1359,1359,52,38.0,,,,,0,0,0,,3,3,2,704,1,0,0,535,,,,,,,,,,,,,14,0,45,,,,,,,,,1871,,151,81
28,Fabrication de machines et équipements n.c.a.,297,0,0,0,,1793,1793,75,42.0,,,,,0,0,0,,7,7,6,787,1,1,0,534,11934,10491,7,0.61,,,,,1,5,0,82,0,0,,,,,,,,,2352,2358,,209,89
29,Industrie automobile,450,0.0,0.0,0.0,,3699,3699,123,33.0,,,,,0,0,0,,8,8,5,611,0,0,0,781,,,,,,,,,,,,,316,5,29,,,,,,,,4590,4601,,312,68
30,Fabrication d'autres matériels de transport,204,0,0,0,,1302,1302,49,38.0,,,,,0,0,0,,3,3,2,730,1,1,0,427,2630,2497,2,0.63,,,,,,,,,150,3,44,,,,,,,,,1845,,145,79
31,Fabrication de meubles,66,0,0,0,,295,295,13,43.0,,,,,0,0,0,,2,2,1,749,,,,,3232,3289,2,0.54,,,,,,,,,0,0,,,,,,,,,548,549,,49,90
32,Autres industries manufacturières,88,0,0,0,,425,425,17,40.0,,,,,0,0,0,,1,1,1,870,,,,,774,610,0,0.6,,,,,0,0,0,,,,,,,,,,,,815,815,,69,85
33,Réparation et installation de machines et d'équipements,91,0,0,0,,778,778,33,43.0,,,,,0,0,0,,2,2,1,750,1,0,1,568,8543,8218,5,0.59,,,,,0,0,0,,,,,,,,,,,,,,,,
38,"Collecte, traitement et élimination des déchets ; récupération",99,0,0,0,,903,903,27,30.0,,,,,,,,,2,2,2,612,,,,,18043,16911,11,0.62,,,,,,,,,318,2,15,,,,,,,,,556,,54,96
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",134,0,0,0,,494,494,16,32.0,,,,,0,0,0,,2,2,1,535.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,,0.0,149.0
