reg_code,reg_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,T4 Consommation d’électricité T4,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
ARA,Auvergne-Rhône-Alpes,118,72,190,94,87,18560,18647,9180,2741,3261,1940,1525,,
BFC,Bourgogne-Franche-Comté,,0,0.0,,3,,,3367,,,449,416,,
BRE,Bretagne,13,1,14,1,13,4279,4292,2568,392,28,318,986,,
CVL,Centre-Val de Loire,123,1,124,,,,3794,2580,434,28,351,399,,
DOM,Départements d’Outre-mer,5,2,7,1,6,506,512,363,,,19,117,,
FRA,France,4725,387,5112,1168,3935,107783,111718,70492,11465,11851,7976,9934,,
GRE,Grand Est,754,114,868,276,592,16579,17171,12866,2026,238,971,1070,,
HDF,Hauts-de-France,,,,143,1366,19445,20811,12214,1691,4813,805,1287,,
IDF,Ile-de-France,,0,0.0,,15,5164,5179,2649,849,64,770,847,,
NOA,Nouvelle-Aquitaine,398,27,425,152,273,7748,8021,5474,,,613,781,,
NOR,Normandie,478,2,480,40,440,8205,8645,6833,530,50,506,726,,
OCC,Occitanie,,,,68,270,,,2726,,676,361,486,,
PAC,Provence-Alpes-Côte d'Azur,783,0,783,,,,8409,5746,277,1443,444,500,,
PAL,Pays de la Loire,75,3,78,36,42,5782,5824,3928,626,48,428,794,,
