teff_code,teff_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,Consommation d’électricité,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
100-249,100 à 249 salariés,1550,307,1857,610,1290,26929,28219,,2878,,,,,
20-49,20 à 49 salariés,144,20,164,127,37,11345,11382,,480,,,,,
250-499,250 à 499 salariés,2527,12,2539,1240,1299,24060,25359,,2792,,,,,
50-99,50 à 99 salariés,56,32,88,27,62,13592,13654,,678,,,,,
500+,500 salariés et plus,1340,83,1423,139,1283,30148,31432,,2126,,,,,
_T,Total,5617,454,6071,2143,3971,106074,110045,,8954,,,,,
