naf_code,naf_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
13,Fabrication de textiles,129.0,0,0,0,0,1345,1345,43,32,,,,,0,0,0,0,4,4,2,566,2,2,1,619,,,,,,,,,0,0,0,0.0,,,,0,0,,0,0,,,1009,1009,,79,79
14,Industrie de l'habillement,0.0,0,0,0,0,,,,,,,,,0,0,0,0,1,1,0,737,0,0,0,882,1771,1697,1,0.7,,,,,0,0,0,0.0,0,0,66,0,0,,0,0,,,,107,,10,99
15,Industrie du cuir et de la chaussure,21.0,0,0,0,0,,,,,,,,,0,0,0,0,1,1,0,619,0,0,0,0,553,530,0,0.76,,,,,,,,,96,1,18,0,0,,0,0,,,144,144,,14,97
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",186.0,0,0,0,0,686,686,18,27,,,,,0,0,0,0,,,,,1,1,1,639,17929,17940,14,0.77,,,,,354,1187,12,34,,,,0,0,,0,0,,,1857,1865,,138,74
17,Industrie du papier et du carton,757.0,18,18,2,109,10206,10206,235,23,,,,,0,0,0,0,4,5,3,796,26,28,11,432,5475,5494,4,0.74,,,,,930,1388,37,39,8328,81,20,0,0,,0,0,,,6919,7538,,383,55
18,Imprimerie et reproduction d'enregistrements,102.0,0,0,0,0,472,472,18,38,,,,,0,0,0,0,2,2,2,781,0,0,0,523,1108,1209,1,0.75,,,,,,,,,,,,0,0,,0,0,,,961,961,,81,85
20,Industrie chimique,3141.0,578,532,85,148,37107,37107,699,19,,,,,,,,,2496,2492,992,397,,,,,16345,16366,12,0.75,,,,,225,265,12,53,29216,328,22,277210,821079,,24,0,,,18918,19883,,977,52
21,Industrie pharmaceutique,251.0,0,0,0,0,2033,2033,67,33,,,,,0,0,0,0,2,2,1,718,0,0,0,0,1215,1102,1,0.83,,,,,0,0,0,0.0,790,14,35,0,0,,0,7,,,,2339,,168,72
22,Fabrication de produits en caoutchouc et en plastique,605.0,0,0,0,0,2950,2950,98,33,,,,,0,0,0,0,11,11,8,735,20,20,9,467,6782,6608,5,0.75,,,,,10,42,1,57,1358,13,19,0,0,,0,0,,,,6686,,471,74
23,Fabrication d'autres produits minéraux non métalliques,1152.0,414,417,63,151,20721,20721,460,22,,,,,578,588,85,147,13,13,9,655,63,65,24,390,46615,46657,32,0.69,,,,,261,268,6,25,330,3,21,4835,5577,,3,1,,,,8201,,466,57
24,Métallurgie,2608.0,7582,7464,1279,169,13689,13689,305,22,,,,,,,,,,,,,4,4,2,452,20685,20693,15,0.73,,,,,1,1,0,113,902,7,16,,,,,,,,20742,21168,,944,45
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",573.0,,,,,3756,3756,134,36,,,,,0,0,0,0,29,29,20,683,,,,,12082,11932,9,0.76,,,,,3,7,0,91,28,0,34,1858,1858,,1,1,,,4824,4825,,402,83
26,"Fabrication de produits informatiques, électroniques et optiques",165.0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,770,,,,,7124,7041,5,0.72,,,,,0,0,0,0.0,30,1,53,266,266,,0,1,,,1918,1919,,139,72
27,Fabrication d'équipements électriques,211.0,21,21,6,312,1184,1184,42,36,,,,,0,0,0,0,3,3,2,757,0,0,0,866,2611,2647,2,0.75,,,,,0,1,0,13,24,1,59,1307,1307,,1,1,,,,1986,,156,79
28,Fabrication de machines et équipements n.c.a.,267.0,0,0,0,0,1646,1646,68,41,,,,,0,0,0,0,9,9,6,710,0,0,0,658,11659,11474,10,0.82,,,,,,,,,14,0,33,,,,,,,,2008,2009,,177,88
29,Industrie automobile,458.0,,,,,3897,3897,124,32,,,,,0,0,0,0,,,,,,,,,4231,4374,4,1,,,,,,,,,462,6,24,,,,,,,,,4449,,313,71
30,Fabrication d'autres matériels de transport,230.0,0,0,0,0,1391,1391,53,38,,,,,0,0,0,0,3,3,2,736,1,1,0,647,2772,2968,2,0.87,,,,,,,,,336,6,35,7,127,,0,2,,,2060,2075,,165,80
31,Fabrication de meubles,51.0,0,0,0,0,221,221,9,42,,,,,0,0,0,0,3,3,2,626,0,0,0,0,2762,2690,2,0.73,,,,,2,47,0,70,0,0,0,0,0,,0,0,,,,401,,38,95
32,Autres industries manufacturières,66.0,0,0,0,0,357,357,13,37,,,,,0,0,0,0,1,1,1,755,0,0,0,0,821,664,1,0.74,,,,,0,0,0,0.0,70,1,22,,,,,,,,,593,,51,86
