REG_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la région (ancienne nomenclature) en 2014,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
Bourgogne,s,0,0,0,s,0,0,0,0,0,0,0,0,0,0,215,s,s,53,269,0,0,0,0,0,1,0,0,s,s,s,0,0,s,s,3,1,0,3,7,0,0,0,0,0,0,0,0,0,0,25,0,4,3,32,0,0,0,0,0,s,0,0,s,0,s,so,0,s,7
Nord-Pas-de-Calais,s,s,0,0,s,s,2,0,0,s,54,128,0,0,183,1136,s,84,97,s,s,s,0,0,115,7,s,0,s,s,9,0,0,2,11,10,0,0,10,20,s,s,0,1,s,0,0,0,0,0,20,0,0,s,s,4,0,0,0,4,s,s,0,0,s,78,so,s,s,82
Lorraine,789,0,s,0,s,48,0,0,0,48,130,46,0,0,176,661,s,s,62,745,s,s,0,0,s,1,0,0,4,5,1,0,0,0,2,s,s,s,7,14,s,0,0,0,s,0,0,0,0,0,51,0,s,5,s,18,0,0,0,18,61,0,0,s,s,49,so,0,4,53
Alsace,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,837,s,s,s,1078,s,s,0,0,19,2,2,0,5,9,5,0,0,0,5,5,0,0,6,11,s,0,0,0,s,0,0,0,0,0,69,0,0,s,s,s,0,0,s,6,s,0,0,0,s,44,so,s,s,49
Franche-Comté,104,0,0,0,104,0,0,0,0,0,s,0,0,0,s,139,s,0,s,203,s,0,0,0,s,11,0,s,s,17,4,0,0,1,5,1,0,0,5,7,s,0,0,s,s,0,0,0,0,0,13,0,0,5,18,s,0,0,s,s,s,0,0,0,s,s,so,0,s,s
Pays de la Loire,s,0,0,0,s,s,0,0,0,s,s,0,0,0,s,395,0,s,s,462,57,0,0,0,57,19,0,0,7,26,17,s,1,0,s,3,0,2,12,18,s,0,0,s,s,0,0,0,0,0,15,0,s,2,s,s,0,s,0,19,s,0,0,0,s,75,so,0,7,82
Bretagne,s,0,0,s,s,0,0,0,0,0,0,0,0,0,0,366,0,0,36,403,0,0,0,0,0,20,s,s,4,s,24,0,0,0,24,4,0,3,8,15,0,0,0,s,s,s,0,0,0,s,s,0,0,s,s,s,0,0,0,s,0,0,0,0,0,32,so,0,4,36
Poitou-Charentes,45,0,0,0,45,0,0,0,0,0,0,0,0,0,0,133,0,15,22,170,s,s,0,0,56,12,0,0,2,15,26,0,0,0,26,3,2,0,9,15,s,5,0,s,6,0,0,0,0,0,29,0,0,1,30,21,0,0,0,21,30,0,0,0,30,8,so,0,0,9
Aquitaine,s,s,s,s,s,0,0,0,0,0,0,0,0,0,0,227,1,7,45,282,s,0,0,0,s,3,s,0,2,s,s,s,s,s,92,3,s,s,5,9,0,0,0,0,0,278,s,s,0,318,138,0,9,6,153,s,0,0,0,s,s,0,0,0,s,302,so,s,s,313
Midi-Pyrénées,0,s,0,0,s,0,0,0,0,0,s,0,0,0,s,156,1,0,30,189,s,2,0,0,s,9,s,0,2,s,s,s,0,1,14,4,s,s,4,9,s,0,0,s,0,s,s,0,s,s,29,0,s,9,s,s,0,0,0,s,s,0,0,0,s,19,so,s,s,25
Limousin,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,88,0,0,12,100,0,0,0,0,0,1,s,s,s,s,4,0,0,s,s,1,0,0,1,2,0,0,0,0,0,189,0,0,0,189,s,0,0,s,s,s,0,0,0,s,0,0,0,0,0,9,so,s,s,11
Rhône-Alpes,26,88,0,0,115,0,0,0,0,0,s,s,0,0,7,768,103,2,138,1012,87,22,0,0,109,24,4,0,8,36,43,0,0,2,45,4,0,2,21,27,12,s,s,0,15,0,0,0,0,0,48,0,0,4,52,29,0,0,0,29,45,s,0,s,47,218,so,6,8,232
Auvergne,s,0,0,0,s,0,0,0,0,0,21,1,0,0,22,197,s,s,28,241,s,0,0,0,s,8,0,0,2,9,s,0,0,s,6,3,0,0,3,6,0,0,0,0,0,0,0,0,0,0,12,0,0,2,14,s,0,0,0,s,s,0,0,0,s,15,so,0,1,16
Languedoc-Roussillon,s,s,0,0,67,0,0,0,0,0,0,0,0,0,0,133,s,s,s,144,24,0,0,0,24,3,0,0,1,4,3,0,0,0,3,1,0,1,6,8,s,0,0,0,s,0,0,0,0,0,s,0,0,s,21,s,0,0,11,s,38,0,0,0,38,s,so,0,s,s
PACA et Corse,0,s,s,0,s,0,0,0,0,0,0,0,0,0,0,664,s,s,s,s,108,0,0,0,108,2,1286,0,1,1289,141,0,s,s,143,8,0,1,7,17,s,0,s,0,137,0,0,s,0,s,13,0,s,0,s,11,0,0,0,11,s,0,0,0,s,207,so,0,1,208
DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,6,0,1,3,10,s,0,0,0,s,0,0,0,0,0,s,0,0,0,s,9,0,0,0,9,0,1,0,0,1,68,so,0,0,68
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
