teff_code,teff_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),T2 Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
100-249,100 à 249 salariés,3910,871.0,869.0,147.0,657.0,43174,43174,1322,30.6,,,,,455,452,51,112.8,490,491,334,681.1,271,273,156,575.9,69682,69873,54,0.8,,,,,355,732,15,43.1,12424,157,25.3,,,,,,,,25713,26688,,1672,65.0
20-49,20 à 49 salariés,1558,129.0,132.0,16.0,122.8,10598,10598,377,35.6,,,,,34,36,5,145.1,,,,,47,47,29,628.4,115927,116481,92,0.8,,,,,140,313,6,40,1296,18,27.9,,,,,,,,11548,11587,,865,74.9
250-499,250 à 499 salariés,3729,744.0,747.0,95.0,541.6,36179,36179,1054,29.1,,,,,31,31,15,467.2,798,792,573,718.4,344,348,190,551.3,30330,31726,23,0.8,,,,,910,1348,32,34.7,13300,198,29.8,,,,,,,,26196,27890,,1550,59.2
50-99,50 à 99 salariés,1701,488.0,436.0,69.0,460.3,16057,16057,543,33.8,,,,,257,286,30,117.2,45,45,39,855.2,56,105,31,561.0,68997,69419,54,0.8,,,,,255,353,8,31.8,4342,65,29.8,,,,,,,,12340,12433,,863,69.9
500+,500 salariés et plus,4402,6588.0,6284.0,1211.0,540.6999999999999,33196,33196,1020,92.1,,,,,137,137,50,366.0,4.0,4.0,3.0,2106.9,87,90,49,1856.0,39654,39139,31,2.3,,,,,,,,,11476,181,92.0,,,,,,,,29994,31022,,1661,170.6
_T,Total,15300,9207.0,8887.0,1636.0,611.8,139204,139204,4316,31.0,,,,,914,943,151,165.2,1638,1543,1196,730.4,804,862,455,566.1,324591,326638,254,0.8,,,,,1667,2855,61,36.7,42840,620,29.0,,,,,,,,105792,109621,,6610,62.5
