reg_code,reg_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,T4 Consommation d’électricité T4,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
ARA,Auvergne-Rhône-Alpes,641.0,240.0,881.0,676.0,216.0,17166.0,17382,9315,3836,2508,1722,,,
BFC,Bourgogne-Franche-Comté,4.0,0.0,4.0,3.0,17.0,5477.0,5494,3453,729,13.0,245.0,,,
BRE,Bretagne,24,132,156.0,6,150.0,3934.0,4084,2980,670,23,411,,,
CVL,Centre-Val de Loire,173,1,174.0,75,99.0,3552.0,3650,2680,595,38,337,,,
DOM,Départements d’Outre-mer,7,4,11.0,2,9.0,578.0,587,345,157,0,85,,,
FRA,France,5614,903,6517.0,2687,3829.0,105792.0,109621,75112,16329,10819,7360,,,
GRE,Grand Est,588,,588.0,,267.0,13365.0,13633,10913,1666,265,789,,,
HDF,Hauts-de-France,1343,0.0,1343.0,5.0,876.0,20618.0,21494,13804,2327,4524,839,,,
IDF,Ile-de-France,103,0,103.0,49,55.0,4927.0,4982,3334,1042,66,541,,,
NOA,Nouvelle-Aquitaine,458,58,516.0,211,306.0,7816.0,8121,5903,1443,326,448,,,
NOR,Normandie,522,,522.0,0.0,333.0,5670.0,8061,6628,855,110,469,,,
OCC,Occitanie,341,63.0,404.0,130,285.0,2472.0,4450,2622,820,,,,,
PAC,Provence-Alpes-Côte d'Azur,,2,2.0,,832.0,7493.0,8325,6082,577,1381,285,,,
PAL,Pays de la Loire,83,3,86.0,67,18.0,5736.0,5754,4366,895,42,450,,,
