reg_code,reg_label,Nombre d’établissements,Consommation de combustibles minéraux solides,Consommation de gaz naturel et autres gaz,Consommation de biogaz et biométhane,Consommation de coke de pétrole,Consommation de butane-propane,Consommation de fioul lourd,Consommation de fioul domestique,Consommation de gazole non routier,Consommation de combustibles usuels,Consommation d’autres produits pétroliers,Consommation de liqueur noire,Consommation de bois et sous-produit du bois,Consommation d’hydrogène,Consommation de combustibles spéciaux renouvelables,Consommation de combustibles spéciaux non renouvelables,Consommation autres combustibles,Vapeur consommée,T1 Consommation d’électricité T1,Total brut de la consommation,Vapeur vendue,Consommation de combustibles pour la production d’électricité,Total net de la consommation
ARA,Auvergne-Rhône-Alpes,,148.0,1483,,126.0,30.0,114,35,,1969,43,0,82,,24.0,31.0,183,232,,3879,0.0,0.0,3622
BFC,Bourgogne-Franche-Comté,,97.0,403,,,,9.0,13,,558,0.0,0,40,,2.0,,57,64,,1150,0.0,0.0,1099
BRE,Bretagne,,0.0,336,,0,,29,19,,431,0,,,,0,0,15,29,,827,0.0,0.0,816
CVL,Centre-Val de Loire,,36.0,398,,39,11,25,10,,518,,0,29,,,,36,12,,880,0.0,0.0,861
DOM,Départements d’Outre-mer,,0.0,9,,0,1,,11,,,,0,,,,,,80,,187,0.0,0.0,185
FRA,France,,5425.0,10719,,718,1690,821,276,,19649,1296,852,734,,303,367,3551,1542,,34170,488.0,1001.0,32681
GRE,Grand Est,,1010.0,1737,,45.0,7.0,25,24,,2875,,0,124,,,60,550,118,,4715,0.0,0.0,4561
HDF,Hauts-de-France,,285.0,1937,,140,21.0,134,36,,4922,,0,2,,4.0,90.0,352,202,,7324,0.0,0.0,7136
IDF,Ile-de-France,,49.0,713,,8,,5,11,,,0,0,,,,0,,16,,1242,0.0,0.0,1232
NOA,Nouvelle-Aquitaine,,164.0,494,,61,31,68,28,,759.0,0.0,356.0,184.0,,15.0,37.0,702.0,255,,2708,0.0,0.0,2530
NOR,Normandie,,35.0,1253,,,,126,16,,1679,424.0,0,63,,49.0,29.0,571,185,,3129,0.0,0.0,3065
OCC,Occitanie,,61.0,370,,25.0,5.0,19,16,,548,0.0,0.0,,,5.0,33.0,270,27,,1228,0.0,0.0,1208
PAC,Provence-Alpes-Côte d'Azur,,0.0,732,,,1074,157,22,,3245,167,,,,9,15,361,203,,4525,0.0,0.0,4080
PAL,Pays de la Loire,,9.0,385,,,,42,21,,529,1,0,43,,,,102,66,,1192,0.0,0.0,1169
