reg_code,reg_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,T4 Consommation d’électricité T4,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
ARA,Auvergne-Rhône-Alpes,286.4,51.6,338.0,91.5,246.5,18473.1,18719.6,8369.0,1908.8,3921.2,1337.9,2465.1,554.1,44.4
BFC,Bourgogne-Franche-Comté,44.6,0.6,45.2,,,,5458.3,2836.3,555.2,,360.5,558.7,,8.6
BRE,Bretagne,,,65.2,,,,4447.7,2439.5,329.1,,323.2,1099.3,,
CVL,Centre-Val de Loire,366.1,2,368.1,160.9,207.2,3428,3635.2,2062.7,277.7,2.6,381.1,614.2,139.2,14.3
DOM,Départements d’Outre-mer,,,21.5,,,,597.3,304.9,7.5,0.3,27.6,207.1,32.2,6
FRA,France,5760.6,1024.1,6784.7,2775.8,4008.8,105892.5,109901.3,59994.8,9739.6,12806.3,6694.1,15540.0,3694.8,260
GRE,Grand Est,1107.9,20.3,1128.1,483.6,644.6,16549,17193.6,11890.8,1564.5,166.4,679.4,2149.3,641,38.5
HDF,Hauts-de-France,1377.7,11.1,1388.8,52.1,1336.7,19623.2,20959.9,10308.3,2035.8,4990.7,925.3,2064.1,512.1,33.7
IDF,Ile-de-France,80.2,0.4,80.6,,,,4412.9,2134.2,536.0,,484.1,960.5,,12.4
NOA,Nouvelle-Aquitaine,880.1,735.3,1615.4,1030.6,584.8,7754.1,8338.9,4855.6,766.7,446.1,551.2,1091.0,244.6,20.9
NOR,Normandie,608.4,2.1,610.5,,,,7451.0,4999.8,444.8,48.7,339.6,1020.5,309.3,16.2
OCC,Occitanie,,,383.0,,,,4996.3,2310.2,605.6,661.7,429.3,750.5,199.2,14.9
PAC,Provence-Alpes-Côte d'Azur,647.9,4.4,652.3,360.6,291.7,8070.9,8362.6,4592.1,197.7,1523.4,321.7,1459.4,250.4,5.2
PAL,Pays de la Loire,63.8,24.1,87.9,22.3,65.6,5262.3,5327.8,2891.4,510.2,,533.3,1100.4,232.9,
