Tab5_Taille : Répartition de la consommation d'électricité par usage en GWh selon la taille de l'entreprise,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
INDICATEUR,Force motrice,Usages thermiques,Autres usages y compris électrolyse,Ensemble des usages
TAILLE,,,,
Total,63781,14484,14388,92654
20 à 49 employés,6523,1109,469,8101
50 à 99 employés,8531,1353,819,10704
100 à 249 employés,14382,3626,2669,20676
250 à 499 employés,15141,4640,3006,22786
500 à 999 employés,8160,1688,5732,15579
1 000 à 1 999 employés,3817,1069,1214,6100
2 000 employés ou plus,7228,1000,479,8708
Champ : France métropolitaine.,,,,
Source : Enquête annuelle sur les consommations d'énergie dans l'industrie 2010.,,,,
