Tab1_reg-nce : Répartition de la consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) selon la région,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,INDICATEUR,Consommation de combustibles,Consommation totale brute,Consommation totale nette
,E30 - Construction mécanique,14,29,29
,E31 - Construction électrique et électronique,s,40,40
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,10,24,24
,"E33 - Construction navale et aéronautique, armement",10,18,18
,"E34 - Industrie textile, du cuir et de l'habillement",5,7,7
,E35 - Industrie du papier et du carton,86,129,111
,E36 - Fabrication de produits en caoutchouc,22,38,37
,E37 - Fabrication de produits en plastique,11,47,46
,E38 - Industries diverses,71,100,94
Basse-Normandie,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,s,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,9,14,14
,E22 - Industrie du verre,2,4,4
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,s,s,s
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,s,s
,E26 - Autres industries de la chimie organique de base,7,10,10
,E28 - Parachimie et industrie pharmaceutique,4,9,9
,E29 - Fonderie et travail des métaux,7,18,18
,E30 - Construction mécanique,4,8,8
,E31 - Construction électrique et électronique,3,11,11
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,20,41,41
,"E33 - Construction navale et aéronautique, armement",3,6,6
,"E34 - Industrie textile, du cuir et de l'habillement",2,5,5
,E35 - Industrie du papier et du carton,14,23,23
,E36 - Fabrication de produits en caoutchouc,1,3,3
,E37 - Fabrication de produits en plastique,2,9,9
,E38 - Industries diverses,9,18,18
Bourgogne,E16 - Sidérurgie,34,57,57
,E18 - Métallurgie de première transformation des métaux non ferreux,3,6,6
,E19 - Production de minéraux divers,s,3,3
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,22,29,29
,E22 - Industrie du verre,s,61,61
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,s,s,s
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,7,7
,E26 - Autres industries de la chimie organique de base,14,17,17
,E28 - Parachimie et industrie pharmaceutique,5,10,10
,E29 - Fonderie et travail des métaux,48,71,71
,E30 - Construction mécanique,12,20,20
,E31 - Construction électrique et électronique,17,36,36
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,9,17,17
,"E33 - Construction navale et aéronautique, armement",s,s,s
