Tab4_NCE : Répartition de la consommation de combustibles par usage  en milliers de tonnes-équivalent-pétrole (kTEP) selon la nomenclature des activités consommatrices d'énergie,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75
E23 - Fabrication d'engrais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,674,8,2,1022,0,0,0,0,0,0,0,0,0,0,s,0,0,s,4,s,0,0,s,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0
E24 - Autres industries de la chimie minérale,94,0,17,2,s,150,0,52,3,205,0,s,0,0,s,0,s,0,0,s,226,233,s,s,612,0,0,0,0,0,0,0,0,0,0,s,0,s,0,1,s,s,0,0,s,1,0,0,0,1,0,s,0,0,s,s,s,s,s,s,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",90,0,s,s,98,s,0,s,s,s,0,0,0,0,0,0,0,0,0,0,252,1,26,16,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,0,s,6,0,s,0,1,s,s,s,0,0,s,0,0,0,0,0,s,0,0,0,s,0,0,0,0,0,0,0,0,0,0
E26 - Autres industries de la chimie organique de base,387,0,s,s,560,56,7,6,2,72,0,0,0,0,0,0,0,0,0,0,708,445,88,107,1347,59,s,s,s,65,s,0,0,0,s,16,1343,s,s,s,234,0,0,s,s,4,0,s,3,s,816,s,s,0,830,0,s,0,0,s,s,0,s,0,12,s,s,0,s,s,12,20,0,3,35
E28 - Parachimie et industrie pharmaceutique,10,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,s,s,218,0,0,0,0,0,0,0,0,0,0,2,11,0,3,16,s,s,s,0,s,s,s,1,4,6,0,0,0,0,0,0,0,0,0,0,s,0,0,s,s,s,s,0,0,s,0,s,0,s,s
E29 - Fonderie et travail des métaux,1,0,0,1,s,s,s,0,0,s,s,s,0,0,s,189,s,0,0,s,401,0,0,184,585,9,0,0,3,12,s,s,0,s,s,21,s,s,19,40,1,0,0,2,4,4,0,1,14,19,s,s,0,0,s,0,0,0,0,0,s,0,0,s,s,0,0,0,0,0,0,0,0,0,0
E30 - Construction mécanique,s,0,0,s,1,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,60,0,0,126,187,1,0,0,1,2,0,0,0,0,0,9,0,0,8,17,0,0,0,s,s,2,0,s,10,s,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
E31 - Construction électrique et électronique,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,19,s,0,0,s,72,s,s,118,s,0,0,0,1,1,0,35,0,s,s,s,0,0,5,s,1,0,0,s,s,1,0,s,7,s,s,0,0,0,s,s,s,s,s,s,0,0,0,s,s,0,0,0,s,s,0,s,s,s,s
E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,5,0,s,29,s,0,0,0,0,0,0,0,0,0,0,s,s,0,0,5,173,s,s,223,406,0,0,0,0,0,0,0,0,0,0,5,s,s,7,11,0,0,0,1,1,4,0,0,5,9,0,0,0,0,0,0,0,0,0,0,s,0,0,s,s,0,0,0,0,0,s,0,0,0,s
"E33 - Construction navale et aéronautique, armement",s,0,0,s,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,11,100,142,s,0,0,s,1,0,0,0,0,0,0,1,0,1,3,0,0,0,s,s,1,0,s,2,s,s,s,0,0,1,0,0,0,0,0,0,0,0,s,s,s,s,s,1,s,s,s,0,s,s
"E34 - Industrie textile, du cuir et de l'habillement",3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,1,s,s,159,0,0,0,1,1,0,0,0,0,0,5,0,0,2,7,4,s,0,s,5,1,s,0,s,6,0,0,0,0,0,s,s,s,s,s,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0
E35 - Industrie du papier et du carton,354,0,21,11,386,25,0,s,s,29,0,0,0,0,0,0,0,0,0,0,697,s,s,53,824,0,0,0,s,s,0,0,0,0,0,7,0,s,s,11,53,0,16,s,s,s,0,0,5,s,0,0,0,0,0,430,20,237,s,s,228,0,229,5,462,102,0,s,s,112,s,0,s,0,s
E36 - Fabrication de produits en caoutchouc,52,0,0,13,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,s,s,36,108,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,s,0,1,1,s,0,0,0,0,0,s,s,s,s,s,s,0,0,s,s,0,0,0,0,0,0,0,0,0,0
E37 - Fabrication de produits en plastique,25,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,s,s,50,133,1,0,0,0,1,0,0,0,s,s,5,s,0,s,12,10,0,s,s,s,1,0,1,8,10,0,s,0,0,s,0,0,0,0,0,0,0,0,2,2,0,s,0,0,s,0,0,0,0,0
E38 - Industries diverses,s,0,0,s,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,s,s,64,206,0,0,0,1,2,0,0,0,0,0,7,0,0,4,12,2,0,0,3,5,5,0,2,12,18,0,0,0,0,0,s,0,0,0,s,267,0,s,55,s,0,0,0,0,0,0,0,0,0,0
Champ : France métropolitaine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Enquête annuelle sur les consommations d'énergie dans l'industrie 2010.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
