naf_code,naf_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
13,Fabrication de textiles,140,0,0,0,,1235,1235,45,37.0,,,,,0,0,0,,4,4,3,682,,,0,,1914,1953,1,0.68,,,,,0,0,0,,,0,,,,,,,,,,,,0,
14,Industrie de l'habillement,21,0,0,0,,169,169,7,40.0,,,,,0,0,0,,0,5,0,1010,0,0,0,,1548,1479,1,0.71,,,,,0,0,0,,0,0,,,,,,,,,,140,,13,91
15,Industrie du cuir et de la chaussure,17,0,0,0,,72,72,4,49.0,,,,,0,0,0,,1,1,1,678,0,0,0,755,1448,1409,1,0.73,,,,,0,0,0,78,0,0,,,,,,,,,111,111,,11,99
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",179,0,0,0,,655,655,22,33.0,,,,,0,0,0,,3,4,2,687,1,1,1,645,14097,13920,10,0.72,,,,,339,1006,11,33,258,2,19,,,,,,,,1736,1739,,131,75
17,Industrie du papier et du carton,1010,0.0,0.0,0,,11823,11823,345,29.0,,,,,0,0,0,,,,0,,,,0,,6213,6275,4,0.72,,,,,893,1160,41,46,11458,128,22,,,,,,,,,8742,,462,59
18,Imprimerie et reproduction d'enregistrements,117,0,0,0,,538,538,20,37.0,,,,,0,0,0,,2,2,2,890,0,0,0,,1852,1844,1,0.74,,,,,0,0,0,,,0,,,,,,,,,,,,0,
20,Industrie chimique,3891,648.0,641.0,56,86.0,39566,39566,1031,26.0,,,,,,,0,,2216,2205,1276,576,206,237,92,446,17122,17152,12,0.7,,,,,251,283,9,35,21218,328,31,,,,,,,,,19096,,1065,57
21,Industrie pharmaceutique,295,0,0,0,,2187,2187,76,35.0,,,,,0,0,0,,,,0,,,,0,,1276,1274,1,0.69,,,,,0,0,0,,2170,32,29,,,,,,,,,2581,,186,72
22,Fabrication de produits en caoutchouc et en plastique,684,0,0,0,,2894,2894,101,35.0,,,,,0,0,0,,12,12,10,833,8,8,4,519,7171,7315,5,0.72,,,,,0,61,0,102,1690,24,28,,,,,,,,7038,7079,,541,77
23,Fabrication d'autres produits minéraux non métalliques,1345,179.0,181.0,30,433.0,19495,19495,561,29.0,,,,,840,842,94,111,,,0,,123,123,57,463,36415,36214,26,0.72,,,,,257,263,7,28,362,5,29,,,,,,,,8121,8130,,528,65
24,Métallurgie,2413,501.0,488.0,110,220.0,13809,13809,406,29.0,,,,,,,0,,10,10,8,755,7,8,4,535,25486,25328,17,0.68,,,,,,,0,,682,8,23,,,,,,,,19710,20541,,974,49
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",652,,,0,,4424,4424,168,38.0,,,,,0,0,0,,30,28,23,775,,,0,,10947,11336,8,0.7,,,,,1,4,0,248,114,2,34,,,,,,,,5397,5400,,446,83
26,"Fabrication de produits informatiques, électroniques et optiques",181,0,0,0,,562,562,24,42.0,,,,,0,0,0,,1,1,1,874,0,0,0,756,1224,1268,1,0.67,,,,,0,0,0,,10,0,60,,,,,,,,,2185,,155,71
27,Fabrication d'équipements électriques,239,0.0,0.0,0,,1449,1449,55,38.0,,,,,0,0,0,,8,7,7,852,,,0,,5066,4941,4,0.7,,,,,,,0,,28,0,30,,,,,,,,,2123,,168,79
28,Fabrication de machines et équipements n.c.a.,308,0,0,0,,1853,1853,76,41.0,,,,,0,0,0,,8,7,7,896,1,1,1,632,13131,12687,10,0.77,,,,,0,5,0,141,0,0,,,,,,,,,,2511,,214,86
29,Industrie automobile,460,0.0,0.0,0,,3355,3355,119,35.0,,,,,0,0,0,,9,9,7,751,,,0,,4401,4530,3,0.72,,,,,3,6,0,65,382,5,27,,,,,,,,4485,4490,,320,71
30,Fabrication d'autres matériels de transport,225,0,0,0,,1321,1321,54,41.0,,,,,0,0,0,,3,3,2,770,1,1,0,432,4648,4680,3,0.69,,,,,,,0,,168,4,50,,,,,,,,2074,2081,,160,77
31,Fabrication de meubles,59,0,0,0,,194,194,9,44.0,,,,,0,0,0,,2,2,2,892,0,0,0,,8952,8751,7,0.81,,,,,2,76,0,36,0,0,,,,,,,,,450,450,,42,92
32,Autres industries manufacturières,77,0,0,0,,381,381,15,38.0,,,,,0,0,0,,1,1,1,845,0,0,0,,518,520,0,0.68,,,,,0,0,0,,0,0,,,,,,,,,771,771,,61,79
33,Réparation et installation de machines et d'équipements,72,0,0,0,,243,243,11,45.0,,,,,0,0,0,,0,0,0,1103,0,0,0,972,1621,1712,1,0.75,,,,,0,0,0,,68,1,38,,,,,,,,569,569,,58,102
38,"Collecte, traitement et élimination des déchets ; récupération",102,0,0,0,,831,831,27,32.0,,,,,0,0,0,,1,1,1,863,9,9,5,580,19584,19950,14,0.71,,,,,0,0,0,140,302,2,15,,,,,,,,566,567,,53,93
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",147,0,0,0,,659,659,22,33.0,,,,,0,0,0,,3,3,2,696.0,3.0,4.0,2,651.0,75811,76243,55,3.32,,,,,0.0,0.0,0,,0.0,0,,,,,,,,,0.0,3.0,,0,156.0
