reg_code,reg_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
ARA,Auvergne-Rhône-Alpes,965,103.0,2.0,166,,,7,0,2.0,24,,,,,,,,,,,,,
BFC,Bourgogne-Franche-Comté,354,,0.0,53.0,,,4,1,0.0,8,,,,,,,,,,,,,
BRE,Bretagne,366,0,0,36,,,4,0,3.0,8,,,,,,,,,,,,,
CVL,Centre-Val de Loire,292,,,51,,,,,1.0,6,,,,,,,,,,,,,
DOM,Départements d’Outre-mer,0,0,0,1,,,6,0,1.0,3,,,,,,,,,,,,,
FRA,France,8540,800,356,1002,,,75,6,16.0,152,,,,,,,,,,,,,
GRE,Grand Est,1498,,,62.0,,,5.0,0.0,0.0,13,,,,,,,,,,,,,
HDF,Hauts-de-France,1654,8.0,84.0,97.0,,,12,0,0.0,15,,,,,,,,,,,,,
IDF,Ile-de-France,386,,7,,,,2,0,0.0,7,,,,,,,,,,,,,
NOA,Nouvelle-Aquitaine,448,1,22,79,,,7,2.0,0.0,15,,,,,,,,,,,,,
NOR,Normandie,831,346,,63.0,,,3,1,2.0,11,,,,,,,,,,,,,
OCC,Occitanie,289,1.0,0.0,30.0,,,5,0.0,1.0,10,,,,,,,,,,,,,
PAC,Provence-Alpes-Côte d'Azur,664,,,,,,8,0,1.0,7,,,,,,,,,,,,,
PAL,Pays de la Loire,395,0,,,,,3,0,2.0,12,,,,,,,,,,,,,
