reg_code,reg_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
ARA,Auvergne-Rhône-Alpes,1033,,14,,,,6,0,1,22,,,,,,,,,,,,,
BFC,Bourgogne-Franche-Comté,369,8,1,101,,,3,1,0,14,,,,,,,,,,,,,
BRE,Bretagne,352,,,39,,,3,0,2,6,,,,,,,,,,,,,
CVL,Centre-Val de Loire,324,0,25,56,,,,,0,4,,,,,,,,,,,,,
DOM,Départements d’Outre-mer,0,0,0,0,,,14,0,1,4,,,,,,,,,,,,,
FRA,France,8271,1080,316,1065,,,96,4,9,173,,,,,,,,,,,,,
GRE,Grand Est,1513,467,45,175,,,15,1,0,28,,,,,,,,,,,,,
HDF,Hauts-de-France,1601,4,196,170,,,13,0,1,19,,,,,,,,,,,,,
IDF,Ile-de-France,415,,,,,,,,0,8,,,,,,,,,,,,,
NOA,Nouvelle-Aquitaine,458,1,11,79,,,7,0,1,18,,,,,,,,,,,,,
NOR,Normandie,840,352,9,90,,,4,0,1,8,,,,,,,,,,,,,
OCC,Occitanie,282,1,0,38,,,,,1,11,,,,,,,,,,,,,
PAC,Provence-Alpes-Côte d'Azur,651,,,16,,,,,0,19,,,,,,,,,,,,,
PAL,Pays de la Loire,433,0,3,61,,,5,0,1,11,,,,,,,,,,,,,
