reg_code,reg_label,Nombre d’établissements,Consommation de combustibles minéraux solides,Consommation de gaz naturel et autres gaz,Consommation de biogaz et biométhane,Consommation de coke de pétrole,Consommation de butane-propane,Consommation de fioul lourd,Consommation de fioul domestique,Consommation de gazole non routier,Consommation de combustibles usuels,Consommation d’autres produits pétroliers,Consommation de liqueur noire,Consommation de bois et sous-produit du bois,Consommation d’hydrogène,Consommation de combustibles spéciaux renouvelables,Consommation de combustibles spéciaux non renouvelables,Consommation autres combustibles,Vapeur consommée,T1 Consommation d’électricité T1,Total brut de la consommation,Vapeur vendue,Consommation de combustibles pour la production d’électricité,Total net de la consommation
ARA,Auvergne-Rhône-Alpes,3552.0,,1157.6,8.5,145.4,74.1,28.9,11.5,15.4,1589.2,38.5,0,72.6,7.3,17.2,57.8,193.4,217.6,1550.0,3550.2,,,3517.8
BFC,Bourgogne-Franche-Comté,1328.0,,416.0,2.5,,20.8,,4.3,12,467.6,,0,111.9,64,,,193.2,129.1,495.4,1285.4,,,1222.4
BRE,Bretagne,1235.0,,354.6,0.5,0,20.7,1.4,5,15.4,397.1,0,,,0,0,0,5.7,70.4,382.4,855.6,4.2,3.1,848.2
CVL,Centre-Val de Loire,1016.0,,336.8,2.3,29.5,9.2,,,4.9,418.0,0,0,30.5,0.2,4.5,,,,296.0,757.2,0,42.4,714.8
DOM,Départements d’Outre-mer,,,,,,,,,,,,,,,,,,,,,,,
FRA,France,20446.0,,9563.3,,624.5,1716.9,131.6,140.7,188,16929.6,1102.7,,1095.9,376.9,,449.3,4013.3,1846.3,9238.0,32027.1,270.7,791.8,30963.9
GRE,Grand Est,2045.0,,2096.1,18.5,73,16.8,,,24.2,2671.3,,0,393.4,,62.3,121.6,619.3,268.4,1329.7,4888.7,102.1,149.5,4636.6
HDF,Hauts-de-France,1970.0,,1830.4,,,,,9.5,19.8,4351.4,,0,42.3,,,80.8,346.2,177.9,1871.0,6746.5,14.6,241,6490.9
IDF,Ile-de-France,1661.0,,406.9,1.9,1.4,1.8,0.1,2.1,12.8,433.2,0,0,,0.1,,,,,420.5,893.5,,,892.0
NOA,Nouvelle-Aquitaine,1986.0,,522.7,6.8,,25.2,26.8,4.6,,692.0,,508.3,311.3,0.3,,83.5,932.8,327.9,657.4,2610.2,,,2281.1
NOR,Normandie,1235.0,,1096.0,1.3,,,,,,1715.9,656.6,0,43.4,,,0.7,895,230.3,598.9,3440.1,3.6,9.8,3426.7
OCC,Occitanie,1401.0,,311.8,3.1,45.3,12.2,17.7,4.6,21.4,457.4,0,,,,4.2,30.4,192.8,49.2,399.3,1098.7,,,1095.4
PAC,Provence-Alpes-Côte d'Azur,842.0,,655.1,,,839,,,12.2,3247.5,202.9,,,110.4,22.8,26.8,480.6,240.1,667.2,4635.4,16,43.2,4576.2
PAL,Pays de la Loire,1849.0,,371.4,4.2,,,2.9,6.3,12.3,460.4,0,0,50.6,0.9,22.9,34.1,108.5,65.7,524.0,1158.6,0,2.1,1156.5
