Type d'énergie,Total des énergies,,,,Houille,,,,Lignite - charbon pauvre,,,,Coke de houille,,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
E30 - Construction mécanique,so,so,526,so,0,0,0,so,0,0,0,so,0,0,0,so,2551,2551,102,40,0,0,0,so,9,9,8,840,2,2,2,913,9591,9573,7,1,1,5,0,68,16,16,1,60,s,4382,406,93
E31 - Construction électrique et électronique,so,so,437,so,0,0,0,so,0,0,0,so,23,23,7,299,2473,2473,96,39,s,s,s,s,s,s,s,s,1,1,1,566,7295,7333,6,1,1,2,0,72,13,13,1,40,4277,4282,312,73
E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,so,so,539,so,0,0,0,so,0,0,0,so,s,s,s,s,4684,4684,168,36,0,0,0,so,s,s,s,s,0,0,0,761,10393,10574,9,1,s,s,s,s,252,252,7,27,4800,4805,340,71
"E33 - Construction navale et aéronautique, armement",so,so,233,so,0,0,0,so,0,0,0,so,0,0,0,so,1633,1633,65,40,0,0,0,so,s,s,s,s,s,s,s,s,2906,3409,2,1,s,s,s,s,130,130,6,42,s,2075,157,77
"E34 - Industrie textile, du cuir et de l'habillement",so,so,192,so,0,0,0,so,0,0,0,so,0,0,0,so,1709,1709,64,38,0,0,0,so,7,11,5,744,3,3,2,566,s,s,s,s,s,s,s,s,s,s,s,s,1429,1431,114,80
E35 - Industrie du papier et du carton,so,so,1065,so,s,s,s,s,0,0,0,so,0,0,0,so,12187,12187,382,31,0,0,0,so,6,6,5,878,s,s,s,s,s,s,s,s,808,1081,32,39,5773,5773,129,22,8512,9204,488,57
E36 - Fabrication de produits en caoutchouc,so,so,162,so,0,0,0,so,0,0,0,so,0,0,0,so,1204,1204,41,34,0,0,0,so,1,1,1,854,0,0,0,so,414,441,0,1,24,59,1,38,747,747,22,29,s,1392,98,72
E37 - Fabrication de produits en plastique,so,so,517,so,0,0,0,so,0,0,0,so,0,0,0,so,1556,1556,61,39,0,0,0,so,9,9,8,868,15,15,9,597,7458,7434,6,1,s,s,s,s,293,293,9,30,5665,5670,425,75
E38 - Industries diverses,so,so,551,so,0,0,0,so,0,0,0,so,0,0,0,so,2586,2586,97,38,0,0,0,so,21,21,18,870,4,4,3,873,40349,40040,31,1,299,1300,10,34,538,538,10,19,4625,4630,381,82
"Note : la consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie en 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
