NCE_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la nomenclature des activités consommatrices d'énergie en 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",178,0,0,0,178,45,0,0,0,45,s,0,0,0,s,257,0,0,4,261,623,0,0,0,623,2,s,0,s,2,s,0,0,0,s,s,0,s,11,14,66,0,0,0,66,0,0,0,0,0,36,0,0,0,36,92,0,0,0,92,322,0,0,0,322,s,so,0,s,2
E21 - Production d'autres matériaux de construction et de céramique,s,0,0,0,s,0,s,0,0,s,28,0,0,0,28,431,s,s,s,461,0,3,0,s,s,9,s,s,s,12,s,s,0,0,7,31,s,s,37,73,s,s,0,s,13,0,0,0,0,0,s,0,0,s,40,6,0,0,0,6,7,0,0,1,8,0,so,0,0,0
E22 - Industrie du verre,0,0,0,0,0,0,0,0,0,0,0,s,0,0,s,782,0,s,s,835,0,s,0,0,s,5,0,0,2,6,117,0,0,0,117,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,so,0,1,2
E23 - Fabrication d'engrais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,540,s,5,s,0,0,0,0,0,s,0,0,0,s,3,0,0,0,3,s,0,s,2,2,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
E24 - Autres industries de la chimie minérale,309,0,0,0,309,s,0,0,0,s,s,0,0,0,s,312,202,s,s,585,0,0,0,0,0,s,0,0,s,1,6,s,0,0,s,1,s,s,1,2,s,s,0,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,0,0,s,247,so,s,s,258
"E25 - Fabrication de matières plastiques, de caoutchouc synthétique  et de fibres artificielles ou synthétiques",s,0,s,s,s,0,0,0,0,0,0,0,0,0,0,226,0,2,10,238,0,0,0,0,0,0,s,0,0,s,s,0,s,s,s,s,0,s,0,1,s,0,0,0,s,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,0,0,0,s,s,89,so,s,s,92
E26 - Autres industries de la chimie organique de base,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1331,49,75,37,1491,s,0,0,0,s,s,s,0,s,1352,s,0,0,s,186,2,s,s,3,s,s,2,s,0,390,0,s,0,0,s,s,0,s,s,25,51,0,0,0,51,9,s,0,0,s,536,so,s,s,559
E28 - Parachimie et industrie pharmaceutique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,s,s,69,210,0,0,0,0,0,3,20,0,2,25,0,0,0,0,0,2,s,s,2,5,s,0,0,0,s,0,0,0,0,0,s,0,0,0,s,0,0,0,0,0,0,0,0,0,0,18,so,0,6,24
E29 - Fonderie et travail des métaux,s,s,0,0,s,s,s,0,0,s,116,14,0,0,130,414,1,0,179,594,s,s,0,s,s,s,0,0,s,s,1,0,s,s,3,s,0,s,14,17,s,s,0,s,0,0,0,0,0,0,s,0,0,s,1,0,0,0,0,0,s,0,0,s,1,1,so,0,1,2
E30 - Construction mécanique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,s,110,196,0,0,0,0,0,7,0,s,s,10,s,0,s,s,2,0,0,0,7,8,0,s,0,0,s,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,s,0,s,s,1,so,0,1,1
E31 - Construction électrique et électronique,0,0,0,0,0,0,0,0,0,0,s,s,0,0,15,s,0,s,100,190,0,s,0,0,s,s,0,s,s,s,s,0,s,s,1,0,s,s,5,6,0,0,0,s,s,0,0,0,0,0,s,0,0,s,0,s,0,0,0,s,s,s,0,0,s,0,so,0,1,1
E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,186,s,s,165,361,0,0,0,0,0,s,s,0,s,s,s,0,0,s,0,4,s,s,4,9,0,0,s,0,s,0,0,0,0,0,s,0,0,1,s,0,0,0,0,0,0,0,0,0,0,2,so,0,16,18
"E33 - Construction navale et aéronautique, armement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,92,126,0,0,0,0,0,0,s,0,1,s,s,0,0,s,s,0,s,s,2,3,0,0,s,0,s,0,0,0,0,0,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0,3,so,0,7,9
"E34 - Industrie textile, du cuir et de l'habillement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,36,132,0,0,0,0,0,10,0,s,s,12,2,0,0,1,3,s,0,0,4,s,0,0,0,s,s,0,0,0,0,0,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0,s,so,0,s,s
E35 - Industrie du papier et du carton,s,0,s,s,s,0,0,0,0,0,0,0,0,0,0,850,s,s,48,938,0,0,0,0,0,s,0,s,5,7,s,0,s,s,s,2,s,s,4,s,0,0,0,s,s,635,s,s,0,s,219,0,57,2,278,s,0,s,0,109,s,0,s,0,5,391,so,s,s,416
E36 - Fabrication de produits en caoutchouc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,s,s,93,0,0,0,0,0,0,0,0,0,1,s,0,0,s,0,s,0,s,0,0,0,0,0,0,0,0,0,0,0,0,s,0,s,s,15,0,0,0,0,0,0,0,0,0,0,43,so,0,11,54
E37 - Fabrication de produits en plastique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,0,44,120,0,0,0,0,0,4,0,0,6,10,13,s,s,s,15,1,0,1,5,6,0,0,0,s,s,0,0,0,0,0,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0,19,so,0,2,21
E38 - Industries diverses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,1,s,s,199,0,0,0,0,0,16,0,0,6,23,1,0,s,s,3,7,0,1,26,34,0,0,0,0,0,0,s,0,s,s,268,0,0,66,334,s,0,s,s,26,s,0,0,5,s,36,so,0,2,39
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie en 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
