"GEO";"GEO_OBJECT";"NUMBER_EMPL";"ACTIVITY";"EACEI_MEASURE";"UNIT_MULT";"UNIT_MEASURE";"CONF_STATUS";"OBS_STATUS";"COMPARE_TIME";"TIME_PERIOD";"OBS_VALUE"
"27";"REG";"_T";"_T";"GAZR_USQFAB";"3";"TOE";"F";"A";"_Z";2023;351.1
"F";"FRANCE";"_T";"26";"GAZR_CSUP";"0";"GWH";"C";"A";"_Z";2023;303.9
"84";"REG";"_T";"_T";"IR_CSTP";"3";"TOE";"F";"A";"_Z";2023;145.3
"F";"FRANCE";"_T";"22";"KR_PRIX";"0";"EUR_T";"F";"A";"_Z";2023;5639.7
"F";"FRANCE";"_T";"24";"FACTURE";"6";"EUR";"F";"A";"_Z";2023;3921.5
"F";"FRANCE";"_T";"_T";"IR_QAUP";"3";"T";"F";"A";"_Z";2023;739.7
"F";"FRANCE";"E100T249";"_T";"CMSR_CSTP";"3";"TOE";"F";"A";"_Z";2023;240.3
"F";"FRANCE";"_T";"15";"BR_VEND";"0";"GWH";"C";"A";"_Z";2023;0.1
"27";"REG";"_T";"_T";"BR_USQ1";"3";"TOE";"F";"A";"_Z";2023;2526.7
"F";"FRANCE";"_T";"22";"CMSR_PRIX";"0";"EUR_T";"F";"L";"_Z";2023;
"F";"FRANCE";"_T";"C24_25";"AUTRE_CSTP";"3";"TOE";"C";"A";"_Z";2023;24.7
"F";"FRANCE";"_T";"29";"BR_CONTRAT_CHANG_1_PROP";"0";"PT";"F";"A";"_Z";2023;28.7
"F";"FRANCE";"_T";"18";"BR_USQ6";"3";"TOE";"F";"A";"_Z";2023;105.1
"F";"FRANCE";"_T";"27";"CR_VALA";"6";"EUR";"F";"A";"_Z";2023;1
"32";"REG";"_T";"_T";"BR_USQ4";"3";"TOE";"C";"A";"_Z";2023;4109.1
"F";"FRANCE";"_T";"_T";"BR_PRIX";"0";"EUR_GWH";"F";"A";"0_2005";1999;42
"F";"FRANCE";"_T";"23";"YR_CSTP";"3";"TOE";"F";"A";"_Z";2023;337
"F";"FRANCE";"_T";"20";"PR_USQ2";"3";"TOE";"F";"A";"_Z";2023;312.3
"F";"FRANCE";"E100T249";"_T";"PR_VALA";"6";"EUR";"F";"A";"_Z";2023;31.3
"93";"REG";"_T";"_T";"PR_USQ8";"3";"TOE";"F";"A";"_Z";2023;102.1
"F";"FRANCE";"_T";"17";"XR_CSTP";"3";"TOE";"F";"A";"_Z";2023;38.2
"F";"FRANCE";"_T";"28";"PR_VALA";"6";"EUR";"F";"A";"_Z";2023;1.4
"F";"FRANCE";"E20T49";"_T";"PR_VEND";"3";"T";"C";"A";"_Z";2023;0.3
"53";"REG";"_T";"_T";"YR_CSTP";"3";"TOE";"F";"A";"_Z";2023;0
"F";"FRANCE";"_T";"32";"QR_USQ2";"3";"TOE";"C";"A";"_Z";2023;0
"F";"FRANCE";"_T";"14";"CR_QAUP";"3";"T";"F";"A";"_Z";2023;0
"76";"REG";"_T";"_T";"BR_CONTRAT_FIN_2_PROP";"0";"PT";"F";"A";"_Z";2023;44.8
"F";"FRANCE";"_T";"26";"CMSR_QAUP";"3";"T";"F";"A";"_Z";2023;0
"44";"REG";"_T";"_T";"BR_USQ7";"3";"TOE";"F";"A";"_Z";2023;1340.7
"84";"REG";"_T";"_T";"BR_USQ2";"3";"TOE";"F";"A";"_Z";2023;1686
"F";"FRANCE";"_T";"_T";"BR_PRIX";"0";"EUR_GWH";"F";"A";"1_2005";2023;144.1
