"Achats et consommation en unité propre, valeur d'achat et prix moyen des produits énergétiques","Valeur des achats de l’ensemble des énergies (en millions d'euros)","Quantités achetées de combustibles minéraux solides","Quantités consommées de combustibles minéraux solides","Valeur des achats de combustibles minéraux solides","Prix moyen des combustibles minéraux solides",Quantités achetées de gaz,Quantités consommées de gaz,Valeur des achats de gaz,Prix moyen du gaz,"Quantités achetées de biogaz et biométhane","Quantités consommées de biogaz et biométhane","Valeur des achats de biogaz et biométhane","Prix moyen du biogaz et biométhane","Quantités achetées de coke de pétrole","Quantités consommées de coke de pétrole","Valeur des achats de coke de pétrole",Prix moyen de coke de pétrole,"Quantités achetées de butane-propane","Quantités consommées de butane-propane","Valeur des achats de butane-propane",Prix moyen de butane-propane,"Quantités achetées de fioul lourd","Quantités consommées de fioul lourd","Valeur des achats de fioul lourd",Prix moyen de fioul lourd,"Quantités achetées de fioul domestique","Quantités consommées de fioul domestique","Valeur des achats de fioul domestique",Prix moyen de fioul domestique,"Quantités achetées de gazole non routier","Quantités consommées de gazole non routier","Valeur des achats de gazole non routier","Prix moyen de gazole non routier",Quantités achetées de bois,Quantités consommées de bois,Valeur des achats de bois,Prix moyen du bois,Quantités achetées de vapeur,Quantités consommées de vapeur,Valeur des achats de vapeur,Prix moyen de vapeur,Quantités achetées d’hydrogène,"Quantités consommées d’hydrogène","Quantités autoproduites d’hydrogène",Valeur des achats d’hydrogène,Prix moyen d’hydrogène,Autoproduction consommée,"Autoproduction vendue d’hydrogène","Quantités achetées d'électricité","Quantités consommées d'électricité","Quantités autoproduites d’électricité","Valeur des achats d'électricité",Prix moyen d’électricité
Total industrie,17134.9,7895.1,8063,1426.6,180.7,136596.5,137024.4,4749.5,34.8,250.7,678.6,11.1,44.4,739.5,763.1,136.5,184.6,2048.6,2133.5,1063.8,519.3,300.2,337.7,197.1,656.6,131736.9,135556.2,95,0.72,221354.4,221122,162,0.73,2189.7,3644.4,107.6,49.2,26939.8,26939.8,903.6,33.5,25.4,90.2,115.6,73.4,2890.3,64.8,50.7,105892.5,109901.3,6784.7,8213.3,77.6
20 à 49 salariés,1706.6,167.8,167.8,18.2,108.4,8802.5,8889,291.7,33.1,6.2,92.7,0.3,47,s,s,5.5,s,103.5,173.2,96.8,934.5,s,s,13.9,s,27866.3,28788,21,0.75,104940.5,104589.3,74.8,0.71,251.5,317.3,9.4,37.2,438.2,438.2,23.6,53.9,0.4,0.5,0.1,0.5,1163.3,0.1,0,12330.4,12748.6,1051.2,1143.6,92.7
50 à 99 salariés,1917.3,359.5,358.4,54.2,150.9,14086.1,14123.8,434.4,30.8,67.1,104.8,s,s,199.7,199.5,s,s,42.8,44.6,31.6,738,s,s,s,s,25992.1,26227.4,19.3,0.74,s,s,36.7,s,559.1,715.7,27.5,49.2,1700.7,1700.7,51.7,30.4,s,1.7,s,5.6,s,s,0,13781,13978.1,284.1,1090.5,79.1
100 à 249 salariés,4428.5,574,586.9,133.4,232.5,47812.7,47985.5,1759.1,36.8,68.4,241.1,1.6,23.4,330.5,333.7,41.6,126,62,62.6,44.6,719.7,s,s,14.8,s,35926.7,36229.8,26,0.72,s,s,30.6,s,747.5,1195,37,49.5,10886.3,10886.3,290.1,26.6,s,4.7,s,14.9,s,s,0,26725.3,27649.6,1499.2,2035.2,76.2
250 à 499 salariés,4281.3,640,635.1,113.6,177.5,37125.9,37201.1,1347.5,36.3,2.9,s,0.1,48.3,s,s,s,s,889.1,901.8,446,501.7,54.2,54.6,s,s,17170.6,17504.3,12.7,0.74,s,s,9.4,s,557.4,1235.4,28.7,51.4,9931.7,9931.7,335.3,33.8,s,64.9,97.1,45.9,s,s,s,25378.8,26547.1,2281.6,1910.7,75.3
500 salariés ou plus,4801.1,6153.9,6314.8,1107.2,179.9,28769.3,28825.1,916.8,31.9,106.1,s,s,s,150.4,166.2,57.2,380.4,951.3,951.3,444.8,467.6,2.7,2.7,s,s,24781.2,26806.8,16.1,0.65,13172.6,13176.8,10.4,0.79,74.2,181.1,5.1,68.5,3983,3983,202.8,50.9,1.5,18.4,s,6.5,4363.3,17,s,27676.9,28977.9,1668.6,2033.3,73.5
