teff_code,teff_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,T4 Consommation d’électricité T4,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
100-249,100 à 249 salariés,1123.2,143.0,1266.2,426.5,839.7,23339.8,24179.5,,,,,,,
20-49,20 à 49 salariés,307.8,80.5,388.3,98.9,281.1,10701.7,10982.8,,,,,,,
250-499,250 à 499 salariés,1803.5,17.1,1820.6,883.0,937.6,21268.2,22205.9,,,,,,,
50-99,50 à 99 salariés,184.6,44.5,229.1,93.2,135.9,11430.2,11566.2,,,,,,,
500+,500 salariés et plus,1526.8,79.6,1606.4,435.3,1173.7,27720.6,28894.4,,,,,,,
_T,Total,4945.8,364.8,5310.6,1936.9,3368.0,94460.6,97828.7,,,,,,,
