reg_code,reg_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,T4 Consommation d’électricité T4,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
ARA,Auvergne-Rhône-Alpes,210.2,46.2,256.5,85.2,171.3,15673.1,15844.3,,,,,,,
BFC,Bourgogne-Franche-Comté,559.4,8.0,567.4,,,,5319.3,,,,,,,
BRE,Bretagne,28.0,15.2,43.2,2.2,41,4234.2,4275.1,,,,,,,
CVL,Centre-Val de Loire,226.9,24.5,251.4,104.7,140,3037.7,3177.7,,,,,,,
DOM,Départements d’Outre-mer,2.2,0.7,2.9,0,2.9,433.6,436.5,,,,,,,
FRA,France,4945.8,364.8,5310.6,1936.9,3368,94460.6,97828.7,,,,,,,
GRE,Grand Est,1039.1,66.3,1105.4,551.8,552.2,13676.8,14229.1,,,,,,,
HDF,Hauts-de-France,1157.0,19.5,1176.5,92.3,1084.1,18147,19231.1,,,,,,,
IDF,Ile-de-France,31.3,0.4,31.6,,,,3903.0,,,,,,,
NOA,Nouvelle-Aquitaine,750.7,15.4,766.1,491.9,274.1,7175.6,7449.7,,,,,,,
NOR,Normandie,254.0,23.5,277.6,126.2,151.3,6751.1,6902.5,,,,,,,
OCC,Occitanie,277.6,106.3,383.8,,,,4208.4,,,,,,,
PAC,Provence-Alpes-Côte d'Azur,365.6,7.7,373.4,56.8,319.2,7244,7563.1,,,,,,,
PAL,Pays de la Loire,43.9,31.2,75.1,24,51.1,5237.8,5288.9,,,,,,,
