reg_code,reg_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),T2 Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
ARA,Auvergne-Rhône-Alpes,3498.9,201,201.3,90.1,448.4,12481.4,12693.7,808.3,64.8,268.5,480.8,26.5,98.7,194.6,190.7,86.7,445.7,59.5,59.2,55.1,926.2,30.5,31.8,16.2,530.7,14052.2,14538.9,14.7,1.05,14167.1,14140.4,15.0,1.06,336.6,368,13.6,40.4,3085.5,142.7,46.3,,7.1,,18.4,,,0,15673.1,15844.3,256.5,2238.0,142.8
BFC,Bourgogne-Franche-Comté,1252.4,10.4,11.1,4.9,466.7,5705.2,5710.4,373.7,65.5,23,28.2,4.6,198.6,,,,,16.3,16.3,13.9,852.3,,,6.3,,8231.7,8451.6,7.8,0.94,11561.9,11415.4,12.6,1.09,69.2,,,,,64.9,,,15,,17.1,,,0,,5319.3,567.4,746.6,
BRE,Bretagne,1271.6,0,0,0,0.0,4348.8,4348.8,341.0,78.4,,,0.6,,0,0,0,0.0,27.8,27.5,22.3,801.4,,,,,,,6.7,,11988.1,12109.2,12.4,1.03,103.4,112,0.6,6.2,655.9,30.5,46.5,0,0,0,,,0,0,4234.2,4275.1,43.2,856.5,202.3
CVL,Centre-Val de Loire,844.3,43.9,43.4,13.4,305.2,3880.5,3901.5,256.9,66.2,20.3,41.2,,,30.5,29,6.9,225,,,4.5,,,,,,4491.2,4398.5,5.3,1.18,9240.5,9254.9,9.9,1.08,14.9,,1.2,79.6,145.5,,,0.3,0.3,0,1.7,6648.6,0,0,3037.7,3177.7,251.4,537.1,176.8
DOM,Départements d’Outre-mer,116.2,0,0,0,0.0,23.5,23.5,1.3,53.7,,,,,0,0,0,0.0,0.3,0.3,,,0,0,0,0.0,8993.9,8768.5,,,9912.8,9913.1,8.6,0.87,1,1,0,46.6,,,,0,,,0,0.0,,,433.6,436.5,2.9,78.3,180.7
FRA,France,25531.6,5816,5934.9,1769.9,304.3,112531.4,113049.7,7052.0,62.7,849.9,1368.1,54.2,63.7,739.7,743,219.1,296.1,1722.6,1742.1,989.9,574.7,182.7,184,106.9,585.1,103790.4,105343.7,103.7,1,229185,228927.8,245.0,1.07,2873.7,4985.5,161.1,56.1,24114.8,1128.5,46.8,33.6,141.6,143.9,139.8,4157.2,108,35.9,94460.6,97828.7,5310.6,13615.8,144.1
GRE,Grand Est,3697.5,626.5,655.4,180.7,288.4,22513.7,22667.8,1249.9,55.5,,204.1,,,77.9,76.3,17.3,222.1,18.1,18,16.5,911.6,,,,,,,13.1,,27451.1,27404.1,30.1,1.1,1145.9,1408.5,75.9,66.2,3399.4,147.9,43.5,9.3,,,51.4,5495.2,,0,13676.8,14229.1,1105.4,1914.2,140
HDF,Hauts-de-France,5045.8,,,,,21063.3,21103.4,1532.2,72.7,56.6,96.7,5.3,94.1,143.5,157.4,52.3,364.4,,,,,,,18.3,,10295.3,10338.1,,,,,45.8,,217.2,293.8,,,2508.9,128.2,51.1,3.4,,,28.5,8349.1,,0,18147,19231.1,1176.5,2225.4,122.6
IDF,Ile-de-France,972.0,10.6,10.9,4.9,464.7,3681.5,3685.1,269.3,73.2,22,25.5,1,47.5,1.4,1.4,1.1,802.1,2.2,2.1,2,906.9,9.9,10.1,4,407.1,1220.6,1199.5,1.3,1.07,8936.3,8963.3,9.9,1.11,,,,,177.9,6.8,38.2,,,0,,,0,0,,3903.0,31.6,671.9,
NOA,Nouvelle-Aquitaine,1752.8,74.1,72.6,28.8,389.2,6267.4,6314.6,399.6,63.8,48.2,95.3,1.8,36.5,,,6.3,,39.7,39.4,33.6,845.6,35.8,35.8,24.4,679.7,,,8.3,,28880.3,28877.1,30.4,1.05,440.1,959.7,20,45.5,3982.7,155.4,39,0.1,0.1,0,0.9,13013.8,0,0,7175.6,7449.7,766.1,1045.1,145.6
