teff_code,teff_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
100-249,100 à 249 salariés,2268.7,319.4,,201.8,,,9.5,0.0,1.9,7.0,,6.9,,,3.8,25.5,,30.9,,0.0,,0.0,
20-49,20 à 49 salariés,386.6,6.4,,64.1,,,10.6,,3.5,11.2,,12.0,0.6,2.2,3.7,76.9,,2.8,,0.0,0.1,0.0,
250-499,250 à 499 salariés,1849.0,298.9,98.8,120.6,1.0,,,,,5.9,,1.1,,,1.8,8.1,,239.5,,0.0,0.0,0.0,
50-99,50 à 99 salariés,727.8,35.0,,77.3,,,8.2,,,5.5,,3.3,0.9,0.6,3.0,24.2,,,,,0.0,0.0,
500+,500 salariés et plus,1732.1,31.4,202.1,186.0,1.4,,,,,3.7,,4.5,2.2,0.8,0.9,9.3,,,,0.0,,,
_T,Total,6964.1,691.2,384.7,649.8,15.0,,36.2,5.1,14.4,33.3,,27.9,4.0,4.4,13.1,143.9,,328.5,,,10.2,,
