naf_code,naf_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,T4 Consommation d’électricité T4,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
13,Fabrication de textiles,9.3,0.9,10.2,,,886,,,,,,,,
14,Industrie de l'habillement,0.2,3.3,3.6,1.3,2.2,78.1,80.3,,,,,,,
15,Industrie du cuir et de la chaussure,,,6.2,,,99.6,,,,,,,,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",380.9,7.5,388.4,167.9,220.5,2347.2,2567.7,,,,,,,
17,Industrie du papier et du carton,1306.1,6.1,1312.2,903.5,408.7,6082.1,6490.9,,,,,,,
18,Imprimerie et reproduction d'enregistrements,,,3.9,1,2.9,678.1,681,,,,,,,
20,Industrie chimique,1123.5,26.5,1150.0,417.4,732.7,14995.5,15728.2,,,,,,,
21,Industrie pharmaceutique,3.9,10.8,14.7,0.1,14.6,2439.5,2454.1,,,,,,,
22,Fabrication de produits en caoutchouc et en plastique,22.7,28.7,51.4,10.2,41.1,5082.1,5123.2,,,,,,,
23,Fabrication d'autres produits minéraux non métalliques,58,14.2,72.2,,,,7443.5,,,,,,,
24,Métallurgie,142.6,113.1,255.7,16.8,234.9,17940,18174.9,,,,,,,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",4.5,12.5,16.9,7.3,8.3,4337.2,4345.5,,,,,,,
26,"Fabrication de produits informatiques, électroniques et optiques",13.1,0.5,13.7,0,13.7,2626.3,2640,,,,,,,
27,Fabrication d'équipements électriques,0.8,9.4,10.2,1.5,8.7,1457.1,1465.7,,,,,,,
28,Fabrication de machines et équipements n.c.a.,11.4,10.3,21.7,,,,1658.4,,,,,,,
29,Industrie automobile,12.3,1.1,13.4,,,,3651.4,,,,,,,
30,Fabrication d'autres matériels de transport,50.5,5.4,55.9,1.3,54.7,1851.1,1905.7,,,,,,,
31,Fabrication de meubles,0,7.7,7.7,1.5,6.2,337.1,343.4,,,,,,,
32,Autres industries manufacturières,0.1,0,0.1,0,0.1,560.1,560.2,,,,,,,
33,Réparation et installation de machines et d'équipements,5.1,3.2,8.3,,,,508.8,,,,,,,
38,"Collecte, traitement et élimination des déchets ; récupération",202.6,37.8,240.4,174.2,66.2,693.1,759.3,,,,,,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",15.4,0.3,15.7,0,15.7,615.3,631,,,,,,,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",1575.6,62.4,1637.9,,,,19614.6,,,,,,,
_T,Total,4945.8,364.8,5310.6,1936.9,3368,94460.6,97828.7,,,,,,,
