teff_code,teff_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,T4 Consommation d’électricité T4,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
100-249,100 à 249 salariés,1649,192,1841,502,1339,28214,29552,18481,3071,2269,1842,3888,,
20-49,20 à 49 salariés,167,295,462,303,159,12227,12386,7121,957,360,2015,1932,,
250-499,250 à 499 salariés,2278,34,2312,834,1479,25616,27095,16993,3025,2707,1470,2901,,
50-99,50 à 99 salariés,60,38,98,38,61,14363,14424,8342,1090,821,1276,2894,,
500+,500 salariés et plus,1205,119,1324,105,1219,30357,31576,17777,2238,6659,2299,2602,,
_T,Total,5360,677,6037,1782,4255,110777,115032,68715,10382,12816,8902,14217,,
