reg_code,reg_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,T4 Consommation d’électricité T4,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
ARA,Auvergne-Rhône-Alpes,184,79,263,140,123,19373,19496,9015,1883,4591,1429,2578,,
BFC,Bourgogne-Franche-Comté,2,0,2,,,,5806,3153,,,450,568,,
BRE,Bretagne,5,71,76,,,,4328,2566,373,40,303,1046,,
CVL,Centre-Val de Loire,209,3,212,134,78,3606,3684,2372,457,20,386,450,,
DOM,Départements d’Outre-mer,6,274,280,274,6,502,508,336,17,0,54,101,,
FRA,France,5360,677,6037,1782,4255,110777,115032,68715,10382,12816,8902,14217,,
GRE,Grand Est,937,12,949,242,707,17208,17915,12790,1714,210,1780,1420,,
HDF,Hauts-de-France,,,,388,1242,20544,21786,12024,1775,4633,1115,2238,,
IDF,Ile-de-France,,,,51,27,5584,5611,2745,881,50,764,1171,,
NOA,Nouvelle-Aquitaine,,,,121,395,7149,7545,5105,,,563,982,,
NOR,Normandie,,,,193,804,8202,9006,6835,666,29,555,920,,
OCC,Occitanie,,,,62,267,4720,4987,2811,,,467,509,,
PAC,Provence-Alpes-Côte d'Azur,625,5,630,87,543,7634,8177,5153,277,1160,313,1274,,
PAL,Pays de la Loire,,,,,,,6185,3808,644,50,722,961,,
