naf_code,naf_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),T2 Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
13,Fabrication de textiles,132.0,0,0,0,0,1512,1512,46,31,,,,,0,0,0,0,4,4,2,604,2,2,1,630,2896,2739,2,0.7,,,,,0,0,0,0,,,,,,,,,,,,,,,
14,Industrie de l'habillement,23.0,41,0,7,165,143,143,5,37,,,,,0,0,0,0,0,0,0,765,,,,,1300,1215,1,0.72,,,,,0,0,0,0,,,,,,,,,,,,99,,9,96
15,Industrie du cuir et de la chaussure,19.0,0,0,0,0,84,84,4,45,,,,,0,0,0,0,1,1,1,692,0,0,0,1250,804,803,1,0.67,,,,,0,0,0,243,110,1,17,,,,,,,,141,141,,13,91
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",217.0,13,0,1,104,826,826,24,29,,,,,0,0,0,0,4,4,3,718,2,2,1,558,24072,23727,19,0.77,,,,,471,1475,15,31,,,,,,,,,,,,,,,
17,Industrie du papier et du carton,828.0,19,19,2,111,10644,10644,266,25,,,,,0,0,0,0,6,6,5,737,29,28,13,445,5559,5441,4,0.76,,,,,1073,1384,41,38,10490,111,21,,,,,,,,7408,8372,,387,52
18,Imprimerie et reproduction d'enregistrements,115.0,0,0,0,0,600,600,25,41,,,,,0,0,0,0,1,1,1,1007,0,0,0,1000,2025,1869,1,0.59,,,,,,,,,,,,,,,,,,,1097,1097,,87,80
20,Industrie chimique,3386.0,717,633,98,137,39014,39014,930,24,,,,,,,,,1888,1879,921,488,,,,,15303,15153,11,0.72,,,,,,,,,28662,383,27,,,,,,,,19020,20016,,985,52
21,Industrie pharmaceutique,265.0,24,0,4,156,,,,,,,,,0,0,0,0,,,,,0,0,0,0,2010,1972,1,0.72,,,,,0,0,0,0,656,11,33,,,,,,,,,2586,,182,70
22,Fabrication de produits en caoutchouc et en plastique,593.0,125,0,16,130,2818,2818,93,33,,,,,0,0,0,0,11,11,8,679,14,14,6,446,7514,7534,5,0.71,,,,,14,44,1,61,1668,16,20,,,,,,,,,6890,,447,68
23,Fabrication d'autres produits minéraux non métalliques,1199.0,496,443,79,159,20834,20834,470,23,,,,,577,588,89,155,11,11,7,675,69,69,25,360,43606,42916,30,0.68,,,,,231,236,7,29,676,9,27,,,,,,,,8409,8432,,482,57
24,Métallurgie,2812.0,8316,7924,1432,172,14531,14531,356,24,,,,,,,,,9,9,6,633,5,6,2,447,,,,,,,,,1,1,0,107,424,4,17,,,,,,,,20968,21356,,940,45
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",577.0,61,58,12,190,3771,3771,131,35,,,,,0,0,0,0,33,33,32,961,0,0,0,762,12380,12294,9,0.73,,,,,5,9,0,49,20,0,42,,,,,,,,4991,4991,,392,78
26,"Fabrication de produits informatiques, électroniques et optiques",155.0,0,0,0,0,417,417,17,40,,,,,0,0,0,0,,,,,,,,,878,880,1,0.75,,,,,0,0,0,0,98,1,27,,,,,,,,1881,1882,,136,72
27,Fabrication d'équipements électriques,215.0,81,25,17,209,1553,1553,52,34,,,,,0,0,0,0,4,4,3,676,0,0,0,801,3625,3593,3,0.74,,,,,,,,,28,1,53,,,,,,,,1978,1981,,138,70
28,Fabrication de machines et équipements n.c.a.,278.0,144,0,22,153,1661,1661,67,41,,,,,0,0,0,0,8,8,6,738,0,0,0,731,11086,11130,9,0.78,,,,,,,,,22,1,78,,,,,,,,2146,2148,,173,81
29,Industrie automobile,469.0,,,,,4103,4103,124,30,,,,,0,0,0,0,12,11,8,648,1,1,1,679,,,,,,,,,1,1,0,109,420,5,24,,,,,,,,4756,4768,,310,65
30,Fabrication d'autres matériels de transport,227.0,18,0,3,165,1319,1319,50,38,,,,,0,0,0,0,3,2,2,760,0,0,0,1000,3894,3828,3,0.81,,,,,,,,,314,5,33,,,,,,,,2098,2113,,161,77
