reg_code,reg_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),T2 Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
ARA,Auvergne-Rhône-Alpes,1913,244.0,229.0,53,883.0,16275,16275,525,65,,,,,141.0,142.0,26,181.0,37,42,28,1452,53,53,27,1023,40013,39483,29,1.43,,,,,210,257,8,95,6906.0,99,47.0,,,,,,,,14149.0,16746.0,,1117,138.0
BFC,Bourgogne-Franche-Comté,727,169.0,168.0,16,95.0,6131,6131,204,66,,,,,0.0,0.0,0,,16.0,15.0,11,705.0,5.0,5.0,3,522.0,16430,16554,12,1.41,,,,,67,196,2,40,190.0,4,41.0,,,,,,,,2762.0,2764.0,,203,73.0
BRE,Bretagne,556,0.0,0.0,0,,5232,5232,177,34,,,,,0,0,0,,,,0,,26,26,14,555,17460,17657,12,0.7,,,,,,,0,,1010.0,12,23.0,,,,,,,,4203,4218.0,,322,77.0
CVL,Centre-Val de Loire,448,38,37,5,334.0,4663,4663,151,32,,,,,67,66,8,126,7,7,6,813,5,7,2,461,10356,10502,8,0.76,,,,,28,125,1,40,24.0,1,42.0,,,,,,,,,3650.0,,266,74.0
DOM,Départements d’Outre-mer,66,0,0,0,,16,16,1,53,,,,,0,0,0,,1,1,1,1386,1,1,1,782,11857,11640,11,0.9,,,,,,,0,,1888.0,11,12.0,,,,,,,,427,437.0,,41,97.0
FRA,France,15175,8922.0,9009.0,1104,343.0,139208,139208,4188,30,,,,,970,971,127,130,2410,2403,1423,591,,,0,,298483,298069,215,0.72,,,,,2193,3328,94,43,43998.0,595,27.0,,,,,,,,107669,110705.0,,7140,66.0
GRE,Grand Est,1849,391.0,385.0,77,815.0,23679,23679,659,56,,,,,23.0,25.0,3,125.0,13,13,11,1626,7,8,3,1044,29316,28832,22,1.48,,,,,,,0,,2830.0,39,56.0,,,,,,,,13182,13421.0,,842,128.0
HDF,Hauts-de-France,2662,315.0,302.0,56,292.0,8588.0,8588.0,259,30.0,,,,,152.0,151.0,31,206.0,27.0,27.0,23,858.0,62,63,30,1024,33698,33333,24,1.3900000000000001,,,,,7.0,9.0,0,32.0,5384.0,79,58.0,,,,,,,,4075.0,21299.0,,1189,127.0
IDF,Ile-de-France,637,49,46,6,434.0,8143,8143,233,29,,,,,20,20,3,139,6,6,4,791,1,1,1,553,11982,11808,9,0.71,,,,,,,0,,74.0,2,45.0,,,,,,,,,5277.0,,380,72.0
NOA,Nouvelle-Aquitaine,1026,75.0,73.0,7,93.0,7161,7161,236,98,,,,,74.0,73.0,7,100.0,13.0,13.0,10,732.0,113.0,124.0,55,988.0,32199,31690,23,2.17,,,,,464.0,711.0,20,82.0,9240.0,112,78.0,,,,,,,,1051.0,7998.0,,533,215.0
