ID,NAF,Houille,Houille,Houille,Houille,Houille,Lignite - charbon pauvre,Lignite - charbon pauvre,Lignite - charbon pauvre,Lignite - charbon pauvre,Lignite - charbon pauvre,Coke de houille,Coke de houille,Coke de houille,Coke de houille,Coke de houille,Gaz de réseau,Gaz de réseau,Gaz de réseau,Gaz de réseau,Gaz de réseau,Coke de pétrole,Coke de pétrole,Coke de pétrole,Coke de pétrole,Coke de pétrole,Butane propane,Butane propane,Butane propane,Butane propane,Butane propane,Fioul lourd,Fioul lourd,Fioul lourd,Fioul lourd,Fioul lourd,Fioul domestique,Fioul domestique,Fioul domestique,Fioul domestique,Fioul domestique,Autres produits pétroliers,Autres produits pétroliers,Autres produits pétroliers,Autres produits pétroliers,Autres produits pétroliers,Liqueurs noires,Liqueurs noires,Liqueurs noires,Liqueurs noires,Liqueurs noires,Bois et sous-produit du bois,Bois et sous-produit du bois,Bois et sous-produit du bois,Bois et sous-produit du bois,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux renouvelables,Combustibles spéciaux renouvelables,Combustibles spéciaux renouvelables,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Combustibles spéciaux non renouvelables,Combustibles spéciaux non renouvelables,Combustibles spéciaux non renouvelables,Combustibles spéciaux non renouvelables,Vapeur,Vapeur,Vapeur,Vapeur,Vapeur
ID,NAF,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
_T,Total,1585,4254,s,s,5895,124,0,11,0,135,302,s,0,s,340,8271,1080,316,1065,10732,673,s,0,s,724,154,2299,s,s,2541,s,s,4,8,416,96,4,9,173,282,s,s,2,1,1476,514,23,0,0,777,871,so,36,70,977,273,27,s,s,320,359,7,0,3,369,1617,so,25,65,1708
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,s,0,1,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,39,0,0,0,0,0,1,0,0,s,s,s,s,0,0,s,34,s,s,31,65,s,5,0,1,s,0,0,0,0,0,s,so,0,0,s,s,0,0,0,s,0,0,0,0,0,s,so,0,s,s
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",s,0,s,0,s,s,0,11,0,s,s,s,0,0,22,2042,1,215,100,2357,s,0,0,0,s,69,0,0,10,80,87,s,s,1,91,16,0,3,11,30,0,0,0,0,0,0,0,0,0,0,92,so,0,0,93,s,s,0,s,77,0,s,0,s,0,180,so,s,s,185
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,2,20,140,0,0,0,0,0,7,0,0,6,12,2,0,0,0,2,3,0,1,3,7,0,0,0,0,0,0,0,0,0,0,5,so,0,0,5,26,0,0,7,33,0,0,0,0,0,18,so,0,0,18
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
13,Fabrication de textiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,16,110,0,0,0,0,0,3,0,0,2,5,2,0,0,0,3,s,s,0,3,3,0,0,0,s,s,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,s,0,0,0,s,0,so,0,0,0
14,Industrie de l'habillement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,s,1,1,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
15,Industrie du cuir et de la chaussure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,s,0,0,s,0,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,s,s,54,0,0,0,0,0,s,s,0,2,3,2,0,0,1,3,s,s,0,11,14,0,0,0,0,0,s,0,0,0,s,289,so,0,s,s,0,0,0,0,0,0,0,0,0,0,s,so,0,s,10
17,Industrie du papier et du carton,s,0,s,0,s,0,0,0,0,0,0,0,0,0,0,791,0,37,37,866,0,0,0,0,0,s,s,0,6,8,s,0,s,1,s,s,s,s,4,6,0,0,0,0,0,s,s,0,0,s,s,so,s,s,323,s,s,s,0,52,s,s,0,0,s,368,so,s,s,378
18,Imprimerie et reproduction d'enregistrements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,s,s,0,0,0,0,0,1,s,0,s,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,0,0,0,1,s,so,0,0,s
20,Industrie chimique,s,s,s,s,401,s,0,0,0,s,s,s,0,0,25,1866,1053,36,87,3041,0,s,0,0,s,6,2296,0,4,2307,s,s,s,0,97,5,1,0,8,14,s,s,0,s,1356,0,s,0,0,s,86,so,15,0,101,s,0,0,0,s,s,0,0,s,6,915,so,11,19,945
21,Industrie pharmaceutique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,33,175,0,0,0,0,0,s,s,0,0,s,0,0,0,0,0,s,s,0,0,1,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,s,0,0,0,s,31,so,0,6,38
22,Fabrication de produits en caoutchouc et en plastique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,s,s,59,226,0,0,0,0,0,5,1,0,6,12,6,0,0,2,9,1,0,0,5,7,0,s,0,0,s,0,0,0,0,0,s,so,0,0,s,0,0,0,0,0,0,0,0,0,0,s,so,s,8,53
23,Fabrication d'autres produits minéraux non métalliques,s,s,0,0,202,s,s,0,0,26,s,s,0,0,33,1367,s,s,s,1427,s,s,0,0,543,8,0,0,4,12,159,0,s,s,159,8,0,1,19,28,s,8,0,s,55,0,0,0,0,0,s,so,0,s,74,77,0,0,0,77,s,s,0,0,354,s,so,0,s,19
24,Métallurgie,s,s,43,s,s,s,0,0,0,s,218,17,0,0,236,974,3,0,82,1058,s,23,0,s,s,5,s,s,3,9,5,0,0,0,5,11,0,0,23,34,s,0,0,0,s,0,0,0,0,0,s,so,0,s,s,0,0,0,0,0,0,s,0,0,s,16,so,0,2,18
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",s,0,0,0,s,0,s,0,0,s,s,s,0,s,s,215,0,0,117,332,0,0,0,0,0,22,0,0,15,37,s,0,0,s,0,1,0,0,9,10,0,0,0,0,0,0,0,0,0,0,s,so,0,s,2,0,0,0,0,0,s,0,0,s,0,s,so,0,s,1
26,"Fabrication de produits informatiques, électroniques et optiques",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,s,0,32,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,s,s
27,Fabrication d'équipements électriques,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,s,s,s,51,116,0,0,0,0,0,s,s,0,3,5,0,0,0,0,0,0,0,1,4,5,s,0,0,0,s,0,0,0,0,0,0,so,0,s,s,0,0,0,0,0,0,0,0,0,0,0,so,0,1,1
28,Fabrication de machines et équipements n.c.a.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,95,146,0,0,0,0,0,5,0,0,6,10,1,0,0,1,2,5,0,0,7,13,s,s,0,s,0,0,0,0,0,0,0,so,0,1,1,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
29,Industrie automobile,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,160,5,5,141,311,0,0,0,0,0,5,0,0,4,9,1,0,0,0,1,1,0,0,2,4,s,0,2,s,2,0,0,0,0,0,0,so,0,2,2,0,0,0,0,0,0,0,0,0,0,s,so,0,s,13
30,Fabrication d'autres matériels de transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,s,0,67,s,0,0,0,0,0,s,s,0,s,5,s,0,0,s,s,s,s,0,2,3,s,0,0,0,s,0,0,0,0,0,0,so,0,s,s,0,0,0,0,0,s,0,0,0,s,s,so,0,s,4
31,Fabrication de meubles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,11,20,0,0,0,0,0,s,0,s,2,2,0,0,0,0,0,s,0,0,s,2,0,0,0,0,0,0,0,0,0,0,3,so,0,14,17,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
32,Autres industries manufacturières,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,17,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,s,s,1,1,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,0,0,0,0,s,so,0,s,2
33,Réparation et installation de machines et d'équipements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,0,14,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,s,s,0,2,2,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,0,0,0,0,s,so,0,1,s
38,"Collecte, traitement et élimination des déchets ; récupération",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,1,3,47,0,0,0,0,0,s,0,s,1,18,0,0,0,0,0,5,1,0,21,27,0,0,0,0,0,0,0,0,0,0,0,so,0,s,s,s,0,0,0,s,0,0,0,0,0,10,so,0,0,10
