teff_code,teff_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,T4 Consommation d’électricité T4,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
100-249,100 à 249 salariés,1216,88,1304,410,894,26793,27687,17615,3063,1704,1703,3602,,
20-49,20 à 49 salariés,100,13,113,94,19,12427,12446,7509,956,89,1902,1985,,
250-499,250 à 499 salariés,1807,59,1866,719,1147,24905,26052,16339,2864,2669,1394,2787,,
50-99,50 à 99 salariés,56,327,383,319,64,14394,14458,8693,1190,1156,1336,2083,,
500+,500 salariés et plus,1491,95,1586,361,1225,31200,32425,18185,2235,7318,1904,2782,,
_T,Total,4669,582,5251,1903,3349,109718,113067,68341,10308,12936,8239,13239,,
