reg_code,reg_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),T2 Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
ARA,Auvergne-Rhône-Alpes,1649,331,333,69,209,16257,16257,419,26,,,,,109,108,19,175,37,36,23,621,49,49,17,341,49786,42025,32,0.63,,,,,300,330,10,32,6360,74,23,,,,,,,,18607,18719,,987,53
BFC,Bourgogne-Franche-Comté,601,,,,,5778,5778,151,26,,,,,0,0,0,,20,20,12,571,,,,,20686,17588,13,0.63,,,,,68,252,1,13,3476,47,27,,,,,,,,5857,5860,,357,61
BRE,Bretagne,476,,,,,4899,4899,132,27,,,,,0,0,0,,27,27,14,525,,,,,13390,12318,8,0.62,,,,,,,,,1558,19,24,,,,,,,,,4277,,296,69
CVL,Centre-Val de Loire,411,28,28,4,127,5025,5025,131,26,,,,,47,49,6,121,9,9,6,644,4,6,1,319,10988,9384,7,0.65,,,,,28,127,3,102,142,2,26,,,,,,,,3732,3798,,252,68
DOM,Départements d’Outre-mer,81,0,0,0,,1,1,0,43,,,,,0,0,0,,1,1,1,1458,3,3,2,612,17523,15977,11,0.61,,,,,,,,,1804,14,15,,,,,,,,497,508,,53,108
FRA,France,13279,9600,9891,1628,170,136676,136676,3254,24,,,,,770,780,102,132,2170,2157,924,426,269,272,114,423,373078,334243,233,0.62,,,,,2200,3636,90,41,50786,561,22,,,,,,,,109718,113067,,6374,58
GRE,Grand Est,2140,1745,1725,270,155,28979,28979,663,23,,,,,90,91,9,100,20,20,13,676,13,14,5,382,53197,49775,33,0.63,,,,,,,,,6870,70,20,,,,,,,,17755,18427,,1051,59
HDF,Hauts-de-France,2718,,,,,27452,27452,632,23,,,,,239,236,38,158,,,,,24,24,7,273,43016,37098,26,0.61,,,,,,,,,5330,54,20,,,,,,,,21738,22925,,1112,51
IDF,Ile-de-France,488,40,42,5,123,7861,7861,159,20,,,,,11,11,2,167,5,4,3,552,0,0,0,319,19002,17336,12,0.63,,,,,,,,,182,2,25,,,,,,,,,4996,,305,61
NOA,Nouvelle-Aquitaine,794,,,,,6886,6886,176,26,,,,,,,,,20,20,11,569,48,48,21,432,33574,30041,21,0.63,,,,,447,876,20,44,9764,101,21,,,,,,,,7012,7328,,424,60
NOR,Normandie,1209,,,,,14799,14799,331,22,,,,,,,,,,,,,25,25,9,341,18541,17760,11,0.62,,,,,461,498,19,41,6822,81,24,,,,,,,,8340,8556,,522,63
OCC,Occitanie,433,139,140,18,131,3993,3993,107,27,,,,,75,73,8,111,8,8,6,690,17,17,7,440,22915,22077,14,0.63,,,,,,,,,1092,11,21,,,,,,,,,3994,,258,69
PAC,Provence-Alpes-Côte d'Azur,1657,,,,,9104,9104,198,22,,,,,99,100,11,111,,,,,56,56,33,579,44246,40028,27,0.6,,,,,,,,,5330,64,24,,,,,,,,7458,7868,,358,48
PAL,Pays de la Loire,621,14,15,5,313,5642,5642,156,28,,,,,42,50,3,78,21,21,14,632,10,9,5,491,26215,22838,16,0.62,,,,,,,,,2058,22,21,,,,,,,,5742,5810,,397,69
