naf_code,naf_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),T2 Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
13,Fabrication de textiles,126,0,0,0,,1640,1640,46,28,,,,,0,0,0,,4,4,2,539,2,2,1,496,3628,3191,2,0.61,,,,,0,0,0,,0,0,,,,,,,,,,1048,,74,71
14,Industrie de l'habillement,17,0,0,0,,165,165,6,36,,,,,0,0,0,,0,0,0,844,0,0,0,,1082,1049,1,0.61,,,,,0,0,0,,2,0,144,,,,,,,,109,109,,10,89
15,Industrie du cuir et de la chaussure,19,0,0,0,,117,117,5,44,,,,,0,0,0,,2,2,2,772,0,0,0,800,587,563,0,0.58,,,,,0,1,0,117,0,0,,,,,,,,,124,124,,12,95
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",189,0,0,0,,,,,,,,,,0,0,0,,,,,,3,3,1,484,29506,20966,19,0.64,,,,,,,,,270,2,18,,,,,,,,2007,2007,,136,68
17,Industrie du papier et du carton,767,25,25,3,103,10759,10759,239,22,,,,,0,0,0,,6,6,4,675,27,27,9,348,5432,5412,3,0.63,,,,,967,1412,36,37,10836,102,19,,,,,,,,7561,8399,,371,49
18,Imprimerie et reproduction d'enregistrements,114,0,0,0,,525,525,17,32,,,,,0,0,0,,1,1,1,846,0,0,0,,1697,1698,1,0.6,,,,,,,,,,,,,,,,,,,1182,1183,,95,80
20,Industrie chimique,2897,730,738,87,119,37000,37000,743,20,,,,,,,,,1974,1963,802,406,,,,,21072,14266,13,0.62,,,,,,,,,27306,323,24,,,,,,,,18584,19312,,904,49
21,Industrie pharmaceutique,249,0,0,0,,2180,2180,63,29,,,,,0,0,0,,1,1,0,727,0,0,0,1381,,,,,,,,,0,0,0,,1288,18,28,,,,,,,,2382,2404,,166,70
22,Fabrication de produits en caoutchouc et en plastique,553,0,0,0,,2632,2632,80,31,,,,,0,0,0,,12,12,7,617,12,14,5,448,7670,7278,5,0.59,,,,,10,56,2,166,1640,15,18,,,,,,,,,6513,,439,68
23,Fabrication d'autres produits minéraux non métalliques,1065,361,357,51,141,19382,19382,409,21,,,,,542,555,62,114,11,11,7,640,110,113,33,299,47388,38757,29,0.62,,,,,211,213,5,25,470,6,27,,,,,,,,8313,8330,,463,56
24,Métallurgie,2663,7900,8210,1417,179,14280,14280,307,21,,,,,,,,,,,,,6,6,2,400,48558,45822,29,0.6,,,,,1,1,0,119,632,4,14,,,,,,,,21358,21656,,861,40
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",545,,,,,3948,3948,129,33,,,,,0,0,0,,39,38,25,637,0,0,0,756,,,,,,,,,3,8,0,50,26,1,46,,,,,,,,5031,5031,,377,75
