naf_code,naf_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
13,Fabrication de textiles,91,0,0,35,,,,,,2,,,,,,,,,,,,,
14,Industrie de l'habillement,9,0,0,4,,,0,0,0,1,,,,,,,,,,,,,
15,Industrie du cuir et de la chaussure,4,0,0,5,,,,0,0,,,,,,,,,,,,,,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",32,0,,4,,,,,0,15,,,,,,,,,,,,,
17,Industrie du papier et du carton,733,0,47,48,,,1,0,0,3,,,,,,,,,,,,,
18,Imprimerie et reproduction d'enregistrements,26,0,0,14,,,0,0,0,1,,,,,,,,,,,,,
20,Industrie chimique,1659,1004,41,145,,,4,1,1,7,,,,,,,,,,,,,
21,Industrie pharmaceutique,123,0,2,43,,,,0,0,0,,,,,,,,,,,,,
22,Fabrication de produits en caoutchouc et en plastique,137,0,,,,,1,0,1,5,,,,,,,,,,,,,
23,Fabrication d'autres produits minéraux non métalliques,1413,10,0,69,,,9,0,1,23,,,,,,,,,,,,,
24,Métallurgie,1019,,,79,,,5,0,0,32,,,,,,,,,,,,,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",198,1,0,105,,,1,,0,10,,,,,,,,,,,,,
26,"Fabrication de produits informatiques, électroniques et optiques",,1,0,26,,,0,,,1,,,,,,,,,,,,,
27,Fabrication d'équipements électriques,47,0,0,51,,,,0,,3,,,,,,,,,,,,,
28,Fabrication de machines et équipements n.c.a.,46,0,0,97,,,3,1,0,6,,,,,,,,,,,,,
29,Industrie automobile,175,,,141,,,0,1,0,3,,,,,,,,,,,,,
30,Fabrication d'autres matériels de transport,33,,,65,,,,,0,2,,,,,,,,,,,,,
31,Fabrication de meubles,7,0,0,12,,,0,0,0,2,,,,,,,,,,,,,
32,Autres industries manufacturières,,0,,13,,,0,0,0,1,,,,,,,,,,,,,
33,Réparation et installation de machines et d'équipements,,,0,19,,,,,0,3,,,,,,,,,,,,,
38,"Collecte, traitement et élimination des déchets ; récupération",102,0,,,,,6,0,0,27,,,,,,,,,,,,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",29.0,0.0,0.0,3.0,,,17.0,1.0,0.0,46.0,,,,,,,,,,,,,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",2063,1,197,155,,,13,0,3,11,,,,,,,,,,,,,
_T,Total,7970,1027,313,1213,,,64,5,8,205,,,,,,,,,,,,,
