reg_code,reg_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,T4 Consommation d’électricité T4,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
ARA,Auvergne-Rhône-Alpes,190,362,552,440,112,18607,18719,8480,1852,4595,1188,2604,,
BFC,Bourgogne-Franche-Comté,,0,0.0,,3,5857,5860,3421,,,361,510,,
BRE,Bretagne,,,,,,,4277,2514,411,39,314,999,,
CVL,Centre-Val de Loire,165,3,168,103,65,3732,3798,2459,490,22,364,462,,
DOM,Départements d’Outre-mer,11,0,11,0,11,497,508,318,18,0,24,143,,
FRA,France,4669,582,5251,1903,3349,109718,113067,68341,10308,12936,8239,13239,,
GRE,Grand Est,921,8,929,257,672,17755,18427,12914,1986,206,1622,1698,,
HDF,Hauts-de-France,,,,302,1187,21738,22925,12614,1773,5226,1359,1952,,
IDF,Ile-de-France,,,,,,,4996,2523,883,42,746,802,,
NOA,Nouvelle-Aquitaine,,,,138,316,7012,7328,5018,,,498,888,,
NOR,Normandie,407,0,407,191,216,8340,8556,6424,542,69,551,970,,
OCC,Occitanie,,,,,,,3994,2439,405,160,413,576,,
PAC,Provence-Alpes-Côte d'Azur,,,,90,410,7458,7868,5361,243,1180,327,757,,
PAL,Pays de la Loire,,,,36,68,5742,5810,3855,558,51,470,876,,
