Tab4_Région : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la région,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75
Basse-Normandie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,30,75,0,0,0,s,s,s,0,0,0,s,2,0,0,4,6,s,0,0,s,s,4,0,1,3,8,s,s,0,0,s,0,0,0,0,0,s,0,0,s,4,s,0,0,0,s,s,0,0,s,s
Bourgogne,3,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,3,0,62,218,s,s,0,1,2,s,0,0,0,s,5,0,0,2,8,s,0,0,0,s,3,s,0,s,7,s,s,0,0,2,0,0,0,0,0,23,0,s,s,25,s,0,0,s,s,s,0,0,0,s
Nord-Pas-de-Calais,109,0,s,s,116,s,s,0,0,s,14,s,s,0,17,17,273,0,0,290,756,s,17,s,958,s,0,0,0,s,70,s,0,s,150,9,s,s,4,s,73,0,0,1,74,11,s,0,s,21,s,s,0,0,s,0,0,0,0,0,1,0,s,s,3,s,0,0,0,s,83,s,0,s,96
Lorraine,104,0,12,6,122,402,s,38,s,s,s,s,0,s,s,191,18,0,0,209,583,s,13,s,696,0,0,0,0,0,34,s,0,s,35,3,0,0,4,6,s,0,s,0,12,10,2,1,5,18,168,0,0,0,168,0,0,0,0,0,81,0,s,2,s,s,0,0,0,s,60,s,0,s,61
Alsace,26,0,s,s,36,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,408,420,21,89,938,s,s,0,0,1,s,0,0,0,s,4,s,0,s,7,8,0,0,1,10,5,s,0,s,10,s,0,s,s,s,0,0,0,0,0,s,0,s,4,23,7,0,0,0,7,s,0,0,0,s
Franche-Comté,s,0,s,s,s,67,s,s,s,98,0,0,0,0,0,7,0,0,0,7,100,s,s,46,184,s,s,0,0,1,s,0,0,0,s,3,0,0,4,7,9,0,s,2,s,1,0,0,6,7,0,0,0,0,0,0,0,0,0,0,11,0,0,10,21,s,0,0,0,s,s,0,0,0,s
Pays de la Loire,53,0,s,s,63,0,0,0,0,0,1,0,0,0,1,7,0,0,0,7,139,0,s,s,222,0,0,s,s,2,s,0,0,s,s,6,s,0,7,s,s,s,0,1,6,9,s,1,s,20,s,s,0,0,s,0,0,0,0,0,31,0,0,10,41,17,s,s,s,18,s,s,0,s,s
Bretagne,6,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,30,103,1,0,0,0,1,0,0,0,0,0,6,s,0,s,13,2,0,0,1,2,6,0,1,4,10,s,0,0,0,s,0,s,0,0,s,4,0,0,2,6,0,0,0,0,0,s,0,0,0,s
Poitou-Charentes,s,0,0,s,s,63,0,0,0,63,0,0,0,0,0,s,0,0,0,s,122,0,s,s,171,0,0,0,0,1,59,s,0,0,s,5,0,0,4,9,26,s,0,s,27,11,0,0,3,15,3,s,0,s,9,0,0,0,0,0,19,0,0,3,22,27,0,0,0,27,s,s,0,0,39
Aquitaine,177,0,s,s,194,s,0,s,s,s,0,0,0,0,0,0,s,0,0,s,194,s,18,s,308,0,0,0,0,0,0,0,0,0,0,7,s,0,s,13,30,s,3,s,109,6,0,1,3,10,s,0,0,0,s,140,28,s,s,303,171,s,s,7,245,1,0,s,s,1,s,0,0,0,s
Midi-Pyrénées,25,0,s,s,35,s,s,0,s,s,s,0,0,0,s,0,0,0,0,0,111,0,s,s,158,1,s,0,s,1,s,3,0,0,s,8,0,0,2,10,8,0,s,s,11,5,0,0,3,9,s,0,0,0,s,s,0,0,0,s,31,s,s,2,44,s,0,0,0,s,s,0,0,0,s
Limousin,s,0,s,0,s,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,54,0,s,s,67,0,0,0,0,0,0,0,0,0,0,1,s,0,s,2,1,0,s,0,s,1,0,0,1,3,0,0,0,0,0,s,0,0,0,s,2,0,0,1,4,s,0,0,0,s,s,s,0,0,s
Rhône-Alpes,216,0,0,27,243,66,81,s,s,150,s,s,0,0,s,s,s,0,0,13,603,102,s,s,1025,5,0,0,2,8,65,s,0,s,127,13,s,s,9,23,107,s,0,s,110,8,0,1,14,23,47,s,0,s,49,0,0,0,0,0,77,0,s,s,88,22,s,0,s,s,31,s,0,s,36
Auvergne,6,0,0,3,s,s,0,0,0,s,0,0,0,0,0,s,s,0,0,26,131,s,s,44,199,0,0,0,0,0,s,0,0,0,s,1,0,0,1,2,s,0,0,s,19,3,0,0,3,7,0,0,0,0,0,0,0,0,0,0,8,0,0,3,10,s,s,0,0,s,s,0,0,0,s
Languedoc-Roussillon,3,0,0,s,s,s,s,0,0,s,0,0,0,s,s,0,0,0,0,0,114,0,s,s,135,s,0,0,s,0,37,s,0,s,40,2,0,0,0,3,4,0,0,0,4,6,0,0,4,10,s,0,0,0,s,0,0,0,0,0,s,0,0,0,s,2,0,0,0,2,31,s,0,s,33
PACA et Corse,147,0,12,1,160,0,s,0,0,s,0,0,0,0,0,0,0,0,0,0,411,s,28,s,581,26,0,s,s,s,148,0,0,0,148,3,995,s,s,999,134,s,s,0,148,13,s,0,s,18,222,s,s,0,254,0,s,s,0,s,0,0,s,0,s,3,s,0,s,3,s,0,0,s,18
Champ : France métropolitaine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Enquête annuelle sur les consommations d'énergie dans l'industrie 2010.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
