Tab4_NAF : Répartition de la consommation de combustibles par usage  en milliers de tonnes-équivalent-pétrole (kTEP) selon le secteur d'activité,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75
"16 - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,8,s,66,0,0,s,0,s,0,0,0,0,0,s,s,0,1,s,2,0,0,1,3,3,0,0,4,7,s,s,s,s,s,s,s,s,s,s,264,0,0,s,s,s,s,s,s,s,s,s,s,s,s
17 - Industrie du papier et du carton,354,0,21,11,386,25,0,s,2,s,0,0,0,0,0,0,0,0,0,0,697,s,73,s,824,0,0,0,s,s,0,0,0,0,0,7,0,s,s,11,53,0,16,4,s,2,0,0,5,7,s,s,0,0,0,s,20,237,s,689,228,0,s,s,462,102,0,s,s,s,s,0,s,0,s
18 - Imprimerie et reproduction d'enregistrements,s,s,s,s,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,s,s,77,0,0,0,0,1,0,0,0,0,0,1,0,0,s,s,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 - Industrie chimique,567,0,156,41,764,235,7,60,5,307,s,s,s,s,s,0,s,0,0,s,1513,1352,276,159,3300,59,s,s,s,66,s,0,0,0,s,22,1354,s,s,1391,246,s,s,3,325,7,0,1,7,16,959,s,13,s,1125,0,s,s,s,s,24,0,s,s,25,1,s,0,s,s,10,24,0,2,36
21 - Industrie pharmaceutique,13,0,0,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,77,193,0,0,0,0,0,0,0,0,0,0,1,s,0,s,s,s,0,s,0,1,1,0,1,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,s,s,s
22 - Fabrication de produits en caoutchouc et en plastique,78,0,0,15,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,1,2,86,241,1,s,s,1,2,0,0,0,0,0,6,s,0,s,14,11,0,s,s,14,s,0,s,9,12,0,s,0,0,s,0,0,0,0,0,1,0,0,2,3,0,s,0,0,s,0,0,0,0,0
23 - Fabrication d'autres produits minéraux non métalliques,21,0,s,s,s,307,0,s,s,316,21,0,0,0,21,s,s,0,0,64,1259,9,3,79,1350,0,0,0,s,s,630,4,0,1,635,16,s,0,s,22,290,s,0,s,294,17,0,1,s,s,176,31,0,0,207,0,0,0,0,0,s,0,0,s,56,101,0,0,0,101,314,s,0,s,319
24 - Métallurgie,66,0,0,8,74,s,3942,0,s,4123,s,s,0,s,s,191,297,0,0,488,910,18,0,104,1033,s,0,0,s,9,s,s,s,0,134,13,0,s,7,s,14,0,s,s,15,18,s,0,s,s,s,s,0,0,s,0,0,0,0,0,52,0,0,0,52,s,0,0,0,s,0,s,s,0,s
"25 - Fabrication de produits métalliques, à l'exception des machines et des équipements",0,0,0,1,1,s,0,0,0,s,0,s,0,0,s,s,s,0,0,s,200,0,0,154,355,8,0,0,2,10,0,0,0,0,0,16,s,0,s,33,1,0,0,2,3,2,0,0,13,15,0,0,0,0,0,0,0,0,0,0,s,0,0,s,s,0,0,0,0,s,s,s,0,0,s
"26 - Fabrication de produits informatiques, électroniques et optiques",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,41,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,s,0,0,0,s,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,0,s,0,s,0
27 - Fabrication d'équipements électriques,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,59,0,0,79,137,0,0,0,0,0,0,s,0,0,s,s,0,0,3,s,1,0,0,s,s,1,0,1,4,5,s,0,0,0,s,0,0,0,0,0,0,0,0,s,s,0,0,0,0,0,s,s,0,0,s
28 - Fabrication de machines et équipements n.c.a.,s,0,0,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,115,176,1,0,0,1,1,0,0,0,0,0,7,0,0,s,s,s,0,0,s,s,5,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,0,0,0,0,0,0,s,0,0,s
29 - Industrie automobile,5,0,s,29,s,0,0,0,0,0,0,0,0,0,0,s,s,0,0,5,163,s,s,197,370,0,0,0,0,0,0,0,0,0,0,s,0,0,6,s,0,0,0,s,s,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,s,0,0,s,s,0,0,0,0,0,0,0,0,0,0
30 - Fabrication d'autres matériels de transport,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6,11,104,152,s,0,0,s,s,0,0,0,0,0,0,1,0,2,3,0,0,0,s,s,0,0,0,2,3,s,s,0,s,s,0,0,0,0,0,0,0,0,s,s,s,s,s,1,s,s,s,0,s,s
31 - Fabrication de meubles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,14,37,0,0,0,s,s,0,0,0,0,0,2,0,0,s,s,0,0,0,s,s,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,2,0,0,25,27,0,0,0,0,0,0,0,0,0,0
32 - Autres industries manufacturières,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,s,0,s,28,0,0,0,0,0,0,0,0,0,0,1,s,0,1,s,s,s,s,s,s,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0
33 - Réparation et installation de machines et d'équipements,s,0,0,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,22,26,0,0,0,2,2,0,0,0,0,0,1,0,0,1,2,0,0,0,1,1,2,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Champ : France métropolitaine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Enquête annuelle sur les consommations d'énergie dans l'industrie 2010.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
