ENERGIES,Vapeur,,,,,Houille,,,,,Lignite - charbon pauvre,,,,,Coke de houille,,,,,Gaz naturel de réseau,,,,,Autres gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueurs noires,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,
INDICATEUR,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
23 - Fabrication d'autres produits minéraux non métalliques,15,0,s,s,20,342,0,s,s,s,s,s,0,0,27,70,s,0,s,70,1304,s,s,70,1385,0,0,0,s,s,s,3,0,s,593,16,0,0,5,21,290,0,0,1,291,18,0,1,16,35,177,41,0,0,218,0,0,0,0,0,32,0,0,3,35,89,s,s,0,89,331,7,0,0,339
24 - Métallurgie,45,0,s,s,48,s,3266,0,s,3827,s,s,0,0,s,s,249,0,s,397,867,s,s,116,1040,s,0,0,s,6,95,45,0,0,s,13,s,s,6,20,9,s,s,18,29,19,s,s,7,27,0,s,0,s,0,0,0,0,0,0,40,0,0,0,40,s,0,0,0,s,0,0,0,0,s
"25 - Fabrication de produits métalliques, à l'exception des machines et des équipements",0,0,0,2,2,s,s,0,0,s,0,s,0,0,s,s,s,0,0,s,216,1,0,121,338,6,0,0,2,9,0,0,0,8,8,17,0,0,15,31,0,0,0,1,2,2,0,1,10,13,0,0,0,0,0,0,0,0,0,0,s,0,s,1,1,0,0,0,0,0,0,0,s,s,1
"26 - Fabrication de produits informatiques, électroniques et optiques",0,0,0,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,36,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,s,2,s,0,0,0,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,0,s,s
27 - Fabrication d'équipements électriques,0,0,0,0,s,0,0,0,0,0,0,0,0,0,0,18,0,0,0,18,51,0,0,58,108,0,0,0,4,4,0,27,0,0,27,3,0,0,2,5,1,0,0,1,2,2,0,1,3,6,s,0,0,0,s,0,0,0,0,0,0,0,0,s,s,0,0,0,0,0,s,s,0,0,s
28 - Fabrication de machines et équipements n.c.a.,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,92,146,s,0,0,s,1,0,0,0,0,0,6,0,0,5,11,0,0,s,s,0,4,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,0,0
29 - Industrie automobile,5,0,s,20,s,0,0,0,0,0,0,0,0,0,0,s,2,0,s,6,140,s,s,146,293,0,0,0,1,2,0,0,0,0,0,4,s,s,4,8,0,0,0,1,1,1,s,0,s,4,0,0,0,0,0,0,0,0,0,0,s,0,0,s,s,0,0,0,0,0,0,0,0,0,0
30 - Fabrication d'autres matériels de transport,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,s,s,79,124,0,0,0,0,1,0,0,0,0,s,0,s,s,2,3,s,0,s,s,s,1,s,1,s,3,0,s,0,0,s,0,0,0,0,0,0,0,0,s,s,0,0,0,s,s,0,0,0,0,0
31 - Fabrication de meubles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,11,28,0,0,0,0,0,0,0,0,0,s,3,0,0,2,5,0,0,0,s,s,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,18,19,0,0,0,0,0,0,0,0,0,0
32 - Autres industries manufacturières,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,17,27,0,0,0,0,0,0,0,0,0,0,1,s,s,1,1,0,0,0,0,0,0,s,0,s,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33 - Réparation et installation de machines et d'équipements,s,0,0,s,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,s,s,17,19,s,0,0,s,1,0,0,0,0,0,1,0,0,1,1,1,0,s,s,1,1,s,0,s,3,s,0,0,0,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38 - Collecte, traitement et élimination des déchets ; récupération",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,10,0,0,s,s,0,0,0,0,0,0,1,0,0,1,1,1,s,s,0,1,8,0,0,5,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
