NCE;ENERGIE;QAUP;CSUP;VALA;PRIX
E12;T;so;so;455;so
E13;T;so;so;270;so
E14;T;so;so;1801;so
E16;T;so;so;2089;so
E18;T;so;so;423;so
E19;T;so;so;33;so
E20;T;so;so;324;so
E21;T;so;so;468;so
E22;T;so;so;507;so
E23;T;so;so;318;so
E24;T;so;so;697;so
E25;T;so;so;217;so
E26;T;so;so;2096;so
E28;T;so;so;323;so
E29;T;so;so;849;so
E30;T;so;so;324;so
E31;T;so;so;378;so
E32;T;so;so;502;so
E33;T;so;so;291;so
E34;T;so;so;174;so
E35;T;so;so;828;so
E36;T;so;so;128;so
E37;T;so;so;465;so
E38;T;so;so;576;so
T;T;so;so;14535;so
E12;BR;3786;3794;245;65
E13;BR;s;1099;29;72
E14;BR;s;16637;1091;68
E16;BR;10678;11048;492;46
E18;BR;7875;7875;288;37
E19;BR;s;s;s;s
E20;BR;s;2414;124;51
E21;BR;s;s;s;s
E22;BR;3634;3637;211;58
E23;BR;s;1008;37;67
E24;BR;8674;8949;397;46
E25;BR;s;1712;97;58
E26;BR;7838;8075;423;54
E28;BR;2857;2859;213;75
E29;BR;7180;7198;532;74
E30;BR;2503;2504;211;84
E31;BR;3985;3989;280;70
E32;BR;4933;4946;326;66
E33;BR;2243;2258;176;78
E34;BR;s;1340;100;75
E35;BR;7408;8372;387;52
E36;BR;s;1291;82;67
E37;BR;5294;5599;364;69
E38;BR;5195;5339;394;76
T;BR;110777;115032;6699;60
E12;CR;662;662;19;28
E13;CR;412;412;8;19
E14;CR;2114;2114;51;24
E16;CR;155;155;3;18
E18;CR;s;s;s;s
E19;CR;s;s;s;s
E20;CR;163;163;4;22
E21;CR;s;s;s;s
E22;CR;18;18;0;17
E23;CR;0;0;0;0
E24;CR;3456;3456;104;30
E25;CR;2363;2363;55;23
E26;CR;8642;8642;228;26
E28;CR;198;198;6;33
E29;CR;10;10;0;42
E30;CR;46;46;2;40
E31;CR;28;28;1;37
E32;CR;225;225;5;24
E33;CR;169;169;6;35
E34;CR;150;150;3;18
E35;CR;5245;5245;111;21
E36;CR;527;527;9;17
E37;CR;307;307;7;24
E38;CR;462;462;8;17
T;CR;25701;25701;638;25
E12;DR;5546;5546;159;29
E13;DR;8370;8370;180;22
E14;DR;18096;18096;533;29
E16;DR;8549;8549;205;24
E18;DR;3574;3574;81;23
E19;DR;s;s;s;s
E20;DR;3456;3456;78;23
E21;DR;5882;5882;136;23
E22;DR;11748;11748;263;22
E23;DR;12801;12801;278;22
E24;DR;4397;4397;108;24
E25;DR;1869;1869;50;27
E26;DR;19845;19845;487;25
E28;DR;s;s;s;s
E29;DR;6059;6059;196;32
E30;DR;1756;1756;72;41
E31;DR;2074;2074;72;35
E32;DR;4445;4445;138;31
E33;DR;s;s;s;s
E34;DR;1740;1740;56;32
E35;DR;10644;10644;266;25
E36;DR;s;s;s;s
E37;DR;1838;1838;61;33
E38;DR;2795;2795;91;33
T;DR;140008;140008;3664;26
E12;FR;0;0;0;0
E13;FR;350;367;47;133
E14;FR;294;290;34;116
E16;FR;8124;7816;1370;169
E18;FR;s;s;s;s
E19;FR;0;0;0;0
E20;FR;323;334;38;119
E21;FR;112;109;34;299
E22;FR;61;0;7;119
E23;FR;0;0;0;0
E24;FR;533;534;75;141
E25;FR;s;s;s;s
E26;FR;6;0;1;165
E28;FR;104;0;13;124
E29;FR;252;163;73;292
E30;FR;144;0;22;153
E31;FR;81;25;17;209
E32;FR;s;s;s;s
E33;FR;319;0;53;165
E34;FR;41;0;7;165
E35;FR;19;19;2;111
E36;FR;0;0;0;0
E37;FR;125;0;16;130
E38;FR;74;0;11;153
T;FR;11146;9768;1849;166
E12;IR;0;0;0;0
E13;IR;s;s;s;s
E14;IR;0;0;0;0
E16;IR;16;16;3;206
E18;IR;s;s;s;s
E19;IR;0;0;0;0
E20;IR;529;543;63;120
E21;IR;48;45;26;541
E22;IR;0;0;0;0
E23;IR;0;0;0;0
E24;IR;s;s;s;s
E25;IR;0;0;0;0
E26;IR;s;s;s;s
E28;IR;0;0;0;0
E29;IR;0;0;0;573
E30;IR;0;0;0;0
E31;IR;0;0;0;0
E32;IR;0;0;0;0
E33;IR;0;0;0;0
E34;IR;0;0;0;0
E35;IR;0;0;0;0
E36;IR;0;0;0;0
E37;IR;0;0;0;0
E38;IR;0;0;0;0
T;IR;732;736;140;192
E12;JR;15;15;11;683
E13;JR;s;s;s;s
E14;JR;54;57;35;648
E16;JR;3;3;2;582
E18;JR;1;0;1;645
E19;JR;0;0;0;1040
E20;JR;1;1;0;655
E21;JR;8;8;5;670
E22;JR;s;s;s;s
E23;JR;s;s;s;s
E24;JR;2;2;1;596
E25;JR;0;0;0;751
E26;JR;1868;1858;908;486
E28;JR;18;18;12;661
E29;JR;34;33;32;969
E30;JR;13;13;9;684
E31;JR;5;5;3;674
E32;JR;s;s;s;s
E33;JR;2;2;2;778
E34;JR;5;5;3;629
E35;JR;6;6;5;737
E36;JR;1;1;1;868
E37;JR;11;11;7;663
E38;JR;8;8;6;754
T;JR;2072;2063;1054;509
E12;KR;17;18;9;561
E13;KR;0;0;0;0
E14;KR;26;26;16;604
E16;KR;0;0;0;630
E18;KR;5;5;2;425
E19;KR;1;0;1;694
