reg_code,reg_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),T2 Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
ARA,Auvergne-Rhône-Alpes,1825,310,325,71,230,16496,16496,435,26,,,,,132,138,32,246,31,34,20,639,50,53,25,490,40732,40568,31,0.75,,,,,275,330,7,24,7670,86,22,70090,94418,,15,0,,,18722,18896,,1105,59
BFC,Bourgogne-Franche-Comté,584,41,40,8,201,4893,4893,140,29,,,,,0,0,0,0,19,19,12,628,11,11,4,386,17078,17083,12,0.72,,,,,24,201,1,24,3236,42,26,13590,127474,,4,0,,,,5566,,361,65
BRE,Bretagne,502,,,,,4386,4386,139,32,,,,,0,0,0,0,27,27,16,577,11,11,6,567,12758,12835,10,0.75,,,,,,,,,1070,13,24,,,,,,,,4035,4039,,315,78
CVL,Centre-Val de Loire,435,45,42,6,132,5374,5374,143,27,,,,,53,53,7,139,10,10,6,645,2,2,1,337,13219,13275,11,0.86,,,,,33,109,2,62,180,3,28,,,,,,,,3450,3509,,255,74
DOM,Départements d’Outre-mer,81,0,0,0,0,4,4,0,37,,,,,0,0,0,0,1,1,2,1254,,,,,,,,,,,,,,,,,1786,11,13,0,0,,0,0,,,,492,,56,115
FRA,France,13774,8971,8821,1484,165,136487,136487,3345,25,,,,,736,746,124,168,2674,2674,1108,414,172,176,83,482,322670,323092,245,0.76,,,,,2094,3520,88,42,50510,555,22,338211,888016,,54,0,,,106074,110045,,6689,63
GRE,Grand Est,2108,1492,1462,269,181,28257,28257,650,23,,,,,53,54,7,130,17,17,12,726,10,10,4,429,51354,50729,38,0.75,,,,,588,961,28,47,7838,87,22,187486,282223,,11,0,,,15825,16728,,1001,63
HDF,Hauts-de-France,2620,,,,,25881,25881,599,23,,,,,173,172,37,215,,,,,,,,,38693,39079,28,0.73,,,,,152,166,7,43,4374,51,23,28233,30867,,9,0,,,19578,20929,,1087,56
IDF,Ile-de-France,590,43,42,7,157,8471,8471,192,23,,,,,18,20,3,153,4,4,3,802,1,1,1,519,10861,10951,7,0.69,,,,,,,,,506,7,28,422,422,,0,1,,,,5281,,369,70
NOA,Nouvelle-Aquitaine,883,129,129,19,150,7488,7488,205,27,,,,,,,,,22,22,14,651,37,38,18,501,,,,,,,,,431,908,19,45,8218,85,21,22787,30630,,4,0,,,7308,7536,,486,67
NOR,Normandie,1333,17,17,3,146,,,,,,,,,,,,,,,,,11,11,5,422,18503,18396,14,0.78,,,,,311,338,13,42,6908,79,23,,,,,,,,7945,8356,,517,65
OCC,Occitanie,520,56,57,7,117,4200,4200,114,27,,,,,108,107,15,136,9,9,6,699,13,13,8,582,21042,21147,17,0.79,,,,,79,186,3,32,1490,17,23,210,210,,0,1,,,4704,4871,,335,71
PAC,Provence-Alpes-Côte d'Azur,1638,,,,,,,,,,,,,85,84,10,114,1381,1380,561,406,17,17,6,389,23804,24155,20,0.82,,,,,127,128,5,41,5720,58,20,8242,314500,,5,1,,,7566,8144,,383,51
PAL,Pays de la Loire,654,15,16,5,343,5462,5462,173,32,,,,,62,64,7,117,15,15,10,693,6,6,3,571,23811,24017,18,0.74,,,,,61,167,3,55,1516,16,21,,,,,,,,,5697,,417,74
