reg_code,reg_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,T4 Consommation d’électricité T4,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
ARA,Auvergne-Rhône-Alpes,312,79,391,258,175,18722,18896,,1430,,,,,
BFC,Bourgogne-Franche-Comté,1,0,1,,,,5566,,571,,,,,
BRE,Bretagne,,,,87,4,4035,4039,,302,,,,,
CVL,Centre-Val de Loire,241,3,244,184,59,3450,3509,,421,,,,,
DOM,Départements d’Outre-mer,,,,,,,492,,20,,,,,
FRA,France,5617,454,6071,2143,3971,106074,110045,,8954,,,,,
GRE,Grand Est,1452,34,1486,583,903,15825,16728,,1542,,,,,
HDF,Hauts-de-France,1481,156,1637,286,1351,19578,20929,,1464,,,,,
IDF,Ile-de-France,127,0,127,,,,5281,,873,,,,,
NOA,Nouvelle-Aquitaine,404,12,416,188,228,7308,7536,,623,,,,,
NOR,Normandie,,,,176,410,7945,8356,,524,,,,,
OCC,Occitanie,257,73,330,163,167,4704,4871,,392,,,,,
PAC,Provence-Alpes-Côte d'Azur,673,2,675,98,578,7566,8144,,246,,,,,
PAL,Pays de la Loire,55,26,81,,,,5697,,548,,,,,
