reg_code,reg_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
ARA,Auvergne-Rhône-Alpes,739.0,102.0,0.0,46.0,,,11.0,0,1.0,17,,,,,,,,,,,,,
BFC,Bourgogne-Franche-Comté,253.0,3.0,0.0,109,,,4.0,0.0,0.0,6.0,,,,,,,,,,,,,
BRE,Bretagne,74.0,0,0,30,,,6.0,0,1.0,4,,,,,,,,,,,,,
CVL,Centre-Val de Loire,193.0,0,25,86,,,6.0,,1.0,,,,,,,,,,,,,,
DOM,Départements d’Outre-mer,,,,,,,,,,,,,,,,,,,,,,,
FRA,France,5544.0,1395.0,383.0,1403,,,124.0,4,11.0,111,,,,,,,,,,,,,
GRE,Grand Est,991.0,420.0,34,89.0,,,15.0,2.0,1.0,5.0,,,,,,,,,,,,,
HDF,Hauts-de-France,1028.0,1.0,17.0,0.0,,,15.0,0.0,0.0,6.0,,,,,,,,,,,,,
IDF,Ile-de-France,357.0,0.0,10,1.0,,,4.0,0,0.0,6,,,,,,,,,,,,,
NOA,Nouvelle-Aquitaine,370.0,0.0,18.0,0.0,,,18.0,0,1.0,7,,,,,,,,,,,,,
NOR,Normandie,481.0,483,36.0,119.0,,,7.0,0,1.0,8,,,,,,,,,,,,,
OCC,Occitanie,226.0,0.0,0.0,,,,11.0,0,0.0,7,,,,,,,,,,,,,
PAC,Provence-Alpes-Côte d'Azur,437.0,0.0,28.0,,,,13.0,,0.0,,,,,,,,,,,,,,
PAL,Pays de la Loire,139.0,0,,,,,9.0,,1.0,,,,,,,,,,,,,,
