naf_code,naf_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,T4 Consommation d’électricité T4,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
13,Fabrication de textiles,5,6,11,,,,1289,,,,,,,
14,Industrie de l'habillement,,,,,,,116,,,,,,,
15,Industrie du cuir et de la chaussure,0,0,0,0,0,146,146,,,,,,,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",77,0,77,68,8,1778,1786,,,,,,,
17,Industrie du papier et du carton,,,,512,1043,9202,10245,,,,,,,
18,Imprimerie et reproduction d'enregistrements,29,0,29,,,,1445,,,,,,,
20,Industrie chimique,1753,56,1809,939,870,17258,18128,,,,,,,
21,Industrie pharmaceutique,,,,3,3,2229,2233,,,,,,,
22,Fabrication de produits en caoutchouc et en plastique,92,0,92,75,16,7051,7067,,,,,,,
23,Fabrication d'autres produits minéraux non métalliques,,,,,,,7861,,,,,,,
24,Métallurgie,,,,157,783,21058,21842,,,,,,,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",4,2,6,2,4,5049,5053,,,,,,,
26,"Fabrication de produits informatiques, électroniques et optiques",,,,2,1,2306,2306,,,,,,,
27,Fabrication d'équipements électriques,,,,,,,2154,,,,,,,
28,Fabrication de machines et équipements n.c.a.,2,0,2,,,,2181,,,,,,,
29,Industrie automobile,,,,,,,4839,,,,,,,
30,Fabrication d'autres matériels de transport,,,,,,,1802,,,,,,,
31,Fabrication de meubles,0,0,0,0,0,573,574,,,,,,,
32,Autres industries manufacturières,1,0,1,0,,,598,,,,,,,
33,Réparation et installation de machines et d'équipements,0,0,0,0,,,363,,,,,,,
38,"Collecte, traitement et élimination des déchets ; récupération",0,0,0,0,0,0,0,,,,,,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",3.0,0.0,3.0,0.0,3.0,0.0,997,,,,,,,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",1893,3,1896,718,1177,18307,19483,,,,,,,
_T,Total,6024,669,6693,2577,4116,108392,112507,,,,,,,
