naf_code,naf_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
13,Fabrication de textiles,113.8,0,0,0,0,950.8,950.8,31.3,32.9,,,,,0,0,0,0,3.8,3.8,1.9,493.1,,0.9,0.5,,2560.0,2579.9,1.6,0.6,,,,,0,0,0,0,121.5,1.8,14.8,,0,0,,0,,,,,0.3,76.7,
14,Industrie de l'habillement,16.9,0,0,0,0,123.2,,4.9,40.2,,,,,0,0,0,0,,,0.2,,,0.1,0.1,,1042.9,1052.8,0.7,0.6,,,,,0,0,0,0,1.6,0.1,,,0,0,,0,,,,,,10.9,
15,Industrie du cuir et de la chaussure,18.3,0,0,0,0,96.4,96.4,4.2,43.8,,,,,0,0,0,0,0.4,0.4,0.3,788.4,0,0.0,0,0,652.4,638.3,0.5,0.7,,,,,,,0,,,0.1,,,0,0,,0,,,132.5,133.1,0.6,13.2,99.8
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",167.9,0,0,0,0,801.0,801,17.5,21.9,,,,,0,0,0,0,3.1,3.8,1.9,624.6,1.1,1.1,0.8,754.2,16620.1,16610.4,10.6,0.6,,,,,239.8,,10.1,42.3,12.2,0.2,24.8,,0,0,,0,,,1676.5,1695.9,149.8,126.8,75.6
17,Industrie du papier et du carton,656.2,,,,,9124.6,9124.6,180.8,19.8,,,,,0,0,0,0,4.9,,3.3,682.5,34.7,37.7,,,6281.5,6354.6,3.8,0.6,,,,,693.2,1313.5,25.6,37,7483.6,68.4,18.3,,0,0,,0,,,6686.7,7298.9,1421.6,360.6,53.9
18,Imprimerie et reproduction d'enregistrements,92.5,0,0,0,0,439.4,439.4,16.1,36.5,,,,,0,0,0,0,3.5,,1.8,523.5,0,0.0,0,523.1,521.5,462.7,,,,,,,0,,0,0,,,,,0,0,,0,,,,,,73.8,
20,Industrie chimique,2472.6,526.7,521.3,,,37044.6,37044.6,512.2,13.8,,,,,3,,,,1863.4,1877.4,586.8,314.9,21.4,24.7,,,17965.7,,10.2,0.6,,,,,312.5,351.8,,,23349.0,221,18.9,,795827.2,648724.9,,24,,,16530.1,17329.7,1109.7,842.4,51
21,Industrie pharmaceutique,279.9,0,0,0,0,2182.9,2182.9,65.6,30.1,,,,,0,0,0,0,1.2,1.2,0.8,618,0,0.0,0,0,986.9,1058,0.9,0.9,,,,,0,0,0,0,1053.9,25,23.7,,3.9,0,,0,,,,,,187.5,
22,Fabrication de produits en caoutchouc et en plastique,541.4,0,0,0,0,2621.1,2621.1,83.0,31.7,,,,,0,0,0,0,13.3,13.4,9.6,721,8.7,8.9,4.8,552.1,4851.2,4998.9,,,,,,,,34.3,,,982.8,7.9,16,,0,0,,0,,,5594.9,5646.9,75,432.8,77.4
23,Fabrication d'autres produits minéraux non métalliques,1012.8,340.3,337.5,,,20064.4,20064.4,381.1,19.0,,,,,582.4,,,,15,,9.8,655.9,33.5,33.9,,,40529.5,,24.4,0.6,,,,,231.9,231.9,,,441.2,4.7,21.4,,5325.4,,,2.3,,,7663.3,7702.8,43.9,467.8,61
