reg_code,reg_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
ARA,Auvergne-Rhône-Alpes,,190.6,192,36.1,189.6,12508.4,12508.4,313.5,25.1,,,,,158.3,158.9,30.1,190,29.1,29.3,18.9,648.1,24.7,28.5,12.3,498,33966.5,34065.5,21.7,0.6,,,,,231.3,275.1,6.7,29.1,5167.4,55.4,21.4,,64751.5,20824.7,,7,,,16142.2,16365.4,405.4,1019.5,63.2
BFC,Bourgogne-Franche-Comté,,25,24.3,4.2,169.7,5597.4,5597.4,145.2,25.9,,,,,0,0,0,0,14.3,14.1,8.1,564.1,,0.6,,,16238.2,16254.4,10.4,0.6,,,,,,105.9,,,3012.4,36.1,24,,,,,6,,,5486.1,5511.2,25.7,345.9,63.1
BRE,Bretagne,,,,,,4352.8,4352.8,130.8,30.1,,,,,0,0,0,0,24.6,24.6,11.6,469.7,9.7,,5.7,589.1,11915.9,11870.3,7.4,0.6,,,,,0,4.7,0,1023.1,835.0,20.3,24.3,,,0,,,,,,,,312.8,
CVL,Centre-Val de Loire,,39.8,39.9,4.1,103.6,5191.6,5191.6,131.1,25.3,,,,,34.4,33,,,4.9,4.8,3.6,730.2,,2.2,0.6,,10476.4,10322.2,7.2,0.7,,,,,22.4,,1.4,61.9,,,,,945.7,0,,1,,,,,,236.7,
DOM,Départements d’Outre-mer,,0,0,0,0,3.3,3.3,0.2,53.9,,,,,0,0,0,0,0.8,0.8,,,2.9,2.9,2,690.8,18384.7,18355.1,,,,,,,0.4,,0,34.2,942.6,,,,0,0,,0,,,589.3,597.1,12.1,59.8,101.5
FRA,France,,7139,7399.2,1065,149.2,129190.4,129190.4,2712.3,21.0,,,,,780.7,774.7,106.4,136.3,2023.6,2038.2,685.1,338.5,145.7,153.3,66.5,456.6,292837.7,292773.2,183.2,0.6,,,,,1956,3344.6,87.4,44.7,45265.6,447.3,19.8,,848588.7,650358.6,,45.7,,,98535.2,102006.6,5308.7,6328.7,64.2
GRE,Grand Est,,861.8,915.5,304.3,353.1,25952.0,25952,491.4,18.9,,,,,154.6,153.1,15.4,99.7,16.3,16.9,10.7,657.5,4.9,4.9,2.3,473.3,43617.3,43984.5,27.1,0.6,,,,,816.7,1017,33.6,41.1,5778.2,58.1,20.1,,,,,10.2,,,14073.2,14755.5,1116.6,875.9,62.2
HDF,Hauts-de-France,,,,,,24702.0,24399.5,504.1,20.4,,,,,174.1,171,32.5,186.6,,,,,13.4,13.3,,,37472.9,37331.6,23.8,0.6,,,,,102.6,,3.1,29.9,1819.9,37.8,20.8,,,5006.6,,7.7,,,,,,1035.6,
IDF,Ile-de-France,,27.7,26.6,3.7,132.9,7203.3,7203.3,127.8,17.7,,,,,1.1,1.3,0.4,385,6.6,6.8,5.2,786.1,1,1.8,0.5,535.7,11732.0,11710.4,7.1,0.6,,,,,,,0.8,,365.0,7.8,,,,,,1,,,5796.3,5826.2,84.4,429.0,74
NOA,Nouvelle-Aquitaine,,96.9,95.4,10.1,104.6,7564.5,7564.5,187.4,24.8,,,,,,,,,14.6,,9.9,675,43.3,43.1,20.7,477.7,27150.4,27222.3,16.9,0.6,,,,,453.8,847.5,22.3,49.1,8806.4,82.9,18.8,,27041.6,,,,,,6768.1,6970.4,425,463.4,68.5
