reg_code,reg_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
ARA,Auvergne-Rhône-Alpes,1004,,,215,,,8,0.0,0.0,24,,,,,,,,,,,,,
BFC,Bourgogne-Franche-Comté,304,0.0,,,,,1.0,0,1.0,8,,,,,,,,,,,,,
BRE,Bretagne,329,,,,,,,,6.0,6,,,,,,,,,,,,,
CVL,Centre-Val de Loire,327,,,62,,,,,1.0,6,,,,,,,,,,,,,
DOM,Départements d’Outre-mer,7,0,0,1,,,7,0,0.0,3,,,,,,,,,,,,,
FRA,France,8745,816,446,1244,,,87,6,20.0,153,,,,,,,,,,,,,
GRE,Grand Est,1513,,,163,,,3.0,0.0,0.0,15,,,,,,,,,,,,,
HDF,Hauts-de-France,1743,0,190,195,,,13,0,1.0,17,,,,,,,,,,,,,
IDF,Ile-de-France,466,,7,,,,2,0,0.0,7,,,,,,,,,,,,,
NOA,Nouvelle-Aquitaine,438,4.0,7.0,70.0,,,10,0.0,1.0,14,,,,,,,,,,,,,
NOR,Normandie,863,407.0,22.0,55.0,,,2,0,2.0,12,,,,,,,,,,,,,
OCC,Occitanie,294,,,,,,7,0.0,1.0,11,,,,,,,,,,,,,
PAC,Provence-Alpes-Côte d'Azur,698,,,32,,,10,0,1.0,7,,,,,,,,,,,,,
PAL,Pays de la Loire,382,7,6,80,,,7,0,2.0,13,,,,,,,,,,,,,
