reg_code,reg_label,Nombre d’établissements,Consommation de combustibles minéraux solides,Consommation de gaz naturel et autres gaz,Consommation de biogaz et biométhane,Consommation de coke de pétrole,Consommation de butane-propane,Consommation de fioul lourd,Consommation de fioul domestique,Consommation de gazole non routier,Consommation de combustibles usuels,Consommation d’autres produits pétroliers,Consommation de liqueur noire,Consommation de bois et sous-produit du bois,Consommation d’hydrogène,Consommation de combustibles spéciaux renouvelables,Consommation de combustibles spéciaux non renouvelables,Consommation autres combustibles,Vapeur consommée,T1 Consommation d’électricité T1,Total brut de la consommation,Vapeur vendue,Consommation de combustibles pour la production d’électricité,Total net de la consommation
ARA,Auvergne-Rhône-Alpes,3570,143.0,1395,,123.0,38,61,34,,1815,11,0,95,,28.0,49.0,189,288.0,,3811,,,3624
BFC,Bourgogne-Franche-Comté,1270,104.0,432,,0.0,22,,6.0,,584,0.0,0,26.0,,,0.0,72,48.0,,1206,,,1191
BRE,Bretagne,1265,0.0,367,,0,30,23,,,448,0,,,,,0,55,48.0,,920,,,909
CVL,Centre-Val de Loire,1091,21.0,406,,51,10,23,9,,521,0,0,35,,,,41,0.0,,887,,,868
DOM,Départements d’Outre-mer,231,0.0,7,,0,,1,10,,,2,0,,,12,,,69.0,,144,,,142
FRA,France,20583,5690.0,11251,,766,2052,700,266,,20724,1107,804,891,,324,353,3479,1723.0,,35648,552,825,34271
GRE,Grand Est,1597,1071.0,1854,,,10.0,8,24,,3028,,0,141,,,59.0,542,92.0,,4825,,,4703
HDF,Hauts-de-France,2076,140.0,2129,,112,29.0,81,32,,4928,4.0,0,,,4,,307,237.0,,7305,,,7084
IDF,Ile-de-France,1799,31.0,728,,,6,4,10,,,,0,,,,0,,11.0,,1283,,,1273
NOA,Nouvelle-Aquitaine,1831,55.0,547,,67.0,29,133,31,,803.0,0.0,339.0,227,,33.0,35,649.0,341.0,,2808,,,2642
NOR,Normandie,1214,2.0,1377,,,12.0,57.0,16,,2009,,0,88.0,,71.0,0.0,645.0,208.0,,3607,,,3523
OCC,Occitanie,1370,61.0,352,,26.0,21,16,19,,537,,0.0,17.0,,,30.0,202.0,23.0,,1201,,,1186
PAC,Provence-Alpes-Côte d'Azur,854,0.0,738,,,1186,201,18,,3854,127,,,,9,16,314,225.0,,5284,,,4841
PAL,Pays de la Loire,1864,9.0,476,,65,30,26,22,,630,,0,30,,,,92,82.0,,1322,,,1295
