tab4_region - Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la région,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75
Nord-Pas-de-Calais,s,0,s,4,126,s,s,0,0,s,s,s,0,0,21,18,230,0,0,248,720,5,15,142,882,s,0,s,1,6,s,s,0,0,145,8,s,s,4,s,70,s,s,0,71,14,s,0,s,24,s,s,0,s,s,0,0,0,0,0,1,0,0,2,3,s,s,0,0,s,91,s,0,s,105
Lorraine,67,0,7,3,77,799,0,36,6,841,s,s,0,0,s,152,15,0,s,s,552,s,s,70,687,0,0,0,0,0,s,s,0,8,46,3,s,s,4,8,s,0,s,0,7,9,2,1,5,17,s,0,s,s,s,0,0,0,0,0,49,0,s,s,62,57,0,s,0,s,62,s,0,s,63
Alsace,s,0,s,4,36,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,408,435,21,74,937,s,0,s,1,1,s,0,0,0,s,4,s,s,3,7,6,s,s,1,8,3,s,0,s,8,s,0,s,s,s,0,0,0,0,0,s,0,0,s,19,8,0,0,0,8,s,0,0,s,s
Franche-Comté,s,0,s,s,s,59,0,s,s,81,0,0,0,0,0,7,0,0,s,s,94,s,s,31,164,0,0,0,0,1,s,0,0,0,s,4,0,0,4,8,s,0,s,1,7,1,s,1,s,6,0,0,0,0,0,0,0,0,0,0,6,0,0,4,11,s,0,0,0,s,s,0,0,0,s
Pays de la Loire,46,0,5,8,59,0,0,0,0,0,1,0,0,0,1,9,0,0,0,9,131,s,s,65,199,0,0,0,1,2,61,0,0,0,61,30,0,0,6,36,2,0,0,0,3,8,s,1,s,17,s,s,0,0,s,0,0,0,0,0,16,0,0,21,37,s,0,0,0,s,s,0,0,0,s
Bretagne,s,0,0,s,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,s,s,31,106,s,0,s,1,1,0,0,0,0,0,6,s,s,2,12,3,0,0,0,3,5,s,1,s,11,0,0,0,0,1,0,s,0,0,s,3,0,0,2,5,0,0,0,0,0,s,0,0,0,s
Poitou-Charentes,s,0,0,0,s,64,0,0,0,64,0,0,0,0,0,s,s,0,0,2,124,s,s,25,150,0,0,0,0,0,s,s,0,0,63,8,0,0,3,11,s,0,0,s,27,10,s,0,s,16,3,s,s,0,8,0,0,0,0,0,17,0,0,2,19,22,0,0,0,22,38,0,0,0,38
Aquitaine,162,0,s,s,173,s,0,s,s,s,0,0,0,0,0,0,s,0,0,s,172,s,s,51,232,s,0,s,0,0,0,0,0,0,0,8,s,s,1,11,s,s,3,1,117,6,0,1,3,9,0,0,0,0,0,186,s,s,s,382,126,0,7,3,137,s,0,0,0,s,8,0,0,s,s
Midi-Pyrénées,25,0,s,s,35,s,s,0,0,9,0,0,0,0,0,0,0,0,0,0,140,s,s,32,184,0,s,0,s,0,s,3,0,0,s,8,0,0,3,11,8,0,0,0,8,6,0,0,2,9,s,0,0,0,s,s,0,0,s,s,25,0,s,s,36,6,0,0,0,6,s,0,0,0,s
Limousin,s,0,s,1,s,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,54,s,s,10,64,s,0,s,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,2,2,0,0,1,3,0,0,0,0,0,s,0,0,0,s,s,0,0,s,6,s,0,0,s,3,0,0,0,0,0
Rhône-Alpes,213,0,0,8,221,35,93,0,0,128,0,s,0,0,s,s,s,0,0,s,721,238,167,157,1284,5,0,0,2,7,s,57,0,s,135,13,s,s,8,22,99,0,0,3,103,10,s,1,s,25,52,s,s,0,54,0,0,0,0,0,55,0,s,s,61,23,s,0,s,23,32,s,0,s,37
Auvergne,5,0,0,3,7,s,0,0,0,s,0,0,0,0,0,25,s,0,s,26,127,s,s,41,191,0,0,0,0,0,s,0,0,0,s,1,0,0,1,1,24,0,0,0,24,3,0,0,3,7,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,s,0,0,0,s,s,0,0,0,s
Languedoc-Roussillon,3,0,0,s,s,s,s,0,0,65,0,0,0,0,0,0,0,0,0,0,116,s,s,11,133,0,0,0,0,0,s,s,0,0,31,2,0,0,1,3,5,0,0,0,5,5,s,1,s,9,s,0,0,0,s,0,0,0,0,0,s,0,0,0,s,3,0,0,0,3,34,s,0,s,36
PACA et Corse,s,0,13,s,145,0,s,0,0,s,0,0,0,0,0,0,0,0,s,s,487,s,s,79,669,2,s,s,0,2,104,0,0,0,104,4,s,s,1,967,s,s,12,0,161,14,s,1,s,18,202,s,s,0,241,0,0,s,0,s,0,0,s,0,s,7,s,0,s,8,14,s,0,s,16
DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,3,0,2,3,8,s,s,0,0,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,0,s
Note : Les coefficients de conversion en tep de certaines énergies ont été actualisés pour la publication 2011.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie hors IAA et scieries, hors industrie de l'énergie, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, enquête annuelle sur les consommations d'énergie dans l'industrie 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
