"NCE_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la nomenclature des activités consommatrices d'énergie",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Total des énergies,,,,Houille,,,,Lignite - charbon pauvre,,,,Coke de houille,,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Nomenclature activités consommatrices d'énergie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,so,so,14304,so,9478,9315,1054,111,s,s,s,s,625,635,146,233,136991,136991,3908,29,864,878,123,143,2334,2329,913,391,s,s,s,s,310325,294898,184,0.59,2183,3574,105,48,23671,23671,575,24,107783,111718,7066,66
E12 - Industrie laitière,so,so,491,so,0,0,0,so,0,0,0,so,0,0,0,so,5384,5384,172,32,0,0,0,so,10,9,6,558,40,39,16,392,11880,11823,7,0.59,s,s,s,s,648,648,17,26,3501,3520,268,77
E13 - Sucreries,so,so,316,so,171,165,18,103,172,175,18,106,26,24,5,206,7250,7250,204,28,s,s,s,s,s,s,s,s,52,58,20,392,4736,4714,3,0.57,s,s,s,s,912,912,11,12,432,1135,37,86
"E14 - Industries alimentaires, hors industrie du lait et du sucre",so,so,1799,so,181,152,17,93,s,s,s,s,s,s,s,s,19103,19103,587,31,0,0,0,so,55,53,33,596,47,49,19,411,35210,33484,21,0.59,264,282,15,57,1422,1422,38,27,13708,14531,1063,78
E16 - Sidérurgie,so,so,1691,so,s,s,s,s,s,s,s,s,223,235,47,210,7798,7798,193,25,s,s,s,s,3,3,1,543,s,s,s,s,17562,17082,9,0.52,s,s,s,s,225,225,5,23,10615,11269,505,48
E18 - Métallurgie de première transformation des métaux non ferreux,so,so,382,so,3,0,0,119,s,s,s,s,s,s,s,s,3478,3478,93,27,136,129,35,257,s,s,s,s,s,s,s,s,4577,4363,3,0.64,0,0,0,so,s,s,s,s,s,s,s,s
