NCE_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la nomenclature des activités consommatrices d'énergie,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",179,0,0,0,179,33,0,0,0,33,s,0,0,0,s,216,0,0,4,220,536,0,0,0,536,1,s,0,0,s,24,0,0,0,24,s,0,s,8,10,s,0,0,s,71,0,0,0,0,0,55,0,0,0,55,87,0,0,0,87,332,0,0,0,332,6,so,0,0,6
E21 - Production d'autres matériaux de construction et de céramique,s,s,0,0,1,s,s,0,0,1,s,s,0,0,34,382,s,s,s,409,1,17,0,0,19,5,0,0,2,7,s,s,0,1,10,18,0,1,41,60,3,16,0,1,20,0,0,0,0,0,s,0,0,s,25,8,s,0,0,s,0,s,0,0,s,s,so,0,0,s
E22 - Industrie du verre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733,0,s,s,779,0,s,0,0,s,3,0,0,s,s,s,0,0,s,116,s,s,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0,s,so,0,s,1
E23 - Fabrication d'engrais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,564,s,s,946,0,0,0,0,0,s,0,0,0,s,3,0,0,s,s,s,0,s,1,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
E24 - Autres industries de la chimie minérale,s,s,0,0,s,s,0,0,0,s,s,s,0,0,59,s,s,s,s,428,0,s,0,0,s,1,0,0,1,2,s,s,0,0,s,1,0,0,1,2,s,s,0,0,s,0,0,0,0,0,s,0,0,0,s,0,0,0,0,0,s,s,0,0,s,305,so,s,s,310
"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,0,s,s,s,0,0,0,0,0,0,0,0,0,0,181,s,s,s,s,0,0,0,0,0,s,s,0,s,s,s,s,s,0,s,s,0,s,0,1,597,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,so,s,s,136
E26 - Autres industries de la chimie organique de base,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,25,39,s,s,0,0,0,s,3,s,0,s,s,s,0,0,s,s,2,s,s,3,5,334,s,0,0,s,0,s,0,0,s,27,0,0,s,s,71,0,s,0,s,s,s,0,s,s,489,so,5,8,501
E28 - Parachimie et industrie pharmaceutique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,63,181,0,0,0,0,0,2,13,0,1,17,0,0,0,0,0,0,0,1,3,4,s,0,0,0,s,0,0,0,0,0,8,0,0,s,s,0,0,0,0,0,0,0,0,0,0,10,so,0,4,14
E29 - Fonderie et travail des métaux,s,s,0,1,s,s,s,0,0,s,127,s,0,s,139,383,1,s,s,523,s,s,0,0,0,18,0,s,15,s,1,0,s,1,s,3,0,0,11,14,0,0,0,s,s,0,0,0,0,0,s,0,0,s,s,s,0,0,0,s,0,0,0,0,0,1,so,0,1,1
E30 - Construction mécanique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,96,145,0,0,0,0,0,5,0,0,4,9,0,0,0,0,1,1,0,0,11,12,s,s,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,s,so,0,s,0
E31 - Construction électrique et électronique,0,0,0,0,0,0,0,0,0,0,s,s,0,0,s,67,2,0,118,187,0,0,0,0,0,2,0,0,3,4,0,0,0,s,s,0,0,1,4,5,0,0,0,s,s,0,0,0,0,0,0,0,0,s,s,0,0,0,s,s,0,0,0,0,0,0,so,0,1,1
E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,163,s,3,s,311,0,0,0,0,0,5,0,s,6,s,0,0,0,0,0,s,1,s,4,7,s,s,s,s,s,0,0,0,0,0,s,0,0,s,2,0,0,0,0,0,s,0,0,0,s,s,so,0,s,12
"E33 - Construction navale et aéronautique, armement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,s,s,s,99,0,0,0,0,0,0,1,0,1,3,1,0,s,0,s,0,0,1,2,2,s,0,0,0,s,0,0,0,0,0,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0,2,so,0,4,6
"E34 - Industrie textile, du cuir et de l'habillement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,28,121,0,0,0,0,0,3,s,s,2,5,s,0,s,1,3,s,s,s,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
E35 - Industrie du papier et du carton,18,0,3,0,22,0,0,0,0,0,0,0,0,0,0,788,0,29,35,852,0,0,0,0,0,2,0,0,4,6,s,0,s,s,38,2,0,0,3,5,0,0,0,0,0,s,s,s,0,s,s,0,s,2,311,s,0,s,0,s,2,0,0,0,2,364,so,s,s,378
E36 - Fabrication de produits en caoutchouc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,s,s,76,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,s,0,17,0,0,0,0,0,0,0,0,0,0,21,so,s,s,35
E37 - Fabrication de produits en plastique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,1,0,42,140,0,0,0,0,0,3,s,s,4,8,6,0,0,2,8,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,23,so,0,2,25
E38 - Industries diverses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,s,s,225,0,0,0,s,s,8,0,0,5,12,2,s,0,1,s,6,2,1,24,33,1,1,0,0,2,s,0,0,0,s,257,0,0,68,325,s,0,s,s,11,2,0,0,s,s,21,so,0,1,21
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquêtes annuelles sur les consommations d'énergie dans l'industrie 2015 (2 vagues d’interrogation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
