NAF_T5 : Contrats d’électricité et de gaz selon le secteur d'activité en NAF rév.2 de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Proportion d’établissements ayant renouvelé leur contrat d’électricité en 2022 (en %),Proportion d’établissements avec un contrat d’électricité au tarif réglementé (en %),Proportion d’établissements avec un contrat d’électricité à prix fixe sur une durée contractuelle (en %),Proportion d’établissements avec un contrat d’électricité dont le prix indexé sur le tarif réglementé (en %),Proportion d’établissements avec un contrat d’électricité dont le prix indexé sur le prix de gros (en %),Proportion d’établissements avec un autre type de contrat d’électricité (en %),Proportion d’établissements qui consomment du gaz (en %),Proportion d’établissements ayant renouvelé leur contrat de gaz en 2022 (en %),Proportion d’établissements avec un contrat de gaz à prix fixe sur une durée contractuelle (en %),Proportion d’établissements avec un contrat de gaz dont le prix indexé sur le prix de gros (en %),Proportion d’établissements avec un autre type de contrat de gaz (en %)
,,,,,,,,,,,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",24,14,36.2,9.5,20,20.3,13.1,0,46.3,40,13.7
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",24.9,13.1,49.4,4.1,14.8,18.5,61.9,20.7,67.2,21.6,11.2
13,Fabrication de textiles,19.2,13.3,62.5,8.6,6.4,9.1,59.8,13.5,79.8,13.3,6.9
14,Industrie de l'habillement,25.6,20.4,65.3,s,13.2,s,54.9,30.5,89.9,s,s
15,Industrie du cuir et de la chaussure,21.9,32.9,33.4,s,s,22.8,40.2,3.9,61.6,32,6.4
16,"Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",20.1,8.5,63.6,4.9,9.6,13.5,20.1,16.1,80,s,s
17,Industrie du papier et du carton,20.7,8.7,53.4,4.1,22.4,11.4,64.5,17.6,48.1,33,18.9
18,Imprimerie et reproduction d'enregistrements,24.3,16.8,54.7,5.3,5.5,17.7,53.5,24.7,84.2,13.6,2.3
20,Industrie chimique,23,12.8,51.2,6.4,14.3,15.2,63.7,19.9,60.6,30.6,8.8
21,Industrie pharmaceutique,24,10,43.1,6.4,20,20.6,70,17.8,64.9,22.4,12.7
22,Fabrication de produits en caoutchouc et en plastique,26.2,10.9,61.1,5.7,10,12.3,44,28.1,75.4,17.9,6.7
23,Fabrication d'autres produits minéraux non métalliques,24.5,13.4,39.8,7.7,21.7,17.5,57.9,20.4,62.3,29.9,7.8
24,Métallurgie,24.4,8.2,51.1,6,21.2,13.6,76.5,27.5,62,29.9,8
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",22.9,16.9,57.3,4.6,4.7,16.6,52.7,17.5,85.2,10.6,4.3
26,"Fabrication de produits informatiques, électroniques et optiques",26,14.9,51.2,9.9,8.6,15.5,37.9,21.8,84.4,11.1,4.5
27,Fabrication d'équipements électriques,28,12.2,61.3,5.9,7,13.5,65,14.5,77.5,10.4,12.1
28,Fabrication de machines et équipements n.c.a.,20.4,13.3,63.3,5,12.7,5.7,61.9,25.1,85.8,12,2.2
29,Industrie automobile,23.7,9.9,53.7,5.7,13.3,17.5,77.5,28.5,65.6,20.6,13.8
30,Fabrication d'autres matériels de transport,25.2,20.1,41.6,10.8,19.6,7.8,72.1,19.3,62.6,32.3,5.2
31,Fabrication de meubles,19.9,20.2,59.1,15.8,s,s,47.8,25.5,93.7,6.3,0
32,Autres industries manufacturières,30.1,17.4,51.6,10.7,7.9,12.4,51.6,19.7,82.6,16,1.4
33,Réparation et installation de machines et d'équipements,17,28.1,38.4,4.5,8.5,20.4,34.6,29.5,76,11.5,12.6
38,"Collecte, traitement et élimination des déchets ; récupération",19.6,18,46,4.6,11,20.5,23.1,19.7,67,16.9,16.1
_T,Total,23.2,15.1,52.9,5.7,11.4,15,53.5,21.3,73.7,18.5,7.8
,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,
Source : Enquête sur les consommations d'énergie dans l'industrie 2022,,,,,,,,,,,,
"Note : la consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,,
