reg_code,reg_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
ARA,Auvergne-Rhône-Alpes,999.0,69.3,16.9,153.3,4.3,1242.8,5.2,0.3,0.7,11.7,17.8,3.2,1.7,0.1,1.5,15.1,21.6,,,0,,0,6
BFC,Bourgogne-Franche-Comté,373.8,,,65.7,,453,,0,0,4.4,,1.9,0.8,0.2,0.3,2.4,5.6,4.9,,0,,0,
BRE,Bretagne,391.5,1.1,0,33.7,0.8,427.1,3.1,0,0.4,1.9,5.4,3.0,0.3,0.1,0.5,3.1,7.0,,,0,,,0
CVL,Centre-Val de Loire,302.1,1.4,41.7,49.4,1.2,395.8,,,,5.0,,0.4,,,,1.2,3.2,,,0,,0,0.3
DOM,Départements d’Outre-mer,6.7,0,0,3.7,0,10.4,7.1,0,0,0.0,7.1,4.2,16.3,1.5,1.4,3.6,27.0,0,0,0,,0,0
FRA,France,8065.7,1035.9,296.3,1118.9,34.2,10550.9,55.6,0.9,5.6,52.4,114.5,37.6,24.2,4.5,17.5,103.0,186.8,142.1,161.6,0,,0.1,303.8
GRE,Grand Est,1488.6,373.1,56.6,215.5,2.9,2136.8,6.8,0.3,0.3,7.3,14.7,5.6,2.1,0.2,2.4,18.2,28.6,,0.4,0,,0,
HDF,Hauts-de-France,1675.1,65.2,142.4,229.5,1.8,2114,7.6,0,0.3,4.7,12.7,3.4,,,1.6,13.3,18.5,4.2,0.5,0,,0,4.8
IDF,Ile-de-France,346.2,,7.4,,5.8,595.8,1.5,0,0,1.8,3.3,3.8,,,2.8,2.3,9.3,0.1,1.3,0,,0,1.4
NOA,Nouvelle-Aquitaine,486.0,4.2,5.4,58.2,6.3,560,3.2,0.1,,3.2,,5.1,0.2,0,2.6,17.2,25.2,0.8,0,0,,0,0.8
NOR,Normandie,731.5,267,,64.8,,,2,0.1,1.1,2.4,5.5,0.3,0.1,0.2,1,6.6,8.3,,,0,,0,
OCC,Occitanie,252.8,,,57.2,0.7,,2.1,,,1.9,4.6,3.0,,,0.6,9.8,13.5,0,,0,,,0.1
PAC,Provence-Alpes-Côte d'Azur,730.8,,,,,,12.5,0,0.3,1.2,14,1.9,0.4,,,5.3,9.1,49.7,122.7,0,,0,172.4
PAL,Pays de la Loire,281.7,,,82.1,4.1,370.1,1.9,0,0.5,7.0,9.4,1.7,1.9,0,1.4,4.9,9.9,,,0,,0,
