teff_code,teff_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
100-249,100 à 249 salariés,,581.0,591.0,93.0,810.4000000000001,34633.0,34633.0,886.0,59.4,,,,,576,564,65,112.3,363,364,168,462.1,,137,54,,63490,64234,35,0.56,,,,,,,,,10740,126,23.4,,,,,,,,20370,20676,,1201,59.0
20-49,20 à 49 salariés,,20.0,0.0,2.0,707.7,9938.0,9938.0,307.0,30.4,,,,,,,4,,40,39,28,685.3,33,33,15,458.2,104815,105467,105,1.0,,,,,,,,,780,12,29.7,,,,,,,,8076,8101,,558,69.1
250-499,250 à 499 salariés,,583.0,592.0,31.0,237.7,24477.0,24477.0,688.0,66.6,,,,,,,,,540,546,282,521.5,257,257,98,380.8,27587,28523,16,0.57,,,,,,,,,10928,128,23.3,,,,,,,,21638,22786,,1186,54.8
50-99,50 à 99 salariés,,256.0,335.0,46.0,341.5,13940.0,13940.0,386.0,74.4,,,,,284,285,27,96.2,36,36,26,724.9,,129,47,,58428,58740,50,0.85,,,,,,,,,4060,50,24.5,,,,,,,,10630,10704,,659,62.0
500+,500 salariés et plus,,6920.0,6417.0,1037.0,518.5,29788.0,29788.0,782.0,82.3,,,,,0.0,0.0,52.0,0.0,438,438,214,2155.5,228,228,80,1178.2,37363,38330,22,1.7400000000000002,,,,,,,,,13470,158,70.6,,,,,,,,29005,30387,,1449,154.0
_T,Total,,9079.0,8827.0,1459.0,429.1,113342.0,113342.0,3077.0,61.2,,,,,1085,1057,163,149.8,1418,1422,717,505.9,,786,294,,291683,295293,227,0.78,,,,,,,,,39976,473,23.7,,,,,,,,89720,92654,,5054,56.3
