teff_code,teff_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,Consommation d’électricité,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
100-249,100 à 249 salariés,353,127.0,480.0,174,306,20370,20676,,,,,,,
20-49,20 à 49 salariés,,13.0,13.0,,25,8076,8101,,,,,,,
250-499,250 à 499 salariés,1716,325.0,2041.0,894,1148,21638,22786,,,,,,,
50-99,50 à 99 salariés,52,66.0,118.0,44,74,10630,10704,,,,,,,
500+,500 salariés et plus,557.0,132.0,689.0,205.0,1381,29005,30387,,,,,,,
_T,Total,4127,666.0,4793.0,1859,2935,89720,92654,,,,,,,
