naf_code,naf_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
24,Métallurgie,,7915.0,7393.0,1282.0,434.2,13523.0,13523.0,360.0,26.8,,,,,190,175,59,312,18,,12,659.1,14,16,6,414.7,,,17,,,,,,,,,,2050,24,23.3,,,,,,,,21058,21842,,908,43.1
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",,,,,,4740.0,4740.0,159,71.4,,,,,0,0,0,0,31,30,21,669.6,2,3,1,465.3,18312,18209,11,0.6,,,,,,,,,30,1,42.9,,,,,,,,5049,5053,,359,71
26,"Fabrication de produits informatiques, électroniques et optiques",,0,0,0,0,645.0,645.0,23,80.69999999999999,,,,,0,0,0,0,1,1,0,721.6,0,0,0,428.6,4123,4489,2,0.6,,,,,,,,,16,0,39.1,,,,,,,,2306,2306,,138,59.7
27,Fabrication d'équipements électriques,,0.0,0.0,10,0.0,1788.0,1788.0,0.0,41.2,,,,,,,,,5,,4,681.3,,,1,,6253,6278,3,0.5,,,,,,,,,42,1,33.4,,,,,,,,,2154,,145,
28,Fabrication de machines et équipements n.c.a.,,0,0,0,0,2298.0,2298.0,86,72.3,,,,,0,0,0,0,12,,9,737.8,,,0,,14880,15353,10,0.7,,,,,,,,,,,,,,,,,,,,2181,,,
29,Industrie automobile,,7,7,2,319,4814.0,4814.0,139,75.0,,,,,0,0,0,0,9,,6,697.9,0,,0,469.3,4553,4513,3,0.6,,,,,,,,,,14,22.6,,,,,,,,,4839,,308,
30,Fabrication d'autres matériels de transport,,0,0,0,0,1976.0,1976.0,67,34.1,,,,,0,0,0,0,3,3,,,,,,,3010,3083,2,0.6,,,,,,,,,200,3,34.7,,,,,,,,,1802,,115,
31,Fabrication de meubles,,0,0,0,0,478.0,478.0,17,36.6,,,,,0,0,0,0,,,3,,,,0,,5246,5196,3,0.5,,,,,,,,,0,0,0,,,,,,,,573,574,,45,78.5
32,Autres industries manufacturières,,0,0,0,0,362.0,362.0,13,73.7,,,,,0,0,0,0,2,,1,738.3,0,,0,0,1432,1491,1,0.7,,,,,,,,,,,,,,,,,,,,598,,,
33,Réparation et installation de machines et d'équipements,,0,0,0,0,359.0,359.0,14,90.80000000000001,,,,,0,0,0,0,2,2,,,,1,,,6277,6488,4,0.6,,,,,,,,,,,,,,,,,,,,363,,,
38,"Collecte, traitement et élimination des déchets ; récupération",,0,0,0,0,0.0,0.0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,,,,,,,,0,0,,0,0
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",,0,0,0,0,774.0,774.0,25.0,31.7,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,99969,100223,54.0,0.6,,,,,,,,,0.0,,,,,,,,,,0.0,997,,,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",,536,560,62,452.9,31948.0,31948.0,850,89.80000000000001,,,,,0,0,0,0,91,92,59,1303.3,269,270,108,774.2,47897,48216,26,1.0,,,,,,,,,7476,80,46.1,,,,,,,,18307,19483,,1128,125.3
_T,Total,,9334.0,9387,1521,426.79999999999995,145304.0,145304.0,3927,60.7,,,,,1085,1057,163,149.8,1510,1514,777,514.7,,1056,402,,345411,349342,256,0.7,,,,,,,,,47454,553,23.3,,,,,,,,108392,112507,,6210,57.3
