,,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
22,Fabrication de produits en caoutchouc et en plastique,1055,0,0,0,nd,2119.3,2119.3,142.3,67.2,2.6,2.6,0.2,95.4,0,0,0,nd,10.6,10.6,9.9,928.3,0,0,0,5639.7,4571.7,4854.1,4.8,1.06,1922,1918.9,2.2,1.13,0.5,s,0.1,116.7,299.9,24.5,81.7,0,0,0,0,nd,0,0,5082.1,5123.2,51.4,871.2,171.4
23,Fabrication d'autres produits minéraux non métalliques,2218.6,301.4,302,95.5,316.7,16672.8,16672.8,943.3,56.6,21.3,21.3,0.9,41.7,562,554.6,133.9,238.3,12.8,12.6,10.8,841.4,114,115,58.5,512.8,11238.5,11159.2,11.5,1.02,34016.1,34084.2,35.9,1.06,403.7,410.7,25.9,64.2,56.3,2,35.4,s,0.3,s,4.4,s,s,0,s,7443.5,72.2,897,s
24,Métallurgie,3921.5,4988.6,5078.6,1534.6,307.6,10584.8,10584.8,622.3,58.8,0,0,0,nd,175.9,186.7,s,s,6.1,6.2,5.2,846.6,6.8,6.8,7.2,1049.2,13800.9,14035.1,10.8,0.78,10895.5,10972.8,11.5,1.05,s,s,s,s,212.6,2.6,12.2,s,2.4,s,15.6,s,s,0,17940,18174.9,255.7,1623.6,90.5
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",1135.1,s,s,s,s,3044.6,3044.6,208,68.3,3.2,3.2,s,s,s,s,s,s,s,s,14.9,s,0.4,0.4,s,s,6999.9,7023,6.4,0.91,4621.1,4430.9,4.8,1.03,4.1,8,1.4,351.9,6.3,0.7,105.8,0.1,0.1,0,1.4,19026.8,0,0,4337.2,4345.5,16.9,888.9,204.9
26,"Fabrication de produits informatiques, électroniques et optiques",442,0,0,0,nd,s,s,28.4,s,17.7,17.7,2.2,121.8,0,0,0,nd,0.4,0.4,s,s,s,s,s,s,563.5,681.4,0.6,1.03,51.7,54.9,0.1,1.16,s,s,s,s,18,1.6,90.5,0.1,0.1,0,1.7,19700.8,0,0,2626.3,2640,13.7,409.2,155.8
27,Fabrication d'équipements électriques,435,s,s,s,s,885.8,885.8,83.1,93.8,s,s,s,s,0,0,0,nd,s,s,4.2,s,s,s,s,s,1396.1,1332.6,1.7,1.19,666.7,656.8,s,s,s,s,s,s,17.3,1,59.1,s,s,0,2.5,s,0,0,1457.1,1465.7,10.2,340.1,233.4
28,Fabrication de machines et équipements n.c.a.,500,0,0,0,nd,1171.8,1171.8,110,93.9,s,s,s,s,0,0,0,nd,7.9,7.8,8.9,1129.5,0.1,0.1,s,s,4980.7,5067.9,5.3,1.07,5559,5623.9,6.3,1.13,s,s,s,s,20,1.6,78.2,s,s,0,1.4,s,0,0,s,1658.4,21.7,366.1,s
29,Industrie automobile,836.5,0,0,0,nd,2659.6,2659.6,191.4,72,s,s,3.3,s,0,0,0,nd,s,s,6.1,s,s,s,s,s,1626.7,1739.4,1.7,1.06,2206.2,2209.5,2.5,1.12,14.6,14.6,1,68.2,202.5,10.6,52.2,0,0,0,s,s,0,0,s,3651.4,13.4,623.2,s
30,Fabrication d'autres matériels de transport,528.6,0,0,0,nd,1088.1,1115.1,102.1,93.9,3.6,s,0.3,85.1,0,0,0,nd,s,s,2.7,s,s,s,s,s,1388.4,1623.2,1.5,1.1,1327.5,1350.9,1.4,1.07,s,s,s,s,107.3,7.1,66.3,s,s,0,s,s,0,0,1851.1,1905.7,55.9,403,217.7
31,Fabrication de meubles,100.3,0,0,0,nd,s,s,14.1,s,s,s,0,s,0,0,0,nd,2.3,2.4,2,880,0,0,0,nd,952.4,1002.9,0.9,0.99,141.2,124.9,s,s,9.2,s,0.2,20.1,0,0,nd,s,s,0,s,s,0,0,337.1,343.4,7.7,82.7,245.4
32,Autres industries manufacturières,141.3,0,0,0,nd,250.6,250.6,14,56,s,s,s,s,0,0,0,nd,1.5,1.5,1.5,996,0,0,0,nd,133.8,132.8,0.2,1.2,16.2,5.3,0,1.59,0,0,0,nd,s,s,s,s,s,0,0.3,s,0,0,560.1,560.2,0.1,125.1,223.4
33,Réparation et installation de machines et d'équipements,153,0,0,0,nd,s,s,20.4,s,11.3,11.3,1.1,98.5,0,0,0,nd,4.1,4.1,3.1,759.1,s,s,s,s,2746.9,2728.2,3.1,1.12,4532.6,4532.8,5,1.1,0,0,0,nd,74.3,2.5,34,s,s,0,s,s,0,0,s,508.8,8.3,118.6,s
38,"Collecte, traitement et élimination des déchets ; récupération",246.4,0,0,0,nd,852,852,52.2,61.3,1.1,1.1,0.2,181.1,0,0,0,nd,s,s,1.6,s,s,s,s,s,1020.2,1049.1,s,s,28108.2,28077.1,30.6,1.09,s,s,s,s,225.7,3.1,13.5,0,0,0,0,nd,0,0,693.1,759.3,240.4,157.6,227.4
_T,Total,25531.6,5816,5934.9,1769.9,304.3,112531.4,113049.7,7052,62.7,849.9,1368.1,54.2,63.7,739.7,743,219.1,296.1,1722.6,1742.1,989.9,574.7,182.7,184,106.9,585.1,103790.4,105343.7,103.7,1,229185,228927.8,245,1.07,2873.7,4985.5,161.1,56.1,24114.8,1128.5,46.8,33.6,141.6,143.9,139.8,4157.2,108,35.9,94460.6,97828.7,5310.6,13615.8,144.1
